case,model,y_initial,U,V,Vx,Vy,Vxx,Vxy,Vyy,chi,E2,E,f,den,num,q2,rho,rad,mat,N,z,u,y,qx,qy,tau,work,wx,wy,t_Gyr,Omega_chi,energy_residual,s,sp,d,dp,h2,h2p,U1,U1p,loop_force_ratio,physical_mass_eV,d_over_s,h_over_s,weighted_threshold,log_s_over_initial,log_hol_mass2_ratio,transverse_mass2_over_H2,curvature_dimensional_marker,H_over_mass,mass_adiabatic,delta_alpha
global_axis,global,0.0,50.27593469715373,50.27593469715373,-100.55186939430746,0.0,201.10373878861492,0.0,0.0,137.6422999547138,45.047000753223706,6.71170624753674,-1.477940984858408,0.9999630391690647,45.04533577864473,2.2176498561164872,100.22517206658665,0.0672668672,44.29151999999998,-1.6486586255873816,4.2,0.0,0.0,1.4891775770929696,0.0,0.0996965217336752,0.0,9.994922447866509,0.0,1.4463276480685066,7.416340739726476e-05,0.0,1e+22,-7.265208444853172e+19,0.0,-0.0,2.742688927260489e-47,-5.585008888300669e-47,-3.969649224495415e-141,-1.2618417837585033e-51,1.0239213219733049e-38,100000000000.0,0.0,5.2370687672213065e-46,0.0,0.0,-0.0,0.0,9.56947403014256e-32,9.649572179231756e-44,5.220025574470921e-46,1.787872896180745e-05
global_axis,global,0.0,50.035432811059344,50.035432811059344,-100.07086562211869,0.0,200.14173124423738,0.0,0.0,137.6446975129656,44.83313825524141,6.695755241587121,-1.4778309430586374,0.999963041929581,44.83148130896066,2.217484225140996,99.74382123334091,0.06683505562256918,44.07810535862288,-1.6470486073983315,4.191634641413708,0.0023975582517986854,0.0,1.4891219644948481,0.0,0.09993668945421726,0.48135083324559547,9.97079619912889,0.0,1.4498118339593795,7.415929757544164e-05,-1.417892773061116e-15,9.999825816946513e+21,-7.2648288053022155e+19,0.0,-0.0,2.729331178975301e-47,-5.557806776025574e-47,-3.010552397923888e-54,-1.2495220126151658e-51,1.0187980067187288e-38,99999129080.94006,0.0,5.224391124434809e-46,-3.483691409839405e-05,-1.7418457049197024e-05,-1.7418457049197024e-05,0.0,9.569654429286641e-32,9.6267228974455e-44,5.207289154467977e-46,1.7858498273289325e-05
global_axis,global,0.0,49.79609033691596,49.79609033691596,-99.59218067383192,0.0,199.18436134766384,0.0,0.0,137.64709498147218,44.620306925534535,6.679843330912375,-1.4777203923417523,0.9999630447028243,44.61865796883203,2.2173178305445673,99.26479141209543,0.0664060160077132,43.86571903619158,-1.6454385892092813,4.183282740370546,0.0047950267583791485,0.0,1.4890660934104192,0.0,0.10017742929448767,0.9603806544904222,9.946728213355332,0.0,1.4533043197644995,7.415516854075387e-05,-7.940199529142249e-15,9.999651649514283e+21,-7.26444920641043e+19,0.0,-0.0,2.7160389867331183e-47,-5.530738170778351e-47,-5.991564741928571e-54,-1.2372929879539603e-51,1.0136759471696261e-38,99998258232.40265,0.0,5.2117446438992105e-46,-6.967131065225543e-05,-3.4835655326127715e-05,-3.4835655326127715e-05,0.0,9.569836524981264e-32,9.603929420023526e-44,5.194583828807857e-46,1.7838269047592264e-05
global_axis,global,0.0,49.5579016843551,49.5579016843551,-99.1158033687102,0.0,198.2316067374204,0.0,0.0,137.6494923598164,44.40850179107481,6.663970422433972,-1.477609330383905,0.9999630474888525,44.40686078541733,2.2171506688521494,98.78807140875679,0.06597973056115111,43.65435607784518,-1.6438285710202312,4.174944275221058,0.007192405102611633,0.0,1.4890099626436855,0.0,0.10041874257442028,1.4371006578295995,9.922718349767035,0.0,1.4568051246325466,7.415102020593358e-05,-2.5522069915100086e-15,9.999477497731958e+21,-7.2640696482385854e+19,0.0,-0.0,2.702812028684375e-47,-5.503802417068155e-47,-8.943255559727209e-54,-1.2251541134806394e-51,1.008555143909126e-38,99997387454.53282,0.0,5.199129250081848e-46,-0.0001045031837900354,-5.22515918950177e-05,-5.22515918950177e-05,0.0,9.570020325085537e-32,9.581191614633515e-44,5.181909521547617e-46,1.781804128812585e-05
global_axis,global,0.0,49.320861289963474,49.320861289963474,-98.64172257992695,0.0,197.2834451598539,0.0,0.0,137.65188964757922,44.1977179028245,6.648136423301232,-1.4774977548514532,0.9999630502877238,44.19608480986473,2.2169827365741104,98.31365008323068,0.06555618160283022,43.44401155259739,-1.642218552831181,4.166619224350615,0.009589692865436624,0.0,1.4889535709934378,0.0,0.10066063061668955,1.9115219833563921,9.898766467925912,0.0,1.4603142677519603,7.414685248334045e-05,4.253678319183348e-15,9.999303361628312e+21,-7.263690130847733e+19,0.0,-0.0,2.6896499845597334e-47,-5.4769988626226525e-47,-1.1865841942412854e-53,-1.2131047965747817e-51,1.0034355975237659e-38,99996516747.47632,0.0,5.1865448676354104e-46,-0.0001393325276133441,-6.966626380667204e-05,-6.966626380667204e-05,0.0,9.570205837495509e-32,9.558509349265949e-44,5.169266156930106e-46,1.779781499831525e-05
global_axis,global,0.0,49.08496361715493,49.08496361715493,-98.16992723430987,0.0,196.33985446861973,0.0,0.0,137.65428684433965,43.98795033562078,6.632341240890789,-1.477385663400918,0.9999630530994965,43.98632511719638,2.2168140302061943,97.84151634916364,0.06513535156619284,43.23468055322144,-1.6406085346421309,4.158307566179361,0.01198688962585644,0.0,1.4888969172532376,0.0,0.10090309474671398,2.3836557174228097,9.87487242773381,0.0,1.4638317683509885,7.41426652849618e-05,-1.985049882285562e-15,9.99912924123226e+21,-7.263310654299211e+19,0.0,-0.0,2.676552535662427e-47,-5.450326858372433e-47,-1.475953955328651e-53,-1.2011444482681575e-51,9.983173086035425e-39,99995646111.37956,0.0,5.173991421397587e-46,-0.00017415933619654243,-8.707966809827122e-05,-8.707966809827122e-05,0.0,9.570393070143987e-32,9.535882492233377e-44,5.156653659383534e-46,1.7777590181601462e-05
global_axis,global,0.0,48.85020315604584,48.85020315604584,-97.70040631209169,0.0,195.40081262418337,0.0,0.0,137.65668394967471,43.77919418806021,6.616584782806021,-1.4772730536789593,0.9999630559242295,43.777576806192954,2.2166445462294684,97.3716591736881,0.0647172229974476,43.02635819613546,-1.6389985164530805,4.150009279162154,0.014383994960927078,0.0,1.4888400002113955,0.0,0.10114613629265971,2.85351289289904,9.851036089431632,0.0,1.4673576456977393,7.413845852241538e-05,4.820835428407794e-15,9.998955136572853e+21,-7.262931218654662e+19,0.0,-0.0,2.6635193648608067e-47,-5.42378575843583e-47,-1.7624562636600464e-53,-1.1892724832233648e-51,9.932002777420345e-39,99994775546.3897,0.0,5.161468836390873e-46,-0.0002089836035859208,-0.0001044918017929604,-0.0001044918017929604,0.0,9.570582030999693e-32,9.51331091216961e-44,5.1440719535209966e-46,1.7757366841441765e-05
global_axis,global,0.0,48.61657442331706,48.61657442331706,-97.23314884663412,0.0,194.46629769326825,0.0,0.0,137.65908096315954,43.57144458238441,6.600866956876529,-1.4771599233223343,0.9999630587619815,43.56983499927928,2.216474281110282,96.90406757715556,0.06430177855484588,42.8190396212888,-1.6373884982640303,4.141724341788515,0.0167810084457485,0.0,1.4887828186509549,0.0,0.10138975658544375,3.321104489431296,9.82725731359859,0.0,1.4708919191002294,7.413423210694059e-05,1.985049882285562e-15,9.998781047679272e+21,-7.262551823976002e+19,0.0,-0.0,2.650550156580143e-47,-5.397374920102212e-47,-2.0461124026420424e-53,-1.1774883197118807e-51,9.880845055362166e-39,99993905052.65445,0.0,5.148977037821633e-46,-0.00024380532380094283,-0.00012190266190047142,-0.00012190266190047142,0.0,9.570772728069294e-32,9.490794478028974e-44,5.13152096414005e-46,1.773714498130904e-05
global_axis,global,0.0,48.38407196209339,48.38407196209339,-96.76814392418677,0.0,193.53628784837355,0.0,0.0,137.66147788436726,43.36469666436576,6.585187671157578,-1.4770462699578664,0.9999630616128117,43.363094842410064,2.2163032313002042,96.43873063288689,0.06388900100796209,42.61271999204851,-1.6357784800749802,4.133452732582567,0.019177929653458093,0.0,1.488725371349667,0.0,0.1016339569587377,3.786441433699072,9.803535961151315,0.0,1.4744346079064365,7.412998594940314e-05,-6.947674587999468e-15,9.998606974580838e+21,-7.262172470325449e+19,0.0,-0.0,2.6376445967953907e-47,-5.371093703817261e-47,-2.326943515523032e-53,-1.1657913795930768e-51,9.829699925866316e-39,99993034630.32231,0.0,5.136515951080046e-46,-0.00027862449083301117,-0.00013931224541650558,-0.00013931224541650558,0.0,9.570965169396054e-32,9.46833305908554e-44,5.119000616222234e-46,1.7716924604692452e-05
global_axis,global,0.0,48.15269034181505,48.15269034181505,-96.3053806836301,0.0,192.6107613672602,0.0,0.0,137.66387471286902,43.15894560319379,6.569546833929551,-1.47693209120241,0.9999630644767794,43.15735150495629,2.2161313932359747,95.9756374669158,0.06347887323697939,42.4073944950864,-1.63416846188593,4.125194430102984,0.021574758155220763,0.0,1.4886676570799726,0.0,0.10187873874897102,4.249534599670494,9.779871893343056,0.0,1.477985731504348,7.412571996029295e-05,-3.5447319326527897e-15,9.998432917307011e+21,-7.261793157765521e+19,0.0,-0.0,2.6248023730235385e-47,-5.344941473167373e-47,-2.6049706062589686e-53,-1.154181088292946e-51,9.778567394973962e-39,99992164279.54248,0.0,5.124085501739618e-46,-0.0003134410986454727,-0.00015672054932273634,-0.00015672054932273634,0.0,9.571159363060162e-32,9.445926524932333e-44,5.106510834932624e-46,1.769670571509746e-05
