model,k,N,y1,q1,y2,q2
global,0.0,-1.6486586255873816,1.0,0.0,0.0,1.0
global,0.0,-1.6470486073983315,1.0,0.0,0.0016080470429079064,0.9975523691295531
global,0.0,-1.6454385892092813,1.0,0.0,0.0032121580379712218,0.9951105524455615
global,0.0,-1.6438285710202312,1.0,0.0,0.004812342334718331,0.9926745357669552
global,0.0,-1.642218552831181,1.0,0.0,0.006408609259867307,0.9902443049465787
global,0.0,-1.6406085346421309,1.0,0.0,0.008000968117390417,0.9878198458710884
global,0.0,-1.6389985164530805,1.0,0.0,0.009589428188563382,0.9854011444608853
global,0.0,-1.6373884982640303,1.0,0.0,0.011173998732019887,0.9829881866700323
global,0.0,-1.6357784800749802,1.0,0.0,0.012754688983806915,0.9805809584861711
global,0.0,-1.63416846188593,1.0,0.0,0.014331508157438857,0.9781794459304444
global,0.0,-1.6325584436968799,1.0,0.0,0.015904465443949984,0.9757836350574167
global,0.0,-1.6309484255078297,1.0,0.0,0.01747357001194957,0.9733935119549946
global,0.0,-1.6293384073187795,1.0,0.0,0.01903883100767465,0.9710090627443461
global,0.0,-1.6277283891297294,1.0,0.0,0.020600257555043754,0.9686302735798247
global,0.0,-1.6261183709406792,1.0,0.0,0.022157858755710705,0.9662571306488873
global,0.0,-1.6245083527516289,1.0,0.0,0.02371164368911747,0.9638896201720165
global,0.0,-1.6228983345625787,1.0,0.0,0.025261621412546793,0.961527728402644
global,0.0,-1.6212883163735285,1.0,0.0,0.026807800961166837,0.9591714416270848
global,0.0,-1.6196782981844784,1.0,0.0,0.02835019134812162,0.9568207461644006
global,0.0,-1.6180682799954282,1.0,0.0,0.029888801564521304,0.9544756283664184
global,0.0,-1.616458261806378,1.0,0.0,0.031423640579545116,0.9521360746175755
global,0.0,-1.614848243617328,1.0,0.0,0.032954717340474775,0.9498020713348729
global,0.0,-1.6132382254282778,1.0,0.0,0.03448204077274955,0.9474736049677922
global,0.0,-1.6116282072392276,1.0,0.0,0.03600561978001713,0.9451506619982193
global,0.0,-1.6100181890501775,1.0,0.0,0.03752546324418819,0.9428332289403666
global,0.0,-1.6084081708611273,1.0,0.0,0.039041580025485606,0.9405212923406997
global,0.0,-1.606798152672077,1.0,0.0,0.04055397896249908,0.9382148387778573
global,0.0,-1.6051881344830268,1.0,0.0,0.04206266887223431,0.9359138548625757
global,0.0,-1.6035781162939766,1.0,0.0,0.04356765855016636,0.9336183272376154
global,0.0,-1.6019680981049265,1.0,0.0,0.04506895677029086,0.9313282425776797
global,0.0,-1.6003580799158763,1.0,0.0,0.046566572285174926,0.9290435875893454
global,0.0,-1.5987480617268262,1.0,0.0,0.04806051382600834,0.926764349010983
global,0.0,-1.597138043537776,1.0,0.0,0.04955079010265541,0.9244905136126836
global,0.0,-1.5955280253487258,1.0,0.0,0.0510374098037055,0.9222220681961812
global,0.0,-1.5939180071596757,1.0,0.0,0.052520381596523585,0.9199589995947817
global,0.0,-1.5923079889706253,1.0,0.0,0.05399971412730187,0.9177012946732849
global,0.0,-1.5906979707815752,1.0,0.0,0.05547541602110938,0.9154489403279116
global,0.0,-1.589087952592525,1.0,0.0,0.05694749588194312,0.9132019234862304
global,0.0,-1.5874779344034748,1.0,0.0,0.05841596229277938,0.910960231107078
global,0.0,-1.5858679162144247,1.0,0.0,0.059880823815621965,0.9087238501804925
global,0.0,-1.5842578980253745,1.0,0.0,0.06134208899155386,0.906492767727636
global,0.0,-1.5826478798363244,1.0,0.0,0.06279976634078688,0.9042669708007216
global,0.0,-1.5810378616472742,1.0,0.0,0.06425386436271167,0.9020464464829393
global,0.0,-1.579427843458224,1.0,0.0,0.06570439153594772,0.8998311818883827
global,0.0,-1.577817825269174,1.0,0.0,0.06715135631839186,0.8976211641619786
global,0.0,-1.5762078070801238,1.0,0.0,0.06859476714727002,0.8954163804794116
global,0.0,-1.5745977888910734,1.0,0.0,0.07003463243918476,0.8932168180470517
global,0.0,-1.5729877707020232,1.0,0.0,0.07147096059016518,0.8910224641018835
global,0.0,-1.571377752512973,1.0,0.0,0.07290375997571673,0.8888333059114318
global,0.0,-1.569767734323923,1.0,0.0,0.07433303895086985,0.8866493307736909
global,0.0,-1.5681577161348728,1.0,0.0,0.0757588058502284,0.8844705260170537
global,0.0,-1.5665476979458226,1.0,0.0,0.07718106898801994,0.8822968790002377
global,0.0,-1.5649376797567724,1.0,0.0,0.07859983665814327,0.8801283771122139
global,0.0,-1.5633276615677223,1.0,0.0,0.08001511713421766,0.8779650077721383
global,0.0,-1.5617176433786721,1.0,0.0,0.08142691866963095,0.8758067584292762
global,0.0,-1.5601076251896218,1.0,0.0,0.082835249497589,0.8736536165629357
global,0.0,-1.5584976070005716,1.0,0.0,0.08424011783116209,0.8715055696823952
global,0.0,-1.5568875888115215,1.0,0.0,0.08564153186333523,0.8693626053268314
global,0.0,-1.5552775706224713,1.0,0.0,0.08703949976705522,0.8672247110652498
global,0.0,-1.5536675524334211,1.0,0.0,0.08843402969527817,0.865091874496417
global,0.0,-1.552057534244371,1.0,0.0,0.0898251297810185,0.8629640832487875
global,0.0,-1.5504475160553208,1.0,0.0,0.09121280813739548,0.8608413249804339
global,0.0,-1.5488374978662707,1.0,0.0,0.09259707285768194,0.85872358737898
global,0.0,-1.5472274796772205,1.0,0.0,0.09397793201535129,0.8566108581615286
global,0.0,-1.5456174614881704,1.0,0.0,0.09535539366412447,0.854503125074594
global,0.0,-1.5440074432991202,1.0,0.0,0.09672946583801809,0.8524003758940314
global,0.0,-1.5423974251100698,1.0,0.0,0.09810015655139126,0.8503025984249696
global,0.0,-1.5407874069210197,1.0,0.0,0.0994674737989923,0.8482097805017412
global,0.0,-1.5391773887319695,1.0,0.0,0.10083142555600655,0.8461219099878132
global,0.0,-1.5375673705429194,1.0,0.0,0.10219201977810242,0.844038974775721
global,0.0,-1.5359573523538692,1.0,0.0,0.10354926440147824,0.8419609627869986
global,0.0,-1.534347334164819,1.0,0.0,0.10490316734290953,0.8398878619721113
global,0.0,-1.532737315975769,1.0,0.0,0.10625373649979494,0.8378196603103855
global,0.0,-1.5311272977867187,1.0,0.0,0.10760097975020268,0.8357563458099454
global,0.0,-1.5295172795976686,1.0,0.0,0.10894490495291666,0.833697906507643
global,0.0,-1.5279072614086182,1.0,0.0,0.1102855199474842,0.8316443304689874
global,0.0,-1.526297243219568,1.0,0.0,0.11162283255425905,0.8295956057880868
global,0.0,-1.524687225030518,1.0,0.0,0.11295685057445094,0.8275517205875712
global,0.0,-1.5230772068414677,1.0,0.0,0.1142875817901687,0.8255126630185325
global,0.0,-1.5214671886524176,1.0,0.0,0.11561503396446754,0.8234784212604562
global,0.0,-1.5198571704633674,1.0,0.0,0.11693921484139401,0.8214489835211529
global,0.0,-1.5182471522743173,1.0,0.0,0.11826013214603202,0.8194243380366955
global,0.0,-1.5166371340852671,1.0,0.0,0.11957779358454768,0.8174044730713508
global,0.0,-1.515027115896217,1.0,0.0,0.1208922068442282,0.8153893769175241
global,0.0,-1.5134170977071668,1.0,0.0,0.12220337959355526,0.813379037895652
global,0.0,-1.5118070795181167,1.0,0.0,0.12351131948220727,0.8113734443542018
global,0.0,-1.5101970613290663,1.0,0.0,0.12481603414113351,0.8093725846695595
global,0.0,-1.5085870431400161,1.0,0.0,0.1261175311825905,0.8073764472459815
global,0.0,-1.506977024950966,1.0,0.0,0.12741581820018813,0.8053850205155234
global,0.0,-1.5053670067619158,1.0,0.0,0.12871090276893454,0.8033982929379792
global,0.0,-1.5037569885728657,1.0,0.0,0.13000279244528026,0.801416253000813
global,0.0,-1.5021469703838155,1.0,0.0,0.13129149476716268,0.7994388892190986
global,0.0,-1.5005369521947653,1.0,0.0,0.13257701725404977,0.7974661901354526
global,0.0,-1.4989269340057152,1.0,0.0,0.1338593674069854,0.7954981443199722
global,0.0,-1.497316915816665,1.0,0.0,0.13513855270863362,0.7935347403701681
global,0.0,-1.4957068976276147,1.0,0.0,0.13641458062332154,0.7915759669109046
global,0.0,-1.4940968794385645,1.0,0.0,0.13768745859708426,0.789621812594332
global,0.0,-1.4924868612495144,1.0,0.0,0.1389571940577088,0.7876722660998273
global,0.0,-1.4908768430604642,1.0,0.0,0.14022379441477745,0.7857273161339268
global,0.0,-1.489266824871414,1.0,0.0,0.14148726705971174,0.7837869514302666
global,0.0,-1.4876568066823639,1.0,0.0,0.142747619365816,0.7818511607495158
global,0.0,-1.4860467884933137,1.0,0.0,0.14400485868832072,0.7799199328793185
global,0.0,-1.4844367703042636,1.0,0.0,0.14525899236442558,0.7779932566342271
global,0.0,-1.4828267521152134,1.0,0.0,0.14651002771334357,0.7760711208556421
global,0.0,-1.4812167339261633,1.0,0.0,0.14775797203634355,0.774153514411748
global,0.0,-1.479606715737113,1.0,0.0,0.14900283261679378,0.7722404261974536
global,0.0,-1.477996697548063,1.0,0.0,0.1502446167202037,0.7703318451343292
global,0.0,-1.4763866793590126,1.0,0.0,0.1514833315942688,0.7684277601705422
global,0.0,-1.4747766611699624,1.0,0.0,0.15271898446891155,0.7665281602808
global,0.0,-1.4731666429809123,1.0,0.0,0.15395158255632507,0.7646330344662848
global,0.0,-1.4715566247918621,1.0,0.0,0.1551811330510153,0.7627423717545965
global,0.0,-1.469946606602812,1.0,0.0,0.15640764312984398,0.7608561611996852
global,0.0,-1.4683365884137618,1.0,0.0,0.15763111995207046,0.7589743918817974
global,0.0,-1.4667265702247116,1.0,0.0,0.1588515706593941,0.7570970529074101
global,0.0,-1.4651165520356615,1.0,0.0,0.1600690023759966,0.7552241334091738
global,0.0,-1.4635065338466111,1.0,0.0,0.1612834222085846,0.7533556225458474
global,0.0,-1.461896515657561,1.0,0.0,0.16249483724643032,0.7514915095022436
global,0.0,-1.4602864974685108,1.0,0.0,0.16370325456141452,0.7496317834891663
global,0.0,-1.4586764792794606,1.0,0.0,0.16490868120806845,0.7477764337433482
global,0.0,-1.4570664610904105,1.0,0.0,0.16611112422361457,0.745925449527395
global,0.0,-1.4554564429013603,1.0,0.0,0.16731059062800935,0.7440788201297235
global,0.0,-1.4538464247123102,1.0,0.0,0.16850708742398338,0.7422365348645038
global,0.0,-1.45223640652326,1.0,0.0,0.16970062159708413,0.740398583071598
global,0.0,-1.4506263883342099,1.0,0.0,0.1708912001157165,0.7385649541165027
global,0.0,-1.4490163701451597,1.0,0.0,0.17207882993118448,0.7367356373902889
global,0.0,-1.4474063519561096,1.0,0.0,0.17326351797773165,0.7349106223095454
global,0.0,-1.4457963337670594,1.0,0.0,0.1744452711725828,0.7330898983163171
global,0.0,-1.444186315578009,1.0,0.0,0.17562409641598495,0.7312734548780482
global,0.0,-1.4425762973889589,1.0,0.0,0.17680000059124712,0.7294612814875252
global,0.0,-1.4409662791999087,1.0,0.0,0.17797299056478277,0.7276533676628164
global,0.0,-1.4393562610108586,1.0,0.0,0.17914307318614905,0.7258497029472146
global,0.0,-1.4377462428218084,1.0,0.0,0.18031025528808828,0.7240502769091806
global,0.0,-1.4361362246327583,1.0,0.0,0.18147454368656746,0.7222550791422839
global,0.0,-1.434526206443708,1.0,0.0,0.18263594518081994,0.7204640992651467
global,0.0,-1.432916188254658,1.0,0.0,0.18379446655338458,0.7186773269213844
global,0.0,-1.4313061700656076,1.0,0.0,0.18495011457014637,0.7168947517795516
global,0.0,-1.4296961518765574,1.0,0.0,0.18610289598037627,0.7151163635330833
global,0.0,-1.4280861336875073,1.0,0.0,0.18725281751677178,0.7133421519002373
global,0.0,-1.426476115498457,1.0,0.0,0.1883998858954969,0.711572106624038
global,0.0,-1.424866097309407,1.0,0.0,0.18954410781622089,0.7098062174722214
global,0.0,-1.4232560791203568,1.0,0.0,0.19068548996215928,0.7080444742371776
global,0.0,-1.4216460609313066,1.0,0.0,0.1918240390001127,0.706286866735894
global,0.0,-1.4200360427422565,1.0,0.0,0.19295976158050665,0.7045333848099004
global,0.0,-1.4184260245532063,1.0,0.0,0.1940926643374313,0.7027840183252122
global,0.0,-1.4168160063641562,1.0,0.0,0.1952227538886805,0.7010387571722758
global,0.0,-1.415205988175106,1.0,0.0,0.196350036835791,0.6992975912659118
global,0.0,-1.4135959699860559,1.0,0.0,0.19747451976408198,0.6975605105452599
global,0.0,-1.4119859517970055,1.0,0.0,0.19859620924269406,0.6958275049737251
global,0.0,-1.4103759336079553,1.0,0.0,0.19971511182462798,0.6940985645389207
global,0.0,-1.4087659154189052,1.0,0.0,0.20083123404678374,0.6923736792526138
global,0.0,-1.407155897229855,1.0,0.0,0.2019445824300001,0.6906528391506715
global,0.0,-1.4055458790408049,1.0,0.0,0.20305516347909236,0.6889360342930052
global,0.0,-1.4039358608517547,1.0,0.0,0.2041629836828912,0.6872232547635172
global,0.0,-1.4023258426627045,1.0,0.0,0.20526804951428196,0.6855144906700441
global,0.0,-1.4007158244736544,1.0,0.0,0.20637036743024212,0.6838097321443072
global,0.0,-1.399105806284604,1.0,0.0,0.20746994387188106,0.6821089693418522
global,0.0,-1.3974957880955539,1.0,0.0,0.20856678526447647,0.6804121924420017
global,0.0,-1.3958857699065037,1.0,0.0,0.2096608980175143,0.6787193916477974
global,0.0,-1.3942757517174535,1.0,0.0,0.21075228852472636,0.6770305571859474
global,0.0,-1.3926657335284034,1.0,0.0,0.2118409631641282,0.6753456793067739
global,0.0,-1.3910557153393532,1.0,0.0,0.21292692829805676,0.6736647482841597
global,0.0,-1.389445697150303,1.0,0.0,0.2140101902732096,0.6719877544154929
global,0.0,-1.387835678961253,1.0,0.0,0.2150907554206808,0.6703146880216182
global,0.0,-1.3862256607722028,1.0,0.0,0.2161686300560003,0.66864553944678
global,0.0,-1.3846156425831526,1.0,0.0,0.2172438204791707,0.6669802990585723
global,0.0,-1.3830056243941025,1.0,0.0,0.21831633297470504,0.6653189572478849
global,0.0,-1.3813956062050523,1.0,0.0,0.21938617381166417,0.6636615044288531
global,0.0,-1.379785588016002,1.0,0.0,0.22045334924369434,0.6620079310388033
global,0.0,-1.3781755698269518,1.0,0.0,0.221517865509064,0.6603582275382015
global,0.0,-1.3765655516379016,1.0,0.0,0.2225797288307018,0.6587123844106029
global,0.0,-1.3749555334488515,1.0,0.0,0.22363894541623305,0.6570703921625982
global,0.0,-1.3733455152598013,1.0,0.0,0.22469552145801705,0.6554322413237639
global,0.0,-1.3717354970707512,1.0,0.0,0.2257494631331842,0.6537979224466085
global,0.0,-1.370125478881701,1.0,0.0,0.22680077660367254,0.6521674261065246
global,0.0,-1.3685154606926508,1.0,0.0,0.22784946801626454,0.6505407429017352
global,0.0,-1.3669054425036005,1.0,0.0,0.2288955435026245,0.6489178634532432
global,0.0,-1.3652954243145503,1.0,0.0,0.22993900917933383,0.6472987784047822
global,0.0,-1.3636854061255002,1.0,0.0,0.2309798711479292,0.6456834784227633
global,0.0,-1.36207538793645,1.0,0.0,0.23201813549493816,0.644071954196227
global,0.0,-1.3604653697473998,1.0,0.0,0.23305380829191508,0.6424641964367916
global,0.0,-1.3588553515583497,1.0,0.0,0.23408689559547863,0.6408601958786031
global,0.0,-1.3572453333692995,1.0,0.0,0.23511740344734702,0.6392599432782855
global,0.0,-1.3556353151802494,1.0,0.0,0.23614533787437483,0.6376634294148906
global,0.0,-1.3540252969911992,1.0,0.0,0.23717070488858832,0.6360706450898493
global,0.0,-1.352415278802149,1.0,0.0,0.23819351048722218,0.6344815811269198
global,0.0,-1.350805260613099,1.0,0.0,0.23921376065275535,0.6328962283721395
global,0.0,-1.3491952424240488,1.0,0.0,0.2402314613529461,0.6313145776937774
global,0.0,-1.3475852242349984,1.0,0.0,0.24124661854086873,0.6297366199822815
global,0.0,-1.3459752060459482,1.0,0.0,0.2422592381549484,0.628162346150233
global,0.0,-1.344365187856898,1.0,0.0,0.24326932611899754,0.6265917471322945
