model,kappa,N,z,omega2,omega2_N,D0,D0_N,energy0,energy_residual0,D1,D1_N,energy1,energy_residual1
global,0.0,-1.6486586255873816,4.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,22.523500376611853,0.0
global,0.0,-1.6470486073983315,4.191634641413708,0.0,0.0,1.0,0.0,0.0,0.0,0.0016080470429078093,0.9975523691295537,22.306968449762188,3.15467278122507e-16
global,0.0,-1.6454385892092813,4.183282740370546,0.0,0.0,1.0,0.0,0.0,0.0,0.003212158037972019,0.9951105524455603,22.092518174279373,7.886681953062674e-16
global,0.0,-1.6438285710202312,4.174944275221058,0.0,0.0,1.0,0.0,0.0,0.0,0.00481234233471813,0.992674535766956,21.88012953799948,6.30934556245014e-16
global,0.0,-1.642218552831181,4.166619224350615,0.0,0.0,1.0,0.0,0.0,0.0,0.0064086092598671755,0.990244304946579,21.669782721147538,1.577336390612535e-16
global,0.0,-1.6406085346421309,4.158307566179361,0.0,0.0,1.0,0.0,0.0,0.0,0.00800096811739025,0.987819845871089,21.461458094487995,3.15467278122507e-16
global,0.0,-1.6389985164530805,4.150009279162154,0.0,0.0,1.0,0.0,0.0,0.0,0.009589428188563088,0.9854011444608864,21.255136217492847,6.30934556245014e-16
global,0.0,-1.6373884982640303,4.141724341788515,0.0,0.0,1.0,0.0,0.0,0.0,0.011173998732019476,0.9829881866700335,21.05079783652764,4.732009171837605e-16
global,0.0,-1.6357784800749802,4.133452732582567,0.0,0.0,1.0,0.0,0.0,0.0,0.01275468898380668,0.9805809584861721,20.84842388305462,1.261869112490028e-15
global,0.0,-1.63416846188593,4.125194430102984,0.0,0.0,1.0,0.0,0.0,0.0,0.01433150815743858,0.9781794459304454,20.647995471853285,4.732009171837605e-16
global,0.0,-1.6325584436968799,4.1169494129429305,0.0,0.0,1.0,0.0,0.0,0.0,0.015904465443949738,0.9757836350574177,20.449493899258194,7.886681953062674e-16
global,0.0,-1.6309484255078297,4.108717659730011,0.0,0.0,1.0,0.0,0.0,0.0,0.017473570011949196,0.9733935119549955,20.25290064141337,3.15467278122507e-16
global,0.0,-1.6293384073187795,4.100499149126209,0.0,0.0,1.0,0.0,0.0,0.0,0.019038831007674038,0.9710090627443476,20.058197352543853,7.886681953062674e-16
global,0.0,-1.6277283891297294,4.092293859827841,0.0,0.0,1.0,0.0,0.0,0.0,0.020600257555042897,0.9686302735798267,19.865365863243564,0.0
global,0.0,-1.6261183709406792,4.084101770565488,0.0,0.0,1.0,0.0,0.0,0.0,0.022157858755709334,0.96625713064889,19.674388178779918,9.46401834367521e-16
global,0.0,-1.6245083527516289,4.075922860103952,0.0,0.0,1.0,0.0,0.0,0.0,0.023711643689115273,0.9638896201720205,19.485246477414343,4.732009171837605e-16
global,0.0,-1.6228983345625787,4.067757107242197,0.0,0.0,1.0,0.0,0.0,0.0,0.02526162141254325,0.9615277284026503,19.29792310873954,9.46401834367521e-16
global,0.0,-1.6212883163735285,4.0596044908132916,0.0,0.0,1.0,0.0,0.0,0.0,0.026807800961170702,0.9591714416270796,19.112400592032014,1.5773363906125349e-15
global,0.0,-1.6196782981844784,4.051464989684355,0.0,0.0,1.0,0.0,0.0,0.0,0.028350191348121934,0.9568207461644005,18.92866161462097,9.46401834367521e-16
global,0.0,-1.6180682799954282,4.043338582756507,0.0,0.0,1.0,0.0,0.0,0.0,0.02988880156452111,0.9544756283664189,18.746689030272783,7.886681953062674e-16
global,0.0,-1.616458261806378,4.0352252489648075,0.0,0.0,1.0,0.0,0.0,0.0,0.03142364057954481,0.9521360746175767,18.56646585759082,1.261869112490028e-15
global,0.0,-1.614848243617328,4.027124967278203,0.0,0.0,1.0,0.0,0.0,0.0,0.03295471734047457,0.9498020713348742,18.387975278430787,1.5773363906125349e-15
global,0.0,-1.6132382254282778,4.019037716699476,0.0,0.0,1.0,0.0,0.0,0.0,0.034482040772749176,0.9474736049677931,18.21120063633131,1.1041354734287743e-15
global,0.0,-1.6116282072392276,4.010963476265184,0.0,0.0,1.0,0.0,0.0,0.0,0.03600561978001695,0.9451506619982197,18.0361254349596,6.30934556245014e-16
global,0.0,-1.6100181890501775,4.002902225045613,0.0,0.0,1.0,0.0,0.0,0.0,0.037525463244187825,0.9428332289403676,17.862733336572028,1.1041354734287743e-15
global,0.0,-1.6084081708611273,3.994853942144716,0.0,0.0,1.0,0.0,0.0,0.0,0.03904158002548535,0.9405212923407009,17.69100816048945,1.4196027515512813e-15
global,0.0,-1.606798152672077,3.986818606700062,0.0,0.0,1.0,0.0,0.0,0.0,0.04055397896249877,0.9382148387778583,17.520933881587283,7.886681953062674e-16
global,0.0,-1.6051881344830268,3.9787961978827853,0.0,0.0,1.0,0.0,0.0,0.0,0.0420626688722339,0.9359138548625773,17.35249462880022,1.1041354734287743e-15
global,0.0,-1.6035781162939766,3.9707866948975243,0.0,0.0,1.0,0.0,0.0,0.0,0.04356765855016601,0.9336183272376165,17.185674683640865,6.30934556245014e-16
global,0.0,-1.6019680981049265,3.9627900769823734,0.0,0.0,1.0,0.0,0.0,0.0,0.045068956770290505,0.931328242577681,17.0204584787332,1.1041354734287743e-15
global,0.0,-1.6003580799158763,3.9548063234088255,0.0,0.0,1.0,0.0,0.0,0.0,0.04656657228517448,0.9290435875893467,16.85683059635964,7.886681953062674e-16
