model,y_i,N,u,y,wchi,wy,E,tau
global,0.0,-1.6486586255873816,0.0,0.0,9.994922447866509,0.0,6.71170624753674,0.0996965217336752
global,0.0,-1.6470486073983315,0.0023975582517988306,0.0,9.970796199128893,0.0,6.695755241587122,0.09993668945421727
global,0.0,-1.6454385892092813,0.004795026758377948,0.0,9.946728213355348,0.0,6.679843330912382,0.10017742929448754
global,0.0,-1.6438285710202312,0.007192405102611936,0.0,9.922718349767022,0.0,6.663970422433971,0.10041874257442031
global,0.0,-1.642218552831181,0.009589692865436811,0.0,9.898766467925903,0.0,6.648136423301232,0.10066063061668956
global,0.0,-1.6406085346421309,0.01198688962585669,0.0,9.874872427733795,0.0,6.632341240890789,0.10090309474671401
global,0.0,-1.6389985164530805,0.01438399496092751,0.0,9.85103608943162,0.0,6.616584782806021,0.10114613629265976
global,0.0,-1.6373884982640303,0.01678100844574911,0.0,9.827257313598567,0.0,6.600866956876528,0.10138975658544382
global,0.0,-1.6357784800749802,0.01917792965345843,0.0,9.803535961151294,0.0,6.585187671157577,0.10163395695873774
global,0.0,-1.63416846188593,0.02157475815522116,0.0,9.779871893343042,0.0,6.569546833929551,0.10187873874897106
global,0.0,-1.6325584436968799,0.023971493520221078,0.0,9.75626497176289,0.0,6.553944353697431,0.10212410329533451
global,0.0,-1.6309484255078297,0.026368135315653532,0.0,9.732715058334927,0.0,6.538380139190226,0.10237005193978364
global,0.0,-1.6293384073187795,0.028764683106715486,0.0,9.70922201531737,0.0,6.522854099360461,0.10261658602704207
global,0.0,-1.6277283891297294,0.031161136456597224,0.0,9.685785705301896,0.0,6.5073661433836225,0.10286370690460492
global,0.0,-1.6261183709406792,0.03355749492647436,0.0,9.662405991212664,0.0,6.491916180657623,0.10311141592274223
global,0.0,-1.6245083527516289,0.03595375807549849,0.0,9.639082736305667,0.0,6.476504120802277,0.10335971443450227
global,0.0,-1.6228983345625787,0.03834992546078769,0.0,9.615815804167795,0.0,6.461129873658759,0.10360860379571481
