q_box,q_Mpc_h,x_initial_box,y_initial,y_N_initial,Jacobian,local_density_ratio,I_quadrature_box3,I_closed_form_box3,I_quadrature_estimated_error_box3,normalized_integral_difference,g_radial_quadrature_box,g_radial_closed_form_box
0.0,0.0,0.0,0.9768021172143073,-0.021924495763588223,0.9320082931905345,1.0729518259721813,0.0,0.0,0.0,0.0,0.0,0.0
0.00078125,0.0078125,0.0007631266540736776,0.9768021172143073,-0.021924495763588223,0.9320082931905345,1.0729518259721813,1.0806990752135204e-11,1.0806990752135206e-11,1.1998169959931642e-25,-4.56221419145493e-24,-1.8557160954238627e-05,-1.8557160954238627e-05
0.0015625,0.015625,0.0015262533081473553,0.9768021172143073,-0.021924495763588223,0.9320082931905345,1.0729518259721813,8.645592601708163e-11,8.645592601708165e-11,9.598535967945314e-25,-3.649771353163944e-23,-3.7114321908477255e-05,-3.7114321908477255e-05
0.0023437500000000003,0.023437500000000003,0.002289379962221033,0.9768021172143073,-0.021924495763588223,0.9320082931905345,1.0729518259721813,2.9178875030765054e-10,2.9178875030765096e-10,3.2395058891815435e-24,-1.167926833012462e-21,-5.567148286271587e-05,-5.5671482862715947e-05
0.003125,0.03125,0.0030525066162947105,0.9768021172143073,-0.021924495763588223,0.9320082931905345,1.0729518259721813,6.916474081366531e-10,6.916474081366532e-10,7.678828774356251e-24,-2.919817082531155e-22,-7.422864381695451e-05,-7.422864381695451e-05
0.00390625,0.0390625,0.003815633270368388,0.9768021172143073,-0.021924495763588223,0.9320082931905345,1.0729518259721813,1.3508738440169004e-09,1.3508738440169004e-09,1.499771244991455e-23,0.0,-9.278580477119313e-05,-9.278580477119313e-05
0.004687500000000001,0.04687500000000001,0.004578759924442066,0.9768021172143073,-0.021924495763588223,0.9320082931905345,1.0729518259721813,2.3343100024612043e-09,2.3343100024612076e-09,2.5916047113452348e-23,-9.343414664099696e-21,-0.00011134296572543174,-0.00011134296572543189
0.0054687500000000005,0.05468750000000001,0.005341886578515744,0.9768021172143073,-0.021924495763588223,0.9320082931905345,1.0729518259721813,3.706797827982376e-09,3.706797827982373e-09,4.115372296256554e-23,8.175487831087235e-21,-0.0001299001266796704,-0.0001299001266796703
0.00625,0.0625,0.006105013232589421,0.9768021172143073,-0.021924495763588223,0.9320082931905345,1.0729518259721813,5.5331792650932245e-09,5.533179265093225e-09,6.143063019485001e-23,-2.335853666024924e-21,-0.00014845728763390902,-0.00014845728763390902
0.00703125,0.0703125,0.0068681398866630985,0.9768021172143073,-0.021924495763588223,0.9320082931905345,1.0729518259721813,7.878296258306565e-09,7.878296258306563e-09,8.746665900790168e-23,4.671707332049848e-21,-0.00016701444858814766,-0.00016701444858814764
