q_left_Mpc_h,q_right_Mpc_h,count,reference_RMS,vector_error_RMS,radial_error_RMS,transverse_RMS,radial_actual,radial_reference
0.0,0.13531646934131852,32,0.0002783574143135802,6.596684730517332e-06,6.595296576061703e-06,1.3532371421582711e-07,-0.0002645781502175906,-0.00027097920724413073
0.13531646934131852,0.27063293868263705,128,0.0005207590377148483,1.2363290119693682e-05,1.2362836505432377e-05,1.0590620219823626e-07,-0.00050403586210442,-0.0005162955969334059
0.27063293868263705,0.4059494080239556,464,0.0008361380662755269,1.9854502249808566e-05,1.9854209810319163e-05,1.0776082535083296e-07,-0.0008106110161890675,-0.0008303250754696088
0.4059494080239556,0.5412658773652741,752,0.0011481757266533716,2.7255922147905476e-05,2.7255445353487835e-05,1.6121636307419956e-07,-0.0011179688712695068,-0.001145148183204944
0.5412658773652741,0.6765823467065926,1424,0.0014686869276512645,3.484005397251428e-05,3.48383508767542e-05,3.444836656015278e-07,-0.0014306352872651795,-0.001465393186683509
0.6765823467065926,0.8118988160479113,1880,0.00178389800488509,4.2281938043775106e-05,4.2277318687083506e-05,6.2498749460362e-07,-0.0017395598714364054,-0.0017817906062022764
0.8118988160479113,0.9472152853892297,2888,0.002104104121135811,4.997370070137416e-05,4.996333100622971e-05,1.0179963420572627e-06,-0.0020520466456751857,-0.0021019548752649335
0.9472152853892297,1.0825317547305482,3584,0.002424572136305684,5.762860651123358e-05,5.760835656587601e-05,1.527593599580324e-06,-0.0023653776438199675,-0.0024229245902477156
1.0825317547305482,1.2178482240718667,4832,0.002744433380322814,6.524363678482014e-05,6.520486779558398e-05,2.248856747326389e-06,-0.002677667085323361,-0.0027427874616944804
1.2178482240718667,1.3531646934131851,5792,0.003063608792189177,7.285028729908796e-05,7.278618493516979e-05,3.055428307603514e-06,-0.002989582852174627,-0.003062260188890299
1.3531646934131851,1.4884811627545038,7304,0.003383978272179066,8.057360472554393e-05,8.046582633361023e-05,4.1661218078042745e-06,-0.0033023782843284656,-0.003382687399159857
1.4884811627545038,1.6237976320958225,8480,0.0037034098031311037,8.806220573562198e-05,8.789437182704993e-05,5.434287455706527e-06,-0.003614634025983557,-0.0037022931339798573
1.6237976320958225,1.7591141014371408,10304,0.004022870663211788,9.228600954834134e-05,9.190227165205296e-05,8.40714122331792e-06,-0.003933172994552841,-0.004021779557966116
1.7591141014371408,1.8944305707784594,11864,0.004344697936077527,9.227762866497056e-05,8.982625864481389e-05,2.1128275128491e-05,-0.004284210988435188,-0.004343723036509035
1.8944305707784594,2.0297470401197777,14096,0.004669367610508743,9.077714707733215e-05,8.293227405430046e-05,3.691515070647857e-05,-0.004633400635624896,-0.004668410699512423
2.0297470401197777,2.1650635094610964,15344,0.00499051387642123,8.914592189164684e-05,7.348976188549854e-05,5.046038335094554e-05,-0.004972638299962517,-0.004989693838408004
2.1650635094610964,2.300379978802415,17864,0.00530837376177669,8.609930260064763e-05,5.958551883534118e-05,6.215026832959856e-05,-0.005304269390332496,-0.005307554554272027
2.300379978802415,2.4356964481437333,19712,0.005627947971373589,8.317536004264468e-05,4.270280275800933e-05,7.137654485077031e-05,-0.0056345652657909424,-0.0056272067254120785
2.4356964481437333,2.571012917485052,22904,0.005950172154684869,7.945548257141832e-05,3.384021003933893e-05,7.188889966573751e-05,-0.005961037648787556,-0.005949431605835567
2.571012917485052,2.7063293868263703,24368,0.006219999838442728,7.157610118511817e-05,3.3054089890305424e-05,6.348673406614944e-05,-0.006216511205646082,-0.006219744683955933
2.7063293868263703,2.8416458561676894,27992,0.006280355807870027,7.06174254121653e-05,4.757556336555651e-05,5.218607613427815e-05,-0.006246889670326929,-0.006280290408128512
2.8416458561676894,2.9769623255090076,29816,0.006015577287883056,8.888500506429896e-05,7.835139807891359e-05,4.1971449157255716e-05,-0.00594599743671325,-0.00601422756427178
2.9769623255090076,3.112278794850326,33368,0.005393459865940119,0.00011654724700148603,0.00011275029521526211,2.9506468994041457e-05,-0.0053063814428353,-0.005388485886795486
3.112278794850326,3.247595264191645,35672,0.0044662472026034145,0.00011602820379308071,0.00011501590282092868,1.5293337560366196e-05,-0.004469978194459205,-0.004456010006363934
3.247595264191645,3.3829117335329633,39464,0.0033477520663853016,0.0001433064642755872,0.00014281178516907308,1.189692060960928e-05,-0.003464330771770787,-0.003330288823462966
3.3829117335329633,3.5182282028742815,42320,0.0021942546563860524,0.00010285259725176612,0.00010194790947589705,1.3611778536562774e-05,-0.0022687647146980715,-0.0021706296387156545
3.5182282028742815,3.6535446722156,46040,0.0011867144285689951,5.899024790637943e-05,5.735990216652856e-05,1.3772834548570444e-05,-0.0012144982983058755,-0.0011584021659977672
3.6535446722156,3.788861141556919,48776,0.0004695802142757849,3.551768516045655e-05,3.34758848443018e-05,1.1868912884014748e-05,-0.0004744635410005575,-0.00044304992039572295
3.788861141556919,3.924177610898237,53480,0.00010047257756336411,2.415358163190142e-05,2.218716264538795e-05,9.545958275418338e-06,-0.00010188637965221035,-8.288959247442846e-05
3.924177610898237,4.059494080239555,56912,3.1560208898140967e-06,1.2598068974464277e-05,9.959584694850327e-06,7.71479193442443e-06,-5.757732768716895e-06,-1.5554918632627634e-06
4.059494080239555,4.1948105495808745,60728,0.0,8.929289345150541e-06,6.213797434693002e-06,6.412560303811645e-06,-1.4021174939631752e-08,0.0
