q_left_Mpc_h,q_right_Mpc_h,count,reference_RMS,vector_error_RMS,radial_error_RMS,transverse_RMS,radial_actual,radial_reference
0.0,0.13531646934131852,0,,,,,,
0.13531646934131852,0.27063293868263705,32,0.0005567148286271604,1.3211661166666088e-05,1.3211660767659236e-05,3.247011795581471e-09,-0.0005290976153447671,-0.0005419584144882615
0.27063293868263705,0.4059494080239556,24,0.0008088878927854501,1.919885894940129e-05,1.919885886605993e-05,1.7888898724214753e-09,-0.0007896890339193904,-0.0008088878927854506
0.4059494080239556,0.5412658773652741,104,0.001088162161058155,2.5823777759522577e-05,2.5823777695069716e-05,1.8245086315127357e-09,-0.0010584850091167075,-0.0010842150325778945
0.5412658773652741,0.6765823467065926,144,0.0014092042970402718,3.344205433345605e-05,3.344205417053954e-05,3.3009882791692956e-09,-0.0013742073687188305,-0.0014076115938444031
0.6765823467065926,0.8118988160479113,320,0.0017780045793575252,4.21960598041605e-05,4.219605945135003e-05,5.4565952622280345e-09,-0.0017324042239807735,-0.0017745175016318855
0.8118988160479113,0.9472152853892297,288,0.0021076883243476897,5.001719104213696e-05,5.001718998915065e-05,1.026327619686912e-08,-0.0020566441810182996,-0.002106636402123481
0.9472152853892297,1.0825317547305482,464,0.0024060233936808086,5.7099887379912264e-05,5.709988587718215e-05,1.3100055131051216e-08,-0.002347233412023202,-0.0024042922063117846
1.0825317547305482,1.2178482240718667,528,0.0027141019408228407,6.4406935274154e-05,6.440693192076439e-05,2.0783721004763915e-08,-0.00264844658568384,-0.0027128234010861656
1.2178482240718667,1.3531646934131851,896,0.0030613289929335595,7.265412422918637e-05,7.265411912516424e-05,2.723337067636141e-08,-0.0029866246121426202,-0.003059228839175407
1.3531646934131851,1.4884811627545038,744,0.0033801255799726032,8.021642870559937e-05,8.021641766678349e-05,4.2083115547819936e-08,-0.003299004138110774,-0.003379198383712421
1.4884811627545038,1.6237976320958225,1136,0.003685531680679194,8.746720843126062e-05,8.746719541405142e-05,4.771957383129221e-08,-0.0035969004756918033,-0.0036843389804916554
1.6237976320958225,1.7591141014371408,1224,0.004010909853599355,9.517608922756133e-05,9.517606457278464e-05,6.850612988925182e-08,-0.003914914101090746,-0.0040100703446201
1.7591141014371408,1.8944305707784594,1664,0.004347624862579898,0.00010318199821969505,0.00010318196729069959,7.98913651507711e-08,-0.004243338502878001,-0.004346493544300043
1.8944305707784594,2.0297470401197777,1536,0.004668887286681914,0.00011079615993512875,0.00011079611274254848,1.022619727273905e-07,-0.004557395152862665,-0.004668174684310998
2.0297470401197777,2.1650635094610964,2048,0.004980057121885709,0.00011818684131682545,0.00011818677425734572,1.2590111874876086e-07,-0.004860941307167327,-0.004979105052633785
2.1650635094610964,2.300379978802415,2112,0.005300985471665798,0.00012579638390073272,0.00012579629591516126,1.48783485918052e-07,-0.005174454690468113,-0.0053002341772197354
2.300379978802415,2.4356964481437333,2720,0.005630428784905233,0.00013394390405811632,0.00013394376910192538,1.9013968558462352e-07,-0.0054955733458532776,-0.005629486561590989
