case,g,gm1,gp,gpp,logg,W,y2,ly,h2,lh,s,sp,d,L,U_eV4,Up_eV4,split_raw,common_raw,force_F_eV4,deltaU_eV4,d_over_s,h_over_s,deltaK,deltaKp,A,Ap,V,Vp,E,E2,den,num,f,chi,rad,mat,N,z,u,q,tau,work,rho,t_Gyr,energy_residual,Omega_chi,loop_force_over_tree,delta_alpha,alpha_linear,B,clock_shape,age_shape
soft_0,1.0,-0.0,-0.007265208444853172,0.00015834976124149753,-0.0,50.27593469715373,4.4511090190679085e-34,-0.03632604222426586,2.7426889272604897e-47,-2.0363260422242657,1e+22,-7.265208444853172e+19,0.0,-0.0,-3.9696492244954164e-141,-1.2618417837585035e-51,-1.2537237586195493e-138,0.0,-1.2618417837585035e-51,0.0,0.0,5.2370687672213065e-46,0.0,2.0478426439466103e-38,1.0,2.0478426439466103e-38,50.27593469715373,-100.55186939430746,6.71170624753674,45.047000753223706,0.9999630391690647,45.04533577864473,-1.477940984858408,137.6422999547138,0.0672668672,44.29151999999998,-1.6486586255873816,4.2,0.0,1.4891775770929696,0.0996965217336752,0.0,100.22517206658665,1.4463276480685066,0.0,7.416340739726476e-05,1.023921321973305e-38,1.787872896180745e-05,1.801672570179561e-05,0.9999821215906814,1.0,1.0
soft_0,0.9999825816946513,-1.7418305348754834e-05,-0.007264828805302216,0.00015833872869569631,-1.7418457049197024e-05,50.035432811059344,4.450721374640896e-34,-0.03632553602827867,2.7293311789753007e-47,-2.036325536028279,9.999825816946513e+21,-7.2648288053022155e+19,0.0,-1.7418457049197024e-05,-3.010552397923887e-54,-1.2495220126151658e-51,-9.50814758280311e-52,0.0,-1.2495220126151658e-51,-3.010552397923887e-54,0.0,5.224391124434809e-46,4.909308921589653e-41,2.047414631280637e-38,1.0,2.047414631280637e-38,50.035432811059344,-100.07086562211869,6.695755241587121,44.83313825524141,0.999963041929581,44.83148130896066,-1.4778309430586374,137.6446975129656,0.06683505562256918,44.07810535862288,-1.6470486073983315,4.191634641413708,0.0023975582517986862,1.4891219644948477,0.09993668945421724,0.4813508332455958,99.74382123334088,1.449811833959379,-1.7014713276733391e-15,7.415929757544162e-05,1.0187980067187288e-38,1.7858498273289325e-05,1.7996182091603557e-05,0.9999821418206469,0.9988597478514086,0.9989067738951055
soft_0,0.9999651649514283,-3.48350485717323e-05,-0.00726444920641043,0.0001583276975236183,-3.4835655326127715e-05,49.79609033691596,4.450333783882676e-34,-0.03632502986666822,2.7160389867331183e-47,-2.0363250298666684,9.999651649514283e+21,-7.264449206410429e+19,0.0,-3.4835655326127715e-05,-5.991564741928571e-54,-1.23729298795396e-51,-1.8922999598832015e-51,0.0,-1.23729298795396e-51,-5.991564741928571e-54,0.0,5.2117446438992105e-46,9.8174080414793e-41,2.0469867104222107e-38,1.0,2.0469867104222107e-38,49.79609033691596,-99.59218067383192,6.679843330912375,44.620306925534535,0.9999630447028243,44.61865796883203,-1.4777203923417523,137.64709498147218,0.0664060160077132,43.86571903619158,-1.6454385892092813,4.183282740370546,0.004795026758379149,1.4890660934104187,0.10017742929448765,0.960380654490429,99.2647914120954,1.4533043197644993,-8.081988806448361e-15,7.415516854075386e-05,1.0136759471696259e-38,1.7838269047592264e-05,1.7975640323823898e-05,0.9999821620491506,0.9977195979640398,0.9978136341880413
soft_0,0.9999477497731957,-5.225022680436607e-05,-0.007264069648238585,0.0001583166677269744,-5.22515918950177e-05,49.5579016843551,4.449946246851767e-34,-0.03632452373952004,2.702812028684376e-47,-2.03632452373952,9.999477497731958e+21,-7.264069648238585e+19,0.0,-5.22515918950177e-05,-8.943255559727211e-54,-1.2251541134806398e-51,-2.8245246218352176e-51,0.0,-1.2251541134806398e-51,-8.943255559727211e-54,0.0,5.1991292500818484e-46,1.4724296802843496e-40,2.0465588814239396e-38,1.0,2.0465588814239396e-38,49.5579016843551,-99.1158033687102,6.663970422433972,44.40850179107481,0.9999630474888525,44.40686078541733,-1.477609330383905,137.6494923598164,0.06597973056115111,43.65435607784518,-1.6438285710202312,4.174944275221058,0.007192405102611636,1.4890099626436852,0.10041874257442027,1.4371006578296033,98.78807140875679,1.4568051246325464,-2.5522069915100086e-15,7.415102020593358e-05,1.0085551439091264e-38,1.781804128812585e-05,1.7955100401835388e-05,0.9999821822761888,0.9965795505254277,0.9967205809935891
soft_0,0.9999303361628311,-6.966383716886758e-05,-0.0072636901308477326,0.00015830563930748347,-6.966626380667204e-05,49.320861289963474,4.449558763606967e-34,-0.03632401764692003,2.689649984559733e-47,-2.03632401764692,9.999303361628312e+21,-7.2636901308477325e+19,0.0,-6.966626380667204e-05,-1.1865841942412854e-53,-1.2131047965747814e-51,-3.747557307438995e-51,0.0,-1.2131047965747814e-51,-1.1865841942412854e-53,0.0,5.18654486763541e-46,1.9629974645597112e-40,2.0461311443387255e-38,1.0,2.0461311443387255e-38,49.320861289963474,-98.64172257992695,6.648136423301232,44.1977179028245,0.9999630502877238,44.19608480986473,-1.4774977548514532,137.65188964757922,0.06555618160283022,43.44401155259739,-1.642218552831181,4.166619224350615,0.00958969286543664,1.4889535709934376,0.10066063061668953,1.9115219833563928,98.31365008323067,1.46031426775196,4.111889041877236e-15,7.414685248334043e-05,1.0034355975237656e-38,1.779781499831525e-05,1.793456232903189e-05,0.9999822025017583,0.995439605723945,0.9956276144270662
soft_0,0.999912924123226,-8.707587677402304e-05,-0.007263310654299212,0.00015829461226687282,-8.707966809827122e-05,49.08496361715493,4.44917133420736e-34,-0.03632351158895453,2.6765525356624266e-47,-2.0363235115889546,9.99912924123226e+21,-7.263310654299212e+19,0.0,-8.707966809827122e-05,-1.4759539553286508e-53,-1.2011444482681572e-51,-4.661466129061407e-51,0.0,-1.2011444482681572e-51,-1.4759539553286508e-53,0.0,5.173991421397587e-46,2.453444100634093e-40,2.0457034992197666e-38,1.0,2.0457034992197666e-38,49.08496361715493,-98.16992723430987,6.632341240890789,43.98795033562078,0.9999630530994965,43.98632511719638,-1.477385663400918,137.65428684433965,0.06513535156619284,43.23468055322144,-1.6406085346421309,4.158307566179361,0.011986889625856444,1.488896917253239,0.10090309474671397,2.3836557174228084,97.84151634916373,1.4638317683509883,-1.1343142184488927e-15,7.414266528496187e-05,9.983173086035423e-39,1.7777590181601462e-05,1.7914026108823682e-05,0.9999822227258555,0.9942997637488763,0.9945347346043578
soft_0,0.9998955136572852,-0.00010448634271478406,-0.0072629312186546615,0.0001582835866068781,-0.0001044918017929604,48.85020315604584,4.448783958712328e-34,-0.03632300556571025,2.663519364860807e-47,-2.0363230055657104,9.998955136572853e+21,-7.262931218654662e+19,0.0,-0.0001044918017929604,-1.7624562636600464e-53,-1.1892724832233651e-51,-5.566318750894944e-51,0.0,-1.1892724832233651e-51,-1.7624562636600464e-53,0.0,5.161468836390873e-46,2.94376953182491e-40,2.0452759461205677e-38,1.0,2.0452759461205677e-38,48.85020315604584,-97.70040631209169,6.616584782806021,43.77919418806021,0.9999630559242295,43.777576806192954,-1.4772730536789593,137.65668394967471,0.0647172229974476,43.02635819613546,-1.6389985164530805,4.150009279162154,0.01438399496092708,1.4888400002113962,0.1011461362926597,2.8535128928990408,97.37165917368813,1.4673576456977393,5.246203260326129e-15,7.41384585224154e-05,9.932002777420348e-39,1.7757366841441765e-05,1.789349174463669e-05,0.999982242948477,0.9931600247903736,0.9934419416419689
soft_0,0.9998781047679272,-0.00012189523207289052,-0.007262551823976002,0.0001582725623292432,-0.00012190266190047142,48.61657442331706,4.448396637181533e-34,-0.0363224995772743,2.6505501565801425e-47,-2.0363224995772744,9.998781047679272e+21,-7.2625518239760015e+19,0.0,-0.00012190266190047142,-2.046112402642042e-53,-1.1774883197118802e-51,-6.462182391756614e-51,0.0,-1.1774883197118802e-51,-2.046112402642042e-53,0.0,5.148977037821633e-46,3.4339737011247455e-40,2.0448484850949278e-38,1.0,2.0448484850949278e-38,48.61657442331706,-97.23314884663412,6.600866956876529,43.57144458238441,0.9999630587619815,43.56983499927928,-1.4771599233223343,137.65908096315954,0.06430177855484588,42.8190396212888,-1.6373884982640303,4.141724341788515,0.016781008445748504,1.488782818650955,0.10138975658544375,3.3211044894313018,96.90406757715556,1.4708919191002294,2.126839159591674e-15,7.413423210694059e-05,9.880845055362162e-39,1.773714498130904e-05,1.787295923991324e-05,0.9999822631696195,0.9920203890395001,0.992349235656923
soft_0,0.9998606974580837,-0.0001393025419162548,-0.007262172470325449,0.00015826153943572047,-0.00013931224541650558,48.38407196209339,4.448009369674931e-34,-0.036321993623734235,2.637644596795391e-47,-2.0363219936237344,9.998606974580838e+21,-7.262172470325449e+19,0.0,-0.00013931224541650558,-2.3269435155230326e-53,-1.165791379593077e-51,-7.349123827805589e-51,0.0,-1.165791379593077e-51,-2.3269435155230326e-53,0.0,5.136515951080047e-46,3.924056551184279e-40,2.0444211161969493e-38,1.0,2.0444211161969493e-38,48.38407196209339,-96.76814392418677,6.585187671157578,43.36469666436576,0.9999630616128117,43.363094842410064,-1.4770462699578664,137.66147788436726,0.06388900100796209,42.61271999204851,-1.6357784800749802,4.133452732582567,0.019177929653458093,1.4887253713496653,0.1016339569587377,3.786441433699073,96.43873063288679,1.4744346079064365,-7.940199529142249e-15,7.412998594940306e-05,9.829699925866319e-39,1.7716924604692452e-05,1.7852428598111027e-05,0.9999822833892792,0.9908808566881712,0.9912566167668561
soft_0,0.9998432917307011,-0.0001567082692989654,-0.007261793157765521,0.00015825051792807074,-0.00015672054932273634,48.15269034181505,4.447622156252778e-34,-0.03632148770517794,2.624802373023538e-47,-2.036321487705178,9.998432917307011e+21,-7.261793157765521e+19,0.0,-0.00015672054932273634,-2.6049706062589677e-53,-1.1541810882929456e-51,-8.227209395277415e-51,0.0,-1.1541810882929456e-51,-2.6049706062589677e-53,0.0,5.124085501739618e-46,4.41401802431269e-40,2.0439938394810457e-38,1.0,2.0439938394810457e-38,48.15269034181505,-96.3053806836301,6.569546833929551,43.15894560319379,0.9999630644767794,43.15735150495629,-1.47693209120241,137.66387471286902,0.06347887323697939,42.4073944950864,-1.63416846188593,4.125194430102984,0.02157475815522077,1.488667657079972,0.101878738748971,4.249534599670493,95.97563746691577,1.477985731504348,-3.828310487265013e-15,7.412571996029293e-05,9.778567394973958e-39,1.769670571509746e-05,1.7831899822704936e-05,0.9999823036074528,0.9897414279292572,0.9901640850899786
