q,n,eta,M_eV,Lambda_eV,lightest_vector_eV,heaviest_vector_eV,radial_mass_lambda_over_g_1_eV,radial_mass_lambda_over_g_3_eV,all_heavy_gap_lambda_over_g_3_eV,probe_over_gap_lambda_over_g_3,gap_criterion_lambda_over_g_3,abstract_tau,physical_local_tau,physical_local_zeta,abstract_zeta,physical_source_h2
3,127,1.0,666666666666.6666,2000000000000.0,623609564462.3235,2666516125226.227,471404520791.0316,1414213562373.0947,623609564462.3235,0.16035674514745465,False,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,1.0
3,127,1.05,666666666666.6666,2000000000000.0,654182733696.144,2666516131258.908,471404520791.0316,1414213562373.0947,654182733696.144,0.1528624875728502,False,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.9070294784580498
3,127,1.1,666666666666.6666,2000000000000.0,684648379260.1177,2666516137708.609,471404520791.0316,1414213562373.0947,684648379260.1177,0.14606037643449546,False,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.8264462809917354
3,127,1.15,666666666666.6666,2000000000000.0,714996008087.2739,2666516144596.9136,471404520791.0316,1414213562373.0947,714996008087.2739,0.1398609207169081,False,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.7561436672967865
3,127,1.2,666666666666.6666,2000000000000.0,745214006406.1566,2666516151947.547,471404520791.0316,1414213562373.0947,745214006406.1566,0.13418964101635253,False,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.6944444444444444
3,127,1.25,666666666666.6666,2000000000000.0,775289470351.8606,2666516159786.5996,471404520791.0316,1414213562373.0947,775289470351.8606,0.12898408120339308,False,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.64
3,127,1.3,666666666666.6666,2000000000000.0,805208006120.4901,2666516168142.7886,471404520791.0316,1414213562373.0947,805208006120.4901,0.12419151230475489,False,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.5917159763313609
3,127,1.35,666666666666.6666,2000000000000.0,834953492970.2357,2666516177047.7563,471404520791.0316,1414213562373.0947,834953492970.2357,0.11976714971784037,False,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.5486968449931412
3,127,1.4,666666666666.6666,2000000000000.0,864507800643.6594,2666516186536.4136,471404520791.0316,1414213562373.0947,864507800643.6594,0.11567275613423747,False,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.5102040816326532
3,127,1.45,666666666666.6666,2000000000000.0,893850450536.7615,2666516196647.329,471404520791.0316,1414213562373.0947,893850450536.7615,0.11187553794927274,False,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.4756242568370987
3,127,1.5,666666666666.6666,2000000000000.0,922958206990.8972,2666516207423.191,471404520791.0316,1414213562373.0947,922958206990.8972,0.10834726777719228,False,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.4444444444444444
3,127,1.55,666666666666.6666,2000000000000.0,951804581182.265,2666516218911.3257,471404520791.0316,1414213562373.0947,951804581182.265,0.10506358340468061,False,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.4162330905306971
3,127,1.6,666666666666.6666,2000000000000.0,980359224876.1992,2666516231164.312,471404520791.0316,1414213562373.0947,980359224876.1992,0.10200342635897378,False,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.39062499999999994
3,127,1.65,666666666666.6666,2000000000000.0,1008587184294.6334,2666516244240.693,471404520791.0316,1414213562373.0947,1008587184294.6334,0.09914859276140427,True,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.36730945821854916
3,127,1.7,666666666666.6666,2000000000000.0,1036447974785.5994,2666516258205.8105,471404520791.0316,1414213562373.0947,1036447974785.5994,0.09648337633221397,True,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.34602076124567477
3,127,1.75,666666666666.6666,2000000000000.0,1063894423817.1566,2666516273132.7847,471404520791.0316,1414213562373.0947,1063894423817.1566,0.09399428905850364,True,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.32653061224489793
3,127,1.8,666666666666.6666,2000000000000.0,1090871211463.5715,2666516289103.6685,471404520791.0316,1414213562373.0947,1090871211463.5715,0.09166984970282112,True,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.30864197530864196
3,127,1.85,666666666666.6666,2000000000000.0,1117313011628.5586,2666516306210.82,471404520791.0316,1414213562373.0947,1117313011628.5586,0.08950043448813265,True,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.2921840759678597
3,127,1.9,666666666666.6666,2000000000000.0,1143142100116.8557,2666516324558.538,471404520791.0316,1414213562373.0947,1143142100116.8557,0.08747818839825572,True,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.2770083102493075
3,127,1.95,666666666666.6666,2000000000000.0,1168265241648.3486,2666516344265.014,471404520791.0316,1414213562373.0947,1168265241648.3486,0.0855970000946928,True,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.26298487836949375
3,127,2.0,666666666666.6666,2000000000000.0,1192569587999.8877,2666516365464.693,471404520791.0316,1414213562373.0947,1192569587999.8877,0.08385254915624213,True,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.25
3,127,2.05,666666666666.6666,2000000000000.0,1215917199046.5376,2666516388311.126,471404520791.0316,1414213562373.0947,1215917199046.5376,0.08224244223078271,True,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.2379535990481856
3,127,2.1,666666666666.6666,2000000000000.0,1238137613294.7974,2666516412980.452,471404520791.0316,1414213562373.0947,1238137613294.7974,0.08076646644623844,True,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.22675736961451246
3,127,2.15,666666666666.6666,2000000000000.0,1259017603217.2822,2666516439675.6743,471404520791.0316,1414213562373.0947,1259017603217.2822,0.0794270070128177,True,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.2163331530557058
3,127,2.2,666666666666.6666,2000000000000.0,1278286780819.1921,2666516468631.9385,471404520791.0316,1414213562373.0947,1278286780819.1921,0.07822970674539467,True,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.20661157024793386
3,127,2.25,666666666666.6666,2000000000000.0,1295596939086.9326,2666516500123.1196,471404520791.0316,1414213562373.0947,1295596939086.9326,0.07718449849879597,True,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.19753086419753085
3,127,2.3,666666666666.6666,2000000000000.0,1310491678589.601,2666516534470.096,471404520791.0316,1414213562373.0947,1310491678589.601,0.07630723768320578,True,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.18903591682419663
3,127,2.35,666666666666.6666,2000000000000.0,1322360492206.0972,2666516572051.2407,471404520791.0316,1414213562373.0947,1322360492206.0972,0.07562234397457668,True,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.18107741059302848
3,127,2.4,666666666666.6666,2000000000000.0,1330367070881.269,2666516613315.8555,471404520791.0316,1414213562373.0947,1330367070881.269,0.0751672242862697,True,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.1736111111111111
3,127,2.45,666666666666.6666,2000000000000.0,1333413789956.8635,2666516658801.562,471404520791.0316,1414213562373.0947,1333413789956.8635,0.07499547458800096,True,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.16659725114535606
3,127,2.5,666666666666.6666,2000000000000.0,1333584157883.9768,2666516709157.074,471404520791.0316,1414213562373.0947,1333584157883.9768,0.0749858937726674,True,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.16
3,127,2.55,666666666666.6666,2000000000000.0,1333606321395.2075,2666516765172.4023,471404520791.0316,1414213562373.0947,1333606321395.2075,0.07498464756479323,True,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.15378700499807768
3,127,2.6,666666666666.6666,2000000000000.0,1333614631544.8997,2666516827819.4795,471404520791.0316,1414213562373.0947,1333614631544.8997,0.07498418031313661,True,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.14792899408284022
3,127,2.65,666666666666.6666,2000000000000.0,1333618964435.1155,2666516898307.6655,471404520791.0316,1414213562373.0947,1333618964435.1155,0.0749839366916601,True,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.1423994304022784
3,127,2.7,666666666666.6666,2000000000000.0,1333621620105.7686,2666516978160.8887,471404520791.0316,1414213562373.0947,1333621620105.7686,0.07498378737446464,True,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.1371742112482853
3,127,2.75,666666666666.6666,2000000000000.0,1333623413016.7485,2666517069326.9663,471404520791.0316,1414213562373.0947,1333623413016.7485,0.07498368656695452,True,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.1322314049586777
3,127,2.8,666666666666.6666,2000000000000.0,1333624704063.8633,2666517174335.903,471404520791.0316,1414213562373.0947,1333624704063.8633,0.07498361397721326,True,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.1275510204081633
3,127,2.85,666666666666.6666,2000000000000.0,1333625677590.8184,2666517296534.868,471404520791.0316,1414213562373.0947,1333625677590.8184,0.07498355924028774,True,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.12311480455524776
3,127,2.9,666666666666.6666,2000000000000.0,1333626437549.346,2666517440446.95,471404520791.0316,1414213562373.0947,1333626437549.346,0.0749835165113843,True,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.11890606420927467
3,127,2.95,666666666666.6666,2000000000000.0,1333627047001.7307,2666517612337.083,471404520791.0316,1414213562373.0947,1333627047001.7307,0.07498348224477051,True,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.11490950876185003
3,127,3.0,666666666666.6666,2000000000000.0,1333627546420.4858,2666517821139.556,471404520791.0316,1414213562373.0947,1333627546420.4858,0.0749834541648486,True,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,0.1111111111111111
