q,n,eta,M_eV,Lambda_eV,lightest_vector_eV,heaviest_vector_eV,radial_mass_lambda_over_g_1_eV,radial_mass_lambda_over_g_3_eV,all_heavy_gap_lambda_over_g_3_eV,probe_over_gap_lambda_over_g_3,gap_criterion_lambda_over_g_3,abstract_tau,physical_local_tau,physical_local_zeta,abstract_zeta,physical_source_h2
3,127,0.1,666666666666.6666,2000000000000.0,62849566241.65601,2666516072253.1094,471404520791.0316,1414213562373.0947,62849566241.65601,1.5911008775382938,False,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,99.99999999999999
3,127,0.15,666666666666.6666,2000000000000.0,94266134689.3042,2666516072867.535,471404520791.0316,1414213562373.0947,94266134689.3042,1.060826354338112,False,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,44.44444444444444
3,127,0.2,666666666666.6666,2000000000000.0,125672792575.20616,2666516073729.881,471404520791.0316,1414213562373.0947,125672792575.20616,0.7957171791193959,False,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,24.999999999999996
3,127,0.25,666666666666.6666,2000000000000.0,157066147434.0498,2666516074842.3154,471404520791.0316,1414213562373.0947,157066147434.0498,0.6366744307011719,False,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,16.0
3,127,0.3,666666666666.6666,2000000000000.0,188442729170.7718,2666516076207.65,471404520791.0316,1414213562373.0947,188442729170.7718,0.5306652076205994,False,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,11.11111111111111
3,127,0.35,666666666666.6666,2000000000000.0,219798968879.48682,2666516077829.3535,471404520791.0316,1414213562373.0947,219798968879.48682,0.4549611879882331,False,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,8.163265306122451
3,127,0.4,666666666666.6666,2000000000000.0,251131176425.28998,2666516079711.581,471404520791.0316,1414213562373.0947,251131176425.28998,0.39819827001746,False,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,6.249999999999999
3,127,0.45,666666666666.6666,2000000000000.0,282435516484.50134,2666516081859.195,471404520791.0316,1414213562373.0947,282435516484.50134,0.35406311941468416,False,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,4.938271604938271
3,127,0.5,666666666666.6666,2000000000000.0,313707982704.7734,2666516084277.8,471404520791.0316,1414213562373.0947,313707982704.7734,0.31876778887743107,False,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,4.0
3,127,0.55,666666666666.6666,2000000000000.0,344944369603.8928,2666516086973.78,471404520791.0316,1414213562373.0947,344944369603.8928,0.2899018184144655,False,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,3.305785123966942
3,127,0.6,666666666666.6666,2000000000000.0,376140241773.5723,2666516089954.34,471404520791.0316,1414213562373.0947,376140241773.5723,0.2658582860703261,False,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,2.7777777777777777
3,127,0.65,666666666666.6666,2000000000000.0,407290899890.1484,2666516093227.559,471404520791.0316,1414213562373.0947,407290899890.1484,0.24552475890566494,False,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,2.3668639053254434
3,127,0.7,666666666666.6666,2000000000000.0,438391342955.43964,2666516096802.441,471404520791.0316,1414213562373.0947,438391342955.43964,0.22810669418297458,False,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,2.0408163265306127
3,127,0.75,666666666666.6666,2000000000000.0,469436226095.0579,2666516100688.9873,471404520791.0316,1414213562373.0947,469436226095.0579,0.21302148074901792,False,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,1.7777777777777777
3,127,0.8,666666666666.6666,2000000000000.0,500419813124.29846,2666516104898.2607,471404520791.0316,1414213562373.0947,500419813124.29846,0.19983221562644476,False,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,1.5624999999999998
3,127,0.85,666666666666.6666,2000000000000.0,531335922948.5028,2666516109442.4766,471404520791.0316,1414213562373.0947,531335922948.5028,0.18820485436986353,False,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,1.384083044982699
3,127,0.9,666666666666.6666,2000000000000.0,562177868689.2219,2666516114335.0933,471404520791.0316,1414213562373.0947,562177868689.2219,0.17787964551710428,False,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,1.2345679012345678
3,127,0.95,666666666666.6666,2000000000000.0,592938388211.6407,2666516119590.917,471404520791.0316,1414213562373.0947,592938388211.6407,0.1686515867215304,False,7.6334682808894967808947687096929354158862357990495946286160074215e-61,0,9,1.125,1.10803324099723
