q,n,degree_exact,v_over_cutoff,log10_degree,log10_mu_over_v
2,2,7,0.1,0.84509804001425683071221625859263619348357239632396540650363495372,-4.4894053504650309636032473664383707620422443104737236349884634336
2,2,7,0.5,0.84509804001425683071221625859263619348357239632396540650363495372,-0.99455532878493693967194184006083589588319371778426634154060073919
2,2,7,0.9,0.84509804001425683071221625859263619348357239632396540650363495372,0.2818071967315934093470316661127823299590443314332350133101929695
2,2,7,0.99,0.84509804001425683071221625859263619348357239632396540650363495372,0.4887706225227186130980315223279035384925552837655004862928880629
2,4,31,0.1,1.4913616938342726796667041001184157223037015583041846559383497201,-27.884137808335741737398417411681526531378893066345735395387769361
2,4,31,0.5,1.4913616938342726796667041001184157223037015583041846559383497201,-7.6140076825911963985968453586918243076563996287468830933901657339
2,4,31,0.9,1.4913616938342726796667041001184157223037015583041846559383497201,-0.21110503459532037428679902288483859777141894328537523525556222348
2,4,31,0.99,1.4913616938342726796667041001184157223037015583041846559383497201,0.98928283499320580746900014316286441172294458024176450804406931823
2,8,511,0.1,2.7084209001347127317866031590629447279364406516356228916136369852,-506.67980649256855731365037322669719418124018108202529816056512016
2,8,511,0.5,2.7084209001347127317866031590629447279364406516356228916136369852,-150.90407428553498567744347064146414480624883074623854568757269788
2,8,511,0.9,2.7084209001347127317866031590629447279364406516356228916136369852,-20.970369187952196147311967712989809415508997335896907763761898333
2,8,511,0.99,2.7084209001347127317866031590629447279364406516356228916136369852,0.098507557584349594539817649709529613202417611527717385876462175436
2,16,131071,0.1,5.1175066128710954366535028582088558431197061428146766418192532538,-131064.27156569891678113059079729522605089171606181511000129988226
2,16,131071,0.5,5.1175066128710954366535028582088558431197061428146766418192532538,-39450.972067381268056600133989939802576371595635172214402316299165
2,16,131071,0.9,5.1175066128710954366535028582088558431197061428146766418192532538,-5992.6600959960447934865662938058091277883358605944773865285630438
2,16,131071,0.99,5.1175066128710954366535028582088558431197061428146766418192532538,-567.36224499264692739860626295386479153258645834693673085479040448
2,32,8589934591,0.1,9.9339898568608209101720116527576547060228157049875988999185807644,-8589934579.4550857682804423742039427669613966110216089880500397303
2,32,8589934591,0.5,9.9339898568608209101720116527576547060228157049875988999185807644,-2585827962.535637858492499354012495043086773758712785039924815965
2,32,8589934591,0.9,9.9339898568608209101720116527576547060228157049875988999185807644,-393053841.32807003123123480642142139559816290348372518548737680258
2,32,8589934591,0.99,9.9339898568608209101720116527576547060228157049875988999185807644,-37493383.355845815845157564774162136796265364473873704066477286331
2,64,36893488147419103231,0.1,19.566949718158777688881256581572597434381399713845729097399875419,-36893488147419103209.822125907033044127361355241897757428051976612
2,64,36893488147419103231,0.5,19.566949718158777688881256581572597434381399713845729097399875419,-11106046577046714244.479725469013365756959648443171925740321588928
2,64,36893488147419103231,0.9,19.566949718158777688881256581572597434381399713845729097399875419,-1688153435655909216.4965564909586129333763297644075213260900060506
