eta,s,p_over_M,local_cross,local_tau,ratio_to_abstract_static
0.5,0.000000000001,0.000001,3.3926525692151485056067570763193579338591396070715733235164673695e-73,3.0533873122936336550460813686874221404732256463644159911648206326e-72,0.0000000000039999999999185625000008747324218683196400909836849028399142865553
0.5,0.0000000000012589254117941672104239541063958006060936174094669310691079230195,0.0000011220184543019634355910389464779057367223085073605529624450744482,4.2710965327512048669375050828446702713648331780394696421014828117e-73,3.8439868794760843802437545745602032442283498602355226778913345306e-72,0.0000000000050357016470475991023365098167690881605924320715167845513518366831
0.5,0.0000000000015848931924611134852021013733915070132694421338250390683162968123,0.0000012589254117941672104239541063958006060936174094669310691079230195,5.3769919612707659580400701014482591116562249484883539965756779685e-73,4.8392927651436893622360630913034332004906024536395185969181101717e-72,0.0000000000063395727696398921895458264357641392471790514843454603090264388894
0.5,0.000000000001995262314968879601352455396739535557986274315405346099229913667,0.0000014125375446227543021556078639302409297897161501012685109119685596,6.7692318190001698459699612265171211432079200208834412818765319722e-73,6.092308637100152861372965103865409028887128018795097153688878775e-72,0.0000000000079810492595513098783972655099672527767315437768407337440408308388
0.5,0.0000000000025118864315095801110850320677993273941585181007824754286798884209,0.0000015848931924611134852021013733915070132694421338250390683162968123,8.5219579551753332008356407092023354405205795300100662840486485188e-73,7.669762159657799880752076638282101896468521577009059655643783667e-72,0.00000000001004754572552448455694293446829548369336078841500883822588384809
0.5,0.0000000000031622776601683793319988935444327185337195551393252168268575048528,0.0000017782794100389228012254211951926848447357905264022553580118307228,1.0728509427869623313811911062743808210150371441730055591212444739e-72,9.6556584850826609824307199564694273891353342975570500320912002647e-72,0.000000000012649110639859142328023235645693409045621058724799296519592598028
0.5,0.0000000000039810717055349725077025230508775204348767703729738044686528414806,0.000001995262314968879601352455396739535557986274315405346099229913667,1.350639314919321739169823784652450045233156184687849722059245446e-72,1.2155753834273895652528414061872050407098405662190647498533209014e-71,0.000000000015924286820849192637254764793600640213414672411553615138091795926
0.5,0.0000000000050118723362727228500155418688494576806047198983281926392969745589,0.000002238721138568339611954950852465742333707261397683803528065353234,1.7003541556845146006654846160199548984952087438683707324449014515e-72,1.5303187401160631405989361544179594086456878694815336592004113063e-71,0.000000000020047489343045273887511675459870612067353827828056954569818277821
0.5,0.0000000000063095734448019324943436013662234386467294525718822872452772952883,0.0000025118864315095801110850320677993273941585181007824754286798884209,2.1406190555844950701408746129656866926064599661613296755666651552e-72,1.9265571500260455631267871516691180233458139695451967080099986397e-71,0.000000000025238293775965644707399085079093857352700161207096299997733958496
0.5,0.0000000000079432823472428150206591828283638793258896063175548433209232392932,0.0000028183829312644538191019236991551107186830435837709540029410540597,2.6948797259565165833875221036531080878758409004052108209775703354e-72,2.4253917533608649250487698932877972790882568103646897388798133019e-71,0.000000000031773129383832901208964562261031467276034253779205161102851546031
0.5,0.00000000001,0.0000031622776601683793319988935444327185337195551393252168268575048528,3.3926525685934979325552683463827129233290449178909545906005850659e-72,3.0533873117341481392997415117444416309961404261018591315405265593e-71,0.000000000039999999991856250000874732421808196400913554037158790553034831869
