case,I,b,dt,t,R,Rdot,M2,Q2,Hfield,Hclock,Htotal,power_field,cosine_q_1,cosine_velocity_1,cosine_q_3,cosine_velocity_3,cosine_q_5,cosine_velocity_5
main_I10,10.0,2.0,0.00125,0.0,1.0,0.1,1.0,0.7853981633974483,0.8221348556005856,0.05,0.8721348556005857,-0.019634954084936207,0.5,0.0,-6.68466975980768e-17,0.0,-2.690462665721333e-17,0.0
main_I10,10.0,2.0,0.00125,0.02,1.002003919908823,0.10039160425509197,0.9990005435004039,0.784711316278356,0.8217424831467524,0.050392371024555,0.8721348541713073,-0.019596315343907586,0.4997813219125715,-0.021864244463489165,-6.246489669611077e-06,-0.0006242938991363374,3.887409818889484e-11,7.816833271629205e-09
main_I10,10.0,2.0,0.00125,0.04,1.0040156466585741,0.10078057190697084,0.9980022040521724,0.782653701512056,0.8213512328699798,0.05078361836948061,0.8721348512394604,-0.01952261009354679,0.4991256455317,-0.043696068658195295,-2.494371186891641e-05,-0.0012443657091327472,6.220763008926998e-10,6.218212923919444e-08
main_I10,10.0,2.0,0.00125,0.06,1.006035120883993,0.10116624203018103,0.9970050310317387,0.7792334529689297,0.820961804192225,0.05117304263254583,0.8721348468247708,-0.019414054476704634,0.4980338428189747,-0.06547313560882455,-5.596523003312376e-05,-0.0018560234278733171,3.1363357033928246e-09,2.0834582754565808e-07
main_I10,10.0,2.0,0.00125,0.08,1.008062270151475,0.10154796909880275,0.996009079359659,0.7744636631099855,0.8205748908155688,0.05155995014045699,0.8721348409560258,-0.019271005240133497,0.49650723120308327,-0.08717324376687646,-9.910130678048186e-05,-0.0024551337215275443,9.84979571688215e-09,4.889902567061507e-07
main_I10,10.0,2.0,0.00125,0.1,1.010097009289572,0.10192512522213552,0.9950144091860076,0.7683623215169741,0.8201911779130348,0.051943655757740036,0.8721348336707748,-0.01909395927342754,0.4945475703866987,-0.10877437531765924,-0.0001540603579736442,-0.0030376498934476825,2.3848428906019806e-08,9.430188672474036e-07
main_I10,10.0,2.0,0.00125,0.12,1.012139240763255,0.1022971022833524,0.9940210855613829,0.7609522325703054,0.8198113393370862,0.05232348567785332,0.8721348250149394,-0.018883552291623522,0.4921570581971867,-0.13025474344167398,-0.00022047095943659087,-0.0035996391442031294,4.894903098629869e-08,1.6044298107790922e-06
main_I10,10.0,2.0,0.00125,0.14,1.0141888550899065,0.10266331397275956,0.9930291780952307,0.7522609128289963,0.8194360348629891,0.052698780179347045,0.8721348150423361,-0.018640556657346166,0.48933832550495615,-0.15159283824128342,-0.00029788438999625886,-0.004137308908806912,8.959074586263303e-08,2.5012995358596713e-06
main_I10,10.0,2.0,0.00125,0.16,1.016245731294863,0.1030231977079901,0.9920387606032154,0.7423204687941468,0.8190659074842235,0.05306889632989807,0.8721348038141216,-0.01836587834791921,0.486094430238934,-0.1727674710566814,-0.0003857776903311952,-0.004647032066791018,1.507075550102344e-07,3.654899180518449e-06
main_I10,10.0,2.0,0.00125,0.18,1.0183097374041685,0.10337621643420104,0.9910499107453835,0.7311674558571997,0.8187015807769159,0.05343321062125389,0.8721347913981699,-0.018060553082327846,0.48242885053400586,-0.19375781691090416,-0.00048355721313565747,-0.005125370832388095,2.3758459052840283e-07,5.078963666991722e-06
main_I10,10.0,2.0,0.00125,0.2,1.0203807309720831,0.10372186029811364,0.99006270965687,0.7188427193452441,0.8183436563498819,0.05379112151850701,0.872134777868389,-0.01772574163215768,0.47834547705029806,-0.21454345484176082,-0.0005905626363844034,-0.005569099145511652,3.5570149849246593e-07,6.779130110447129e-06
main_I10,10.0,2.0,0.00125,0.22,1.0224585596407636,0.10405964819054202,0.9890772415728902,0.7053912186767609,0.8179927113962914,0.054142051907696866,0.8721347633039882,-0.017362724349505598,0.47384860450881483,-0.23510440589886103,-0.0007060714080453313,-0.005975223399307261,5.105663747089745e-07,8.752558516052922e-06
main_I10,10.0,2.0,0.00125,0.24,1.0245430617294435,0.10438912915287454,0.9880935934497403,0.6908618357315488,0.8176492963622323,0.054485451426477614,0.8721347477887099,-0.01697289495322054,0.4689429224921655,-0.2554211686061163,-0.0008293035874650566,-0.006341001356567294,7.075440163155435e-07,1.0987743836543915e-05
