N,spacing,field_relative_rms,max_field_rms,max_R_error,max_mass_squared_error
64,0.09817477042468103,0.0034670392024492387,0.002015191657274033,1.0616120564854725e-06,4.8588494117041137e-08
128,0.04908738521234052,0.0008667076605876614,0.0005040597147802979,2.653714719080824e-07,1.2147436501130926e-08
256,0.02454369260617026,0.00021667318034290423,0.00012602990987786922,6.634124138926722e-08,3.036877638251667e-09
