I,initial_clock_energy,final_R,final_R_fractional_departure,final_mass_squared,max_mass_difference_from_external,mass_difference_over_external_drift,field_rms_vs_external,field_rms_vs_frozen,field_energy_change,clock_energy_gain,independent_work,max_abs_energy_residual,max_abs_field_work_residual,verlet_field_rms_vs_same_grid,verlet_max_R_error,verlet_max_relative_energy_residual
10,0.05,3.743344555689088,0.24778151856302943,0.6814509295151241,0.026902084211038346,0.09222612473568739,0.07409605363141072,0.708313811558969,-0.0644661547822849,0.06446615478193934,-0.06446615478193914,2.5626167854397863e-12,2.5576008325089994e-12,2.1170009538377065e-06,1.558444706617479e-08,7.5327777719961e-07
100,0.5,3.0807252165731764,0.02690840552439222,0.7047783710066218,0.0035246256969961864,0.01208317417445304,0.00863395037956603,0.6516334879269626,-0.0596711767334821,0.05967117673312461,-0.05967117673312419,2.5295321393059567e-12,2.5300525563487497e-12,2.1302865778348324e-06,1.6205934372237607e-09,4.972685328058986e-07
1000,5.0,3.0081499167158174,0.002716638905272406,0.7079387204384675,0.00036427626515045386,0.0012488173036879877,0.0008786509901120847,0.6448587531336091,-0.05902379262806312,0.05902379262773039,-0.05902379262773284,2.716937785862683e-12,2.717012812653019e-12,2.1315213872995833e-06,1.6292656113137127e-10,1.129321687605993e-07
