dt,field_relative_rms,max_R_error,max_abs_total_energy_residual,max_abs_field_work_residual
0.01,0.00013634050655973747,1.0373044467826276e-07,4.207722147819837e-05,4.2082040619699154e-05
0.005,3.408470734532443e-05,2.5930337876900467e-08,1.0519299002531568e-05,1.0520503790516222e-05
0.0025,8.521151055163915e-06,6.482450576328347e-09,2.6298243547273614e-06,2.6301255500130877e-06
0.00125,2.1302865778348324e-06,1.6205934372237607e-09,6.574560598160417e-07,6.57531362874969e-07
