model,case,domain,q_factor,q,om_ref,s,H0,t0_gyr,rd_Mpc,M,chi2,delta_chi2,delta_AIC,H0_profile_delta1_low,H0_profile_delta1_high,at_omega_boundary,at_slope_boundary
logarithmic,1.0_future_positive,future_positive,1.0,0.9512450389523021,0.33167025352378426,0.021621486315505152,73.65258998242186,12.628476476142731,136.14919435070632,-19.245459134226465,1466.444105515528,0.8418578850053109,1.158142114994689,72.64495700458959,74.67414221381493,False,False
logarithmic,1.0_nondecreasing,nondecreasing,1.0,0.9512450389523021,0.33167023462359824,0.02162148748172938,73.65259013902222,12.628476449292025,136.14919609192,-19.245459135969263,1466.4441055155355,0.8418578849978076,1.1581421150021924,,,False,False
logarithmic,0.9_future_positive,future_positive,0.9,0.8561205350570719,0.3233929932731555,0.010765734289102099,73.66520093328148,11.363683114883083,136.22747277103724,-19.24561612618208,1466.6411810404961,0.644782360041745,1.355217639958255,,,False,False
logarithmic,1.1_future_positive,future_positive,1.1,1.0463695428475324,0.33838134233029293,0.033578010423974985,73.64737646722486,13.89230749387689,136.11131377262635,-19.24538717492812,1466.3608162745536,0.9251471259776736,1.0748528740223264,,,False,False
exponential,1.0_future_positive,future_positive,1.0,0.9512450389523021,0.14004045512938193,-0.35022776147483525,73.32785000557776,12.6844029918953,135.85433116481374,-19.242865268885,1462.3416390669577,4.944324333575651,-2.9443243335756506,72.31737502389933,74.35250807682263,False,False
exponential,1.0_nondecreasing,nondecreasing,1.0,0.9512450389523021,0.3611952136630513,0.05917424346333969,73.62667327324675,12.632921720476158,135.9999417439973,-19.24514314931774,1466.114766880192,1.1711965203412547,0.8288034796587453,,,False,False
exponential,0.9_future_positive,future_positive,0.9,0.8561205350570719,0.13198760698740059,-0.32497764703480136,73.32768870723095,11.41598780431016,135.8545502852679,-19.24284403163614,1462.2616022653676,5.024361135170238,-3.0243611351702384,,,False,False
exponential,1.1_future_positive,future_positive,1.1,1.0463695428475324,0.1467156350573574,-0.3750182760068633,73.32872012672836,13.952677726159688,135.85245386343655,-19.242886043751735,1462.4065722303574,4.8793911701739034,-2.8793911701739034,,,False,False
power_law,1.0_future_positive,future_positive,1.0,0.9512450389523021,0.3328040611180057,0.023378988014120416,73.6527568100484,12.628447871934977,136.14675877683027,-19.245457466405732,1466.443721599199,0.8422418013342394,1.1577581986657606,72.64512143542144,74.67430473484917,False,False
power_law,1.0_nondecreasing,nondecreasing,1.0,0.9512450389523021,0.3328040901006374,0.02337901409419461,73.65275672697133,12.62844788617931,136.14675825849503,-19.245457465409398,1466.4437215992098,0.8422418013235529,1.1577581986764471,,,False,False
power_law,0.9_future_positive,future_positive,0.9,0.8561205350570719,0.324104913373388,0.01161924541027326,73.66459783664993,11.363776150061579,136.2223131661818,-19.245607388761933,1466.6329086171886,0.6530547833492619,1.346945216650738,,,False,False
power_law,1.1_future_positive,future_positive,1.1,1.0463695428475324,0.05,-0.584999210602844,73.14808646219555,13.987132808030134,135.83053678397002,-19.241336884067685,1463.3288821268081,3.9570812737231336,-1.9570812737231336,,,True,False
