q,n,Lambda_eV,G00,tau,zeta,h2,M_eV,min_mass_eV,max_mass_eV,condition_H,mG_eV,phase,rH,hidden_self_mass_leading_eV,clockoff_my2_leading_eV2,max_x,max_static_force_ratio,max_once_rematched_force_ratio,alpha_delta,max_abs_static_dVchi_eV4,max_abs_static_dVy_eV4,FX_over_min_mass2,MQ_over_min_mass,max_mass_over_KK,gap_conditions_pass,static_response_and_gap_conditions_pass,once_rematched_response_and_gap_conditions_pass
2.0,202,1000000000000.0,0.25,2.3336307291979116e-61,1.0,0.08333333333333334,500000000000.0,500119733867.1163,1499960083401.1167,8.995212365110099,1e-20,zero,3.1911241336605953,8.435087432860433e-05,5.663277378528645e-66,9.48676e-33,1.698038598024461e-19,8.490192990122329e-20,4.743379999999986e-33,2.432804961030364e-33,0.0,1.6862098041942276e-16,0.19995211791936685,0.014999600834011168,False,False,False
2.0,202,1000000000000.0,0.25,2.3336307291979116e-61,1.0,0.08333333333333334,500000000000.0,500119733867.1163,1499960083401.1167,8.995212365110099,1.7782794100389228e-20,zero,3.1911241336605953,0.0001499994230373378,5.664617475109425e-66,2.9999769215378977e-32,9.54877275437438e-19,4.77438637718716e-19,1.4999884607689584e-32,1.3680667657154713e-32,0.0,2.9985521758043584e-16,0.19995211791936685,0.014999600834011168,False,False,False
2.0,202,1000000000000.0,0.25,2.3336307291979116e-61,1.0,0.08333333333333334,500000000000.0,500119733867.1163,1499960083401.1167,8.995212365110099,3.162277660168379e-20,zero,3.1911241336605953,0.0002667408855050159,5.668855232589297e-66,9.486759999999999e-32,5.369669524636388e-18,2.6848347623181895e-18,4.743380000000008e-32,7.693204779813128e-32,0.0,5.332263594160303e-16,0.19995211791936685,0.014999600834011168,False,False,False
2.0,202,1000000000000.0,0.25,2.3336307291979116e-61,1.0,0.08333333333333334,500000000000.0,500119733867.1163,1499960083401.1167,8.995212365110099,5.62341325190349e-20,zero,3.1911241336605953,0.0004743398245091195,5.682256198397105e-66,2.999976921537897e-31,3.019587076318257e-17,1.5097935381591332e-17,1.499988460768944e-31,4.32620697084084e-31,0.0,9.48225455839541e-16,0.19995211791936685,0.014999600834011168,False,False,False
2.0,202,1000000000000.0,0.25,2.3336307291979116e-61,1.0,0.08333333333333334,500000000000.0,500119733867.1163,1499960083401.1167,8.995212365110099,1e-19,zero,3.1911241336605953,0.0008435087432860433,5.724633773195819e-66,9.48676e-31,1.6980385980244614e-16,8.490192990122253e-17,4.74338000000003e-31,2.4328049610303653e-30,0.0,1.6862098041942276e-15,0.19995211791936685,0.014999600834011168,False,False,False
2.0,202,1000000000000.0,0.25,2.3336307291979116e-61,1.0,0.08333333333333334,500000000000.0,500119733867.1163,1499960083401.1167,8.995212365110099,1.7782794100389227e-19,zero,3.1911241336605953,0.001499994230373378,5.858643431273906e-66,2.9999769215378974e-30,9.54877275437438e-16,4.774386377187182e-16,1.499988460768951e-30,1.368066765715471e-29,0.0,2.9985521758043583e-15,0.19995211791936685,0.014999600834011168,False,False,False
2.0,202,1000000000000.0,0.25,2.3336307291979116e-61,1.0,0.08333333333333334,500000000000.0,500119733867.1163,1499960083401.1167,8.995212365110099,3.162277660168379e-19,zero,3.1911241336605953,0.002667408855050159,6.282419179261042e-66,9.48676e-30,5.369669524636388e-15,2.6848347623182025e-15,4.7433799999999846e-30,7.693204779813128e-29,0.0,5.332263594160303e-15,0.19995211791936685,0.014999600834011168,False,False,False
2.0,202,1000000000000.0,0.25,2.3336307291979116e-61,1.0,0.08333333333333334,500000000000.0,500119733867.1163,1499960083401.1167,8.995212365110099,5.623413251903491e-19,zero,3.1911241336605953,0.004743398245091195,7.622515760041905e-66,2.999976921537897e-29,3.019587076318257e-14,1.5097935381591192e-14,1.499988460768958e-29,4.326206970840841e-28,0.0,9.482254558395409e-15,0.19995211791936685,0.014999600834011168,False,False,False
2.0,202,1000000000000.0,0.25,2.3336307291979116e-61,1.0,0.08333333333333334,500000000000.0,500119733867.1163,1499960083401.1167,8.995212365110099,1e-18,zero,3.1911241336605953,0.008435087432860434,1.1860273239913267e-65,9.486760000000001e-29,1.6980385980244616e-13,8.490192990122297e-14,4.743380000000007e-29,2.432804961030366e-27,0.0,1.6862098041942278e-14,0.19995211791936685,0.014999600834011168,False,False,False
2.0,202,1000000000000.0,0.25,2.3336307291979116e-61,1.0,0.08333333333333334,500000000000.0,500119733867.1163,1499960083401.1167,8.995212365110099,1.778279410038923e-18,zero,3.1911241336605953,0.014999942303733783,2.5261239047721918e-65,2.999976921537898e-28,9.548772754374383e-13,4.774386377187208e-13,1.4999884607689436e-28,1.3680667657154714e-26,0.0,2.998552175804359e-14,0.19995211791936685,0.014999600834011168,False,False,False
2.0,202,1000000000000.0,0.25,2.3336307291979116e-61,1.0,0.08333333333333334,500000000000.0,500119733867.1163,1499960083401.1167,8.995212365110099,3.1622776601683795e-18,zero,3.1911241336605953,0.02667408855050159,6.763881384643546e-65,9.486760000000001e-28,5.3696695246363885e-12,2.6848347623181975e-12,4.743379999999995e-28,7.69320477981313e-26,0.0,5.332263594160303e-14,0.19995211791936685,0.014999600834011168,False,False,False
2.0,202,1000000000000.0,0.25,2.3336307291979116e-61,1.0,0.08333333333333334,500000000000.0,500119733867.1163,1499960083401.1167,8.995212365110099,5.623413251903491e-18,zero,3.1911241336605953,0.04743398245091196,2.01648471924522e-64,2.9999769215378977e-27,3.019587076318259e-11,1.5097935381591275e-11,1.4999884607689506e-27,4.3262069708408435e-25,0.0,9.48225455839541e-14,0.19995211791936685,0.014999600834011168,False,False,False
2.0,202,1000000000000.0,0.25,2.3336307291979116e-61,1.0,0.08333333333333334,500000000000.0,500119733867.1163,1499960083401.1167,8.995212365110099,9.999999999999999e-18,zero,3.1911241336605953,0.08435087432860433,6.254242199116579e-64,9.486759999999999e-27,1.6980385980244609e-10,8.490192990122333e-11,4.743379999999984e-27,2.4328049610303648e-24,0.0,1.6862098041942275e-13,0.19995211791936685,0.014999600834011168,False,False,False
2.0,202,1000000000000.0,0.25,2.3336307291979116e-61,1.0,0.08333333333333334,500000000000.0,500119733867.1163,1499960083401.1167,8.995212365110099,1.7782794100389228e-17,zero,3.1911241336605953,0.14999942303733782,1.965520800692523e-63,2.999976921537898e-26,9.548772754374382e-10,4.774386377187197e-10,1.499988460768947e-26,1.3680667657154717e-23,0.0,2.998552175804359e-13,0.19995211791936685,0.014999600834011168,False,False,False
