case,n,g,initial_mode,dt,t,energy,relative_energy_deviation,cosine_q_1,cosine_velocity_1,cosine_q_3,cosine_velocity_3,cosine_q_5,cosine_velocity_5,cosine_q_initial_mode,cosine_velocity_initial_mode
spatial_N64,64,1.0,1,0.004,0.0,0.8218983914666935,0.0,0.5,0.0,-1.0277609662000695e-16,0.0,1.766774543808872e-17,0.0,0.5,0.0
spatial_N64,64,1.0,1,0.004,0.02,0.8218983837167988,-9.429261371707298e-09,0.4997813482548613,-0.021863154008873203,-6.246626623743091e-06,-0.0006242832595643667,3.746955188375716e-11,7.957652343142238e-09,0.4997813482548613,-0.021863154008873203
spatial_N64,64,1.0,1,0.004,0.04,0.8218983605150515,-3.765872080840893e-08,0.49912561747413137,-0.04370386701342222,-2.4944377111708164e-05,-0.0012443561581917972,6.165339740143942e-10,6.246422556434837e-08,0.49912561747413137,-0.04370386701342222
spatial_N64,64,1.0,1,0.004,0.06,0.821898322004746,-8.451403266107604e-08,0.498033480526124,-0.0654997475557845,-5.596714947632001e-05,-0.0018560369304463113,3.1242253003876526e-09,2.0877769942224435e-07,0.498033480526124,-0.0654997475557845
spatial_N64,64,1.0,1,0.004,0.08,0.8218982684229853,-1.497067149136555e-07,0.4965060572086559,-0.08722850296035722,-9.91057253205225e-05,-0.0024552007733041536,9.82943309212567e-09,4.89602830367657e-07,0.4965060572086559,-0.08722850296035722
spatial_N64,64,1.0,1,0.004,0.1,0.8218982000981342,-2.328372477045093e-07,0.49454491178583904,-0.1088679879513806,-0.0001540691892270281,-0.003037807758242972,2.3819657339508736e-08,9.438855691488762e-07,0.49454491178583904,-0.1088679879513806
spatial_N64,64,1.0,1,0.004,0.12,0.8218981174463076,-3.3339934568665797e-07,0.4921520495611822,-0.1303962523509362,-0.00022048690001868164,-0.003599930066957228,4.891443834656071e-08,1.605690996752231e-06,0.4921520495611822,-0.1303962523509362
spatial_N64,64,1.0,1,0.004,0.14,0.8218980209669611,-4.507853237356585e-07,0.4893299125083341,-0.15179158756515518,-0.00029791099820226496,-0.004137778336085161,8.955738725758406e-08,2.503189798397972e-06,0.4893299125083341,-0.15179158756515518
spatial_N64,64,1.0,1,0.004,0.16,0.821897911237646,-5.842924776233716e-07,0.48608137398653045,-0.17303257157845112,-0.00038581942970214146,-0.004647726905426595,1.5068922015566894e-07,3.657775961296312e-06,0.48608137398653045,-0.17303257157845112
spatial_N64,64,1.0,1,0.004,0.18,0.8218977889080241,-7.33130367081003e-07,0.4824097325732678,-0.1940981121903046,-0.0004836194619879838,-0.0051263377752532435,2.376046238941555e-07,5.0833355640339355e-06,0.4824097325732678,-0.1940981121903046
spatial_N64,64,1.0,1,0.004,0.2,0.8218976546932286,-8.964288925605857e-07,0.47831870505186813,-0.21496748824632986,-0.0005906516649396188,-0.0055703830913072195,3.5579614819918493e-07,6.78568328874073e-06,0.47831870505186813,-0.21496748824632986
spatial_N64,64,1.0,1,0.004,0.22,0.8218975093666807,-1.0732470363539193e-06,0.47381241859637474,-0.23562038863481508,-0.0007061943253072296,-0.0059768659907686395,5.10788615591551e-07,8.762179702173113e-06,0.47381241859637474,-0.23562038863481508
spatial_N64,64,1.0,1,0.004,0.24,0.8218973537524724,-1.2625821291800676e-06,0.4688954022005836,-0.2560369488413914,-0.0008294682604511666,-0.0063430396586482765,7.079677635562549e-07,1.100153849978346e-05,0.4688954022005836,-0.2560369488413914
spatial_N64,64,1.0,1,0.004,0.26,0.8218971887174289,-1.463379509125673e-06,0.4635725774019307,-0.27619778487766844,-0.0009596419942057902,-0.006666424461507507,9.524069772871168e-07,1.3483828871098933e-05,0.4635725774019307,-0.27619778487766844
spatial_N64,64,1.0,1,0.004,0.28,0.8218970151629691,-1.6745424236130901e-06,0.4578492483543995,-0.2960840244242782,-0.0010958372552342466,-0.0069448230438943,1.2486960331330654e-06,1.618067401431937e-05,0.4578492483543995,-0.2960840244242782
spatial_N64,64,1.0,1,0.004,0.3,0.8218968340168818,-1.8949420363956193e-06,0.4517310913075435,-0.3156773350544871,-0.0012371347561396695,-0.0071763332921702585,1.6007757519223467e-06,1.905564269256044e-05,0.4517310913075435,-0.3156773350544871
spatial_N64,64,1.0,1,0.004,0.32,0.8218966462251296,-2.1234273993586683e-06,0.44522414355113604,-0.334959949431047,-0.001382580209889855,-0.007359359090246298,2.011782358813779e-06,2.206482667023045e-05,0.44522414355113604,-0.334959949431047
spatial_N64,64,1.0,1,0.004,0.34,0.8218964527437949,-2.3588352511261235e-06,0.43833479188683333,-0.353914687395951,-0.0015311905388037364,-0.007492618811897949,2.4839051633218287e-06,2.5157592983525716e-05,0.43833479188683333,-0.353914687395951
spatial_N64,64,1.0,1,0.004,0.36,0.821896254531265,-2.5999995263426e-06,0.43106976068957387,-0.37252497489991454,-0.0016819602304440073,-0.007575151514555758,3.0182609159314425e-06,2.8277496362547907e-05,0.43106976068957387,-0.37252497489991454
spatial_N64,64,1.0,1,0.004,0.38,0.8218960525407581,-2.8457604488441035e-06,0.42343609962222983,-0.39077485974542303,-0.0018338677942591063,-0.007606320819528037,3.6147878697680798e-06,3.1363333808219094e-05,0.42343609962222983,-0.39077485974542303
spatial_N64,64,1.0,1,0.004,0.4,0.8218958477132722,-3.094973110684407e-06,0.4154411710672816,-0.4086490241437759,-0.001985882272714557,-0.007585816483291856,4.272162186250367e-06,3.4350320402924944e-05,0.4154411710672816,-0.4086490241437759
spatial_N64,64,1.0,1,0.004,0.42,0.8218956409710317,-3.3465154456457924e-06,0.40709263733901896,-0.4261327941124432,-0.0021369697609385525,-0.007513653683574855,4.987738879290893e-06,3.717136295239363e-05,0.40709263733901896,-0.4261327941124432
spatial_N64,64,1.0,1,0.004,0.44,0.8218954332114999,-3.5992955143004934e-06,0.3983984477389927,-0.44321214576397755,-0.0022860998895657936,-0.007390170062256639,5.7575190040288875e-06,3.975840606803519e-05,0.3983984477389927,-0.44321214576397755
spatial_N64,64,1.0,1,0.004,0.46,0.8218952253020018,-3.852258046332935e-06,0.3893668255161791,-0.4598737085614705,-0.0024322522264794756,-0.007216020584471575,6.576144272257877e-06,4.20438238344339e-05,0.3893668255161791,-0.4598737085614705
