case,n,g,initial_mode,dt,t,energy,relative_energy_deviation,cosine_q_1,cosine_velocity_1,cosine_q_3,cosine_velocity_3,cosine_q_5,cosine_velocity_5,cosine_q_initial_mode,cosine_velocity_initial_mode
spatial_N64,64,1.0,1,0.004,0.48,0.8218950180750033,-4.1043901840565056e-06,0.3800062547915905,-0.4761047656378933,-0.002574422554503626,-0.0069921702895467865,7.4369197300255254e-06,4.3961829292982614e-05,0.3800062547915905,-0.4761047656378933
spatial_N64,64,1.0,1,0.004,0.5,0.8218948123240715,-4.35472639837009e-06,0.370325467504909,-0.4918932512974498,-0.002711628983763062,-0.006719885024431022,8.3318645723197e-06,4.5449873617083004e-05,0.370325467504909,-0.4918932512974498
spatial_N64,64,1.0,1,0.004,0.52,0.821894608800526,-4.602352561833278e-06,0.3603334304381648,-0.5072277458361478,-0.002842917859381009,-0.006400720263957684,9.25179060886277e-06,4.645000706138399e-05,0.3603334304381648,-0.5072277458361478
spatial_N64,64,1.0,1,0.004,0.54,0.8218944082107947,-4.846409167091892e-06,0.3500393323685579,-0.5220974678360362,-0.002967369427396358,-0.006036508134559287,1.0186407342690801e-05,4.691017451887759e-05,0.3500393323685579,-0.5220974678360362
spatial_N64,64,1.0,1,0.004,0.56,0.8218942112144547,-5.086093709638639e-06,0.33945257139927987,-0.5364922641028842,-0.0030841032242256983,-0.005629342768850158,1.1124452092482696e-05,4.678541979998051e-05,0.33945257139927987,-0.5364922641028842
spatial_N64,64,1.0,1,0.004,0.58,0.8218940184229492,-5.320662249452823e-06,0.32858274251365627,-0.5504025974304245,-0.0031922831576391315,-0.005181564127785507,1.2053843087884053e-05,4.603897451796056e-05,0.32858274251365627,-0.5504025974304245
spatial_N64,64,1.0,1,0.004,0.6,0.8218938303989494,-5.549430186935211e-06,0.3174396253941534,-0.5638195323856077,-0.003291122250033711,-0.004695740434875166,1.2961853007058678e-05,4.4643209687568876e-05,0.3174396253941534,-0.5638195323856077
spatial_N64,64,1.0,1,0.004,0.62,0.8218936476563241,-5.771772300211531e-06,0.3060331725438058,-0.5767347193186351,-0.0033798870177428556,-0.004174649373182485,1.3835300012500918e-05,4.258043076698899e-05,0.3060331725438058,-0.5767347193186351
spatial_N64,64,1.0,1,0.004,0.64,0.821893470660682,-5.987122085437946e-06,0.29437349774347077,-0.5891403768088302,-0.0034579014631852772,-0.0036212582006007353,1.4660752985816167e-05,3.9843499842047816e-05,0.29437349774347077,-0.5891403768088302
spatial_N64,64,1.0,1,0.004,0.66,0.8218932998304285,-6.194970470718708e-06,0.28247086487403583,-0.6010292727627513,-0.003524550659802085,-0.0030387029422110435,1.5424747367471885e-05,3.643627190354551e-05,0.28247086487403583,-0.6010292727627513
spatial_N64,64,1.0,1,0.004,0.68,0.8218931355382945,-6.394863955927477e-06,0.2703356771283406,-0.6123947043843642,-0.003579283912928998,-0.0024302668204422384,1.6114007781225603e-05,3.23738356394193e-05,0.2703356771283406,-0.6123947043843642
spatial_N64,64,1.0,1,0.004,0.7000000000000001,0.8218929781132741,-6.586402255592816e-06,0.25797846663316026,-0.6232304772386819,-0.00362161748297254,-0.001799358084345936,1.6715673467419898e-05,2.7682552784347522e-05,0.25797846663316026,-0.6232304772386819
spatial_N64,64,1.0,1,0.004,0.72,0.8218928278429162,-6.7692355102400015e-06,0.24540988449716633,-0.6335308836301005,-0.003651136860481711,-0.0011494873986448424,1.721752246703186e-05,2.239989377098554e-05,0.24540988449716633,-0.6335308836301005
spatial_N64,64,1.0,1,0.004,0.74,0.8218926849759093,-6.9430611416843035e-06,0.23264069129637097,-0.6432906805148415,-0.0036674985859030756,-0.0004842449513987237,1.7608190490314994e-05,1.6574071142604138e-05,0.23264069129637097,-0.6432906805148415
spatial_N64,64,1.0,1,0.004,0.76,0.8218925497249017,-7.107620421775707e-06,0.2196817480042076,-0.6525050671635317,-0.0036704316099573794,0.00019272256374826767,1.78773804701187e-05,1.0263475845544249e-05,0.2196817480042076,-0.6525050671635317
spatial_N64,64,1.0,1,0.004,0.78,0.8218924222694929,-7.262694832643746e-06,0.20654400736912015,-0.661169662785143,-0.0036597381936583208,0.0008777349386240158,1.8016058937758575e-05,3.535925060881492e-06,0.20654400736912015,-0.661169662785143
spatial_N64,64,1.0,1,0.004,0.8,0.8218923027593462,-7.408102279504725e-06,0.19323850573837276,-0.6692804843173846,-0.003635294349990421,0.0015671012674938717,1.801663556651249e-05,-3.5322664067164225e-06,0.19323850573837276,-0.6692804843173846
spatial_N64,64,1.0,1,0.004,0.8200000000000001,0.8218921913173585,-7.5436932344130625e-06,0.17977635532275757,-0.6768339245813104,-0.003597049832157542,0.0022571424480299605,1.787312250005709e-05,-1.0857376042294493e-05,0.17977635532275757,-0.6768339245813104
spatial_N64,64,1.0,1,0.004,0.84,0.821892088042841,-7.669346865690763e-06,0.1661687368930081,-0.6838267309894831,-0.0035450276760908414,0.0029442132305443963,1.7581270414536757e-05,-1.8349506861589453e-05,0.1661687368930081,-0.6838267309894831
spatial_N64,64,1.0,1,0.004,0.86,0.8218919930146567,-7.784967221424743e-06,0.15242689289502848,-0.6902559849876593,-0.0034793233075536695,0.003624723686487286,1.7138678648494102e-05,-2.591394350361353e-05,0.15242689289502848,-0.6902559849876593
spatial_N64,64,1.0,1,0.004,0.88,0.8218919062942698,-7.890479517991267e-06,0.13856212096755308,-0.6961190823997115,-0.0034001032266890467,0.004295159974442362,1.654487716603025e-05,-3.3452608569227026e-05,0.13856212096755308,-0.6961190823997115
spatial_N64,64,1.0,1,0.004,0.9,0.8218918279286659,-7.985826588563505e-06,0.12458576784256294,-0.7014137148345116,-0.0033076032852152456,0.0049521042894856634,1.580137858899947e-05,-4.0865594870069175e-05,0.12458576784256294,-0.7014137148345116
spatial_N64,64,1.0,1,0.004,0.92,0.8218917579530997,-8.070965538786723e-06,0.11050922360572837,-0.7061378523018562,-0.003202126573678535,0.00559225388973051,1.4911699034437587e-05,-4.8052747951357784e-05,0.11050922360572837,-0.7061378523018562
spatial_N64,64,1.0,1,0.004,0.9400000000000001,0.8218916963936429,-8.145864647146617e-06,0.09634391629132527,-0.710289727172312,-0.0030840409382139828,0.006212439102090752,1.3881347015527192e-05,-5.4915272389852426e-05,0.09634391629132527,-0.710289727172312
spatial_N64,64,1.0,1,0.004,0.96,0.8218916432694938,-8.210500555549949e-06,0.08210130678350167,-0.713867819603188,-0.0029537761481409604,0.0068096402176902725,1.2717780199437588e-05,-6.135733495730945e-05,0.08210130678350167,-0.713867819603188
spatial_N64,64,1.0,1,0.004,0.98,0.8218915985950299,-8.26485577065661e-06,0.0677928839934564,-0.7168708445397791,-0.0028118207374263193,0.0073810031958703,1.143033035381916e-05,-6.728763778209501e-05,0.0677928839934564,-0.7168708445397791
spatial_N64,64,1.0,1,0.004,1.0,0.8218915623815745,-8.308916515709086e-06,0.05343016028004307,-0.7192977403876426,-0.002658718544583239,0.007923854104349336,1.003009734712706e-05,-7.262093512656886e-05,0.05343016028004307,-0.7192977403876426
spatial_N64,64,1.0,1,0.004,1.02,0.8218915346388648,-8.342670943184416e-06,0.03902466707953212,-0.7211476594380318,-0.00249506497693638,0.008435712231728974,8.529813587082212e-06,-7.727946831801217e-05,0.03902466707953212,-0.7211476594380318
spatial_N64,64,1.0,1,0.004,1.04,0.8218915153762052,-8.366107732693528e-06,0.024587950708760173,-0.7224199601147798,-0.0023215030263735656,0.008914301817176873,6.943680778277207e-06,-8.119429470282826e-05,0.024587950708760173,-0.7224199601147798
spatial_N64,64,1.0,1,0.004,1.06,0.8218915046032937,-8.379215084564073e-06,0.01013156830466918,-0.7231142010969454,-0.00213871906472158,0.00935756235072746,5.287181345996412e-06,-8.43064882134956e-05,0.01013156830466918,-0.7231142010969454
spatial_N64,64,1.0,1,0.004,1.08,0.8218915023307174,-8.381980117766474e-06,-0.00433291613770757,-0.7232301373574586,-0.0019474384477290428,0.009763657406196734,3.576867301346119e-06,-8.656819121494923e-05,-0.00433291613770757,-0.7232301373574586
spatial_N64,64,1.0,1,0.004,1.1,0.8218915085701123,-8.374388674736721e-06,-0.018793935667419184,-0.7227677181438665,-0.00174842095731449,0.010130981977193945,1.8301297060872618e-06,-8.794349969300989e-05,-0.018793935667419184,-0.7227677181438665
spatial_N64,64,1.0,1,0.004,1.12,0.8218915233339903,-8.3564255320967e-06,-0.03323992425891753,-0.7217270869131347,-0.0015424561122438982,0.010458168295115661,6.495222795480332e-08,-8.840916652510774e-05,-0.03323992425891753,-0.7217270869131347
spatial_N64,64,1.0,1,0.004,1.1400000000000001,0.8218915466352329,-8.32807501716104e-06,-0.04765932071160893,-0.7201085832183104,-0.0013303583777409277,0.010744090116317277,-1.7003474462749444e-06,-8.79551104855541e-05,-0.04765932071160893,-0.7201085832183104
spatial_N64,64,1.0,1,0.004,1.16,0.8218915784862645,-8.28932201324406e-06,-0.06204057260653702,-0.7179127465307884,-0.0011129623047069596,0.010987865473869136,-3.447384356462899e-06,-8.658472173915651e-05,-0.06204057260653702,-0.7179127465307884
spatial_N64,64,1.0,1,0.004,1.18,0.8218916188979102,-8.240153349436952e-06,-0.07637214035863121,-0.7151403219679013,-0.0008911176292385628,0.011188857897412616,-5.157977037320655e-06,-8.431495781722836e-05,-0.07637214035863121,-0.7151403219679013
spatial_N64,64,1.0,1,0.004,1.2,0.821891667877957,-8.180559551318467e-06,-0.09064250140221065,-0.7117922678816853,-0.0006656843629795612,0.011346676112633746,-6.814418085988172e-06,-8.117622739789356e-05,-0.09064250140221065,-0.7117922678816853
spatial_N64,64,1.0,1,0.004,1.22,0.8218917254294303,-8.110536937833146e-06,-0.10484015454641275,-0.7078697652509407,-0.00043752790453527193,0.0114611722397671,-8.399740285859426e-06,-7.721206257692943e-05,-0.10484015454641275,-0.7078697652509407
spatial_N64,64,1.0,1,0.004,1.24,0.8218917915486106,-8.030090034805148e-06,-0.11895362453592248,-0.7033742288051712,-0.0002075142017103533,0.011532438518324258,-9.89797409080933e-06,-7.247858366353651e-05,-0.11895362453592248,-0.7033742288051712
spatial_N64,64,1.0,1,0.004,1.26,0.8218918662228109,-7.939234278109275e-06,-0.13297146685081623,-0.6983073197956817,2.3495006289223467e-05,0.011560802592907038,-1.1294392387712372e-05,-6.704376381529826e-05,-0.13297146685081623,-0.6983073197956817
spatial_N64,64,1.0,1,0.004,1.28,0.82189194942794,-7.837998979520755e-06,-0.14688227277750937,-0.692670960316097,0.00025464683832228683,0.011546821402508626,-1.2575738633149731e-05,-6.098650398901357e-05,-0.14688227277750937,-0.692670960316097
spatial_N64,64,1.0,1,0.004,1.3,0.8218920411258872,-7.726430508059323e-06,-0.16067467478071396,-0.6864673490618682,0.0004851017850013397,0.011491273723112455,-1.3730434700240436e-05,-5.4395531680210977e-05,-0.16067467478071396,-0.6864673490618682
spatial_N64,64,1.0,1,0.004,1.32,0.821892141261753,-7.604595659738145e-06,-0.174337352203981,-0.6796989784060365,0.0007140380602279388,0.011395151420661189,-1.4748765069036405e-05,-4.7368139707772584e-05,-0.174337352203981,-0.6796989784060365
spatial_N64,64,1.0,1,0.004,1.34,0.8218922497609672,-7.472585163870171e-06,-0.1878590373238273,-0.6723686526566652,0.0009406557654110302,0.011259649478561631,-1.5623034345019595e-05,-4.000878383005708e-05,-0.1878590373238273,-0.6723686526566652
spatial_N64,64,1.0,1,0.004,1.36,0.8218923665263315,-7.330517281189941e-06,-0.20122852177964096,-0.6644795073500245,0.0011641808425574655,0.011086154870799522,-1.6347695488804403e-05,-3.242756021538213e-05,-0.20122852177964096,-0.6644795073500245
spatial_N64,64,1.0,1,0.004,1.3800000000000001,0.8218924914350256,-7.178541446384301e-06,-0.21443466339853265,-0.6560350294228694,0.0013838687939126538,0.010876234358427998,-1.691944658029941e-05,-2.4738585699407003e-05,-0.21443466339853265,-0.6560350294228694
spatial_N64,64,1.0,1,0.004,1.4000000000000001,0.8218926243356243,-7.0168418981886305e-06,-0.22746639343106534,-0.647039078097089,0.001599008147449627,0.010631621293635287,-1.733729441547472e-05,-1.7058305316387974e-05,-0.22746639343106534,-0.647039078097089
spatial_N64,64,1.0,1,0.004,1.42,0.8218927650451671,-6.8456412433137714e-06,-0.24031272421036445,-0.6374959063006993,0.0018089236492507693,0.010354201521752919,-1.7602583736148393e-05,-9.503752763011328e-06,-0.24031272421036445,-0.6374959063006993
spatial_N64,64,1.0,1,0.004,1.44,0.8218929133463325,-6.665203896139005e-06,-0.2529627572435066,-0.627410182440701,0.002012979165692888,0.010045998477389215,-1.7718991414557826e-05,-2.1907902311903843e-06,-0.2529627572435066,-0.627410182440701
spatial_N64,64,1.0,1,0.004,1.46,0.8218930689847627,-6.47583933255369e-06,-0.26540569174031514,-0.616787012335817,0.0022105802803248703,0.009709157576320179,-1.769248544808904e-05,4.767645589823493e-06,-0.26540569174031514,-0.616787012335817
spatial_N64,64,1.0,1,0.004,1.48,0.821893231666591,-6.277905098883707e-06,-0.2776308335807877,-0.60563196111066,0.00240117657241099,0.009345930009785234,-1.753124915526347e-05,1.1263264592132564e-05,-0.2776308335807877,-0.60563196111066
spatial_N64,64,1.0,1,0.004,1.5,0.8218934010562228,-6.07180951139874e-06,-0.2896276047183546,-0.5939510748475666,0.0025842635662920977,0.00895865605236472,-1.7245571495567112e-05,1.7194085123248617e-05,-0.2896276047183546,-0.5939510748475666
spatial_N64,64,1.0,1,0.004,1.52,0.8218935767744178,-5.858013990223121e-06,-0.3013855530120489,-0.5817509017882555,0.0027593843429812082,0.008549747998598874,-1.6847704953280222e-05,2.2466011244983743e-05,-0.3013855530120489,-0.5817509017882555
spatial_N64,64,1.0,1,0.004,1.54,0.8218937583967281,-5.637034959038445e-06,-0.3128943624764828,-0.5690385128747337,0.0029261308077482124,0.00812167284688415,-1.635169292154697e-05,2.6994301233771887e-05,-0.3128943624764828,-0.5690385128747337
spatial_N64,64,1.0,1,0.004,1.56,0.8218939454523365,-5.409445258841572e-06,-0.32414386393429817,-0.5558215214175763,0.0030841446098474443,0.007676934851889264,-1.5773168990250246e-05,3.07049048225462e-05,-0.32414386393429817,-0.5558215214175763
spatial_N64,64,1.0,1,0.004,1.58,0.8218941374233414,-5.175875018470499e-06,-0.3351240460515191,-0.5421081016799294,0.0032331177129878417,0.007218058068707326,-1.5129130971731951e-05,3.353564867491555e-05,-0.3351240460515191,-0.5421081016799294
spatial_N64,64,1.0,1,0.004,1.6,0.8218943337445296,-4.937011930050694e-06,-0.34582506673201885,-0.5279070061674145,0.003372792617622955,0.00674756901314286,-1.443769288629219e-05,3.543725189153696e-05,-0.34582506673201885,-0.5279070061674145
spatial_N64,64,1.0,1,0.004,1.62,0.8218945338036794,-4.693600880845139e-06,-0.3562372648431479,-0.5132275814176214,0.0035029622386310395,0.006267979562864663,-1.3717818467614109e-05,3.6374155937666033e-05,-0.3562372648431479,-0.5132275814176214
spatial_N64,64,1.0,1,0.004,1.6400000000000001,0.8218947369424189,-4.446442908978554e-06,-0.36635117224049385,-0.49807978208811793,0.00362346944444608,0.005781770223581668,-1.2989040032971655e-05,3.632515620876481e-05,-0.36635117224049385,-0.49807978208811793
spatial_N64,64,1.0,1,0.004,1.6600000000000001,0.8218949424576764,-4.1963934386268775e-06,-0.37615752605578673,-0.4824741831489293,0.0037342062661699853,0.005291373882877263,-1.2271166788599213e-05,3.5283825472889364e-05,-0.37615752605578673,-0.4824741831489293
spatial_N64,64,1.0,1,0.004,1.68,0.8218951496037312,-3.944359784568974e-06,-0.38564728120817277,-0.466421989994274,0.003835112787626,0.004799160171820152,-1.1583986804384098e-05,3.325872259475474e-05,-0.38564728120817277,-0.466421989994274
spatial_N64,64,1.0,1,0.004,1.7,0.8218953575948877,-3.69129789923317e-06,-0.39481162309547146,-0.4499350462990004,0.003926175729681717,0.0043074205509317865,-1.0946966991666441e-05,3.0273383207459945e-05,-0.39481162309547146,-0.4499350462990004
spatial_N64,64,1.0,1,0.004,1.72,0.8218955656087693,-3.43820836434805e-06,-0.40364198041866883,-0.43302583945763595,0.004007426744458174,0.0038183542325069906,-1.037895545128462e-05,2.6366092297428e-05,-0.40364198041866883,-0.43302583945763595
spatial_N64,64,1.0,1,0.004,1.74,0.8218957727902293,-3.186131633081679e-06,-0.4121300380897901,-0.4157075034582073,0.004078940437226687,0.0033340550456469453,-9.897890527080385e-06,2.1589441957594517e-05,-0.4121300380897901,-0.4157075034582073
spatial_N64,64,1.0,1,0.004,1.76,0.8218959782558631,-2.9361425395446616e-06,-0.42026775017050116,-0.3979938190589697,0.004140832135857441,0.002856499343676413,-9.520520802340114e-06,1.6009680785404167e-05,-0.42026775017050116,-0.3979938190589697
spatial_N64,64,1.0,1,0.004,1.78,0.8218961810990976,-2.689344107409397e-06,-0.4280473527863192,-0.37989921115380465,0.004193255429601698,0.002387535045895858,-9.262140116080095e-06,9.705864506484509e-06,-0.4280473527863192,-0.37989921115380465
spatial_N64,64,1.0,1,0.004,1.8,0.8218963803958191,-2.4468607010552645e-06,-0.43546137695922105,-0.361438743231217,0.004236399500743376,0.0019288718968976206,-9.136341454330388e-06,2.7688203415797386e-06,-0.43546137695922105,-0.361438743231217
spatial_N64,64,1.0,1,0.004,1.82,0.8218965752105001,-2.209830573085547e-06,-0.44250266129973703,-0.34262810885245415,0.004270486274224839,0.001482073016998767,-9.15479329414721e-06,-4.700059644772498e-06,-0.44250266129973703,-0.34262810885245415
spatial_N64,64,1.0,1,0.004,1.84,0.8218967646027642,-1.979397874718458e-06,-0.4491643644983465,-0.3234836200961252,0.004295767411719128,0.0010485478067757542,-9.327041647597643e-06,-1.259017851062272e-05,-0.4491643644983465,-0.3234836200961252
spatial_N64,64,1.0,1,0.004,1.86,0.8218969476343261,-1.7567042136512612e-06,-0.45543997755516696,-0.30402219293964994,0.004312521177767611,0.0006295462573060954,-9.660340677182522e-06,-2.0783227846715786e-05,-0.45543997755516696,-0.30402219293964994
spatial_N64,64,1.0,1,0.004,1.8800000000000001,0.8218971233762333,-1.5428798417760348e-06,-0.4613233356865697,-0.2842613295717093,0.004321049206514791,0.00022615470562132564,-1.0159514337177268e-05,-2.915479291895154e-05,-0.4613233356865697,-0.2842613295717093
spatial_N64,64,1.0,1,0.004,1.9000000000000001,0.8218972909163293,-1.3390345759978217e-06,-0.4668086298474865,-0.26421909765439205,0.004321673198235697,-0.0001607069378355894,-1.0826851046168021e-05,-3.7576046345788285e-05,-0.4668086298474865,-0.26421909765439205
spatial_N64,64,1.0,1,0.004,1.92,0.8218974493668447,-1.1462485614011086e-06,-0.47189041780879076,-0.24391410657869228,0.004314731575256104,-0.0005302864761577128,-1.1662032919848228e-05,-4.591550600238002e-05,-0.47189041780879076,-0.24391410657869228
spatial_N64,64,1.0,1,0.004,1.94,0.8218975978720292,-9.655629851224035e-07,-0.4765636347302641,-0.22336548078215965,0.004300576127002197,-0.0008819992272941473,-1.2662100599433387e-05,-5.404083212008645e-05,-0.4765636347302641,-0.22336548078215965
spatial_N64,64,1.0,1,0.004,1.96,0.8218977356157184,-7.979708707139821e-07,-0.4808236031712846,-0.20259283022257885,0.004279568673780097,-0.0012154263534811475,-1.3821454206015154e-05,-6.182063821988287e-05,-0.4808236031712846,-0.20259283022257885
spatial_N64,64,1.0,1,0.004,1.98,0.8218978618287429,-6.444080632439508e-07,-0.48466604248349965,-0.18161621812627488,0.004252077778471898,-0.0015303117463534872,-1.5131890444288983e-05,-6.912629058065833e-05,-0.48466604248349965,-0.18161621812627488
spatial_N64,64,1.0,1,0.004,2.0,0.8218979757960679,-5.057445420231232e-07,-0.48808707753236,-0.1604561261537382,0.004218475534646319,-0.0018265575090362265,-1.65826753765133e-05,-7.583367139017648e-05,-0.48808707753236,-0.1604561261537382
spatial_N64,64,1.0,1,0.004,2.02,0.8218980768635745,-3.827761707597688e-07,-0.4910832466974794,-0.1391334171484499,0.004179134458620337,-0.0021042180899848778,-1.8160651898393478e-05,-8.182488154156995e-05,-0.4910832466974794,-0.1391334171484499
spatial_N64,64,1.0,1,0.004,2.04,0.8218981644443761,-2.76217011374591e-07,-0.49365150910532457,-0.11766929565679717,0.004134424511782254,-0.0023634931363837814,-1.9850380478359398e-05,-8.698986020165577e-05,-0.49365150910532457,-0.11766929565679717
spatial_N64,64,1.0,1,0.004,2.06,0.8218982380245788,-1.86692316606063e-07,-0.49578925105170585,-0.09608526642752674,0.0040847102780035005,-0.0026047191473631648,-2.163431127921397e-05,-9.122789976102826e-05,-0.49578925105170585,-0.09608526642752674
spatial_N64,64,1.0,1,0.004,2.08,0.8218982971684038,-1.1473229621916659e-07,-0.49749429157590075,-0.07440309111804147,0.0040303483192441324,-0.002828360018998052,-2.3492985369873653e-05,-9.444903654741004e-05,-0.49749429157590075,-0.07440309111804147
spatial_N64,64,1.0,1,0.004,2.1,0.8218983415225889,-6.076676284383353e-08,-0.49876488715295975,-0.05264474345176137,0.003971684730506937,-0.0030349965838540197,-2.5405262362852138e-05,-9.657529970788704e-05,-0.49876488715295975,-0.05264474345176137
spatial_N64,64,1.0,1,0.004,2.12,0.821898370820003,-2.5120733493366743e-08,-0.4995997354757825,-0.030832363085530775,0.003909052913140483,-0.0032253152576042715,-2.7348571482925283e-05,-9.75418029005544e-05,-0.4995997354757825,-0.030832363085530775
spatial_N64,64,1.0,1,0.004,2.14,0.8218983848824193,-8.011056262802185e-09,-0.4999979783038574,-0.00898820845846442,0.003842771583153171,-0.0034000959138300183,-2.9299182789370274e-05,-9.72976658408049e-05,-0.4999979783038574,-0.00898820845846442
