N,spacing,dt,q_error_continuum,q_error_corrected,velocity_error_continuum,velocity_error_corrected,q_error_verlet_to_lattice_reference,q_error_verlet_to_continuum,max_spatial_rms_continuum,max_spatial_rms_corrected,q_error_final_continuum,q_error_final_corrected,energy_relative_max,cosine3_max,cosine3_relative_error,omega1_from_crossings,raw_tail_norm_fraction_ka_gt_half,corrected_tail_norm_fraction_ka_gt_half,raw_tail_norm_fraction_ka_gt_one,corrected_tail_norm_fraction_ka_gt_one,correction_improvement_factor,order_continuum_from_previous,order_corrected_from_previous
64,0.09817477042468103,0.004,0.0031369562178411316,1.7674910360784335e-06,0.003477070522770919,3.3966595637083063e-06,2.3343538207925384e-05,0.0031137559586659038,0.0017939294433091805,1.0151422320524757e-06,0.00835640406505512,4.406152461510441e-06,8.386980489105689e-06,0.004712675010987546,0.06575127830272981,1.462432437855448,1.778963202784696e-11,1.7922532290547632e-11,4.36020560267624e-19,4.4863242205650465e-19,1774.807426916946,,
128,0.04908738521234052,0.0011764705882352942,0.0007843372881925916,1.0975349672334005e-07,0.0008691643538304043,2.101918730523404e-07,2.0204436176346143e-06,0.0007823291248344328,0.00044830596057916024,6.269328976900838e-08,0.0020946846330432865,2.9559627832783947e-07,7.257123080250949e-07,0.004681972787349546,0.01642830401308339,1.4626392038626752,1.9231172775308194e-19,1.9225133960553658e-19,1.719602924312634e-24,3.146446888886397e-33,7146.353525024368,1.999819299431234,4.009364088784935
256,0.02454369260617026,0.00029850746268656717,0.00019608975604778152,6.84921110919817e-09,0.00021727987007393143,1.3115192526661059e-08,1.3009330758607313e-07,0.0001959604511318031,0.00011206283688693918,3.9052369815693525e-09,0.0005240082050219855,1.8737278001182663e-08,4.672477194045399e-08,0.004673797132824951,0.00410672446511332,1.4626912072153242,1.0753576044047847e-16,1.7708611621615422e-33,1.0753576043579223e-16,0.0,28629.538923751694,1.9999600197730447,4.002185265920156
512,0.01227184630308513,7.518796992481203e-05,4.902276746767377e-05,4.2794759518673576e-10,5.431919315364189e-05,8.355403158865533e-10,8.253835062936986e-09,4.9014563616593496e-05,2.801481716836232e-05,2.438925120623045e-10,0.00013102291021620697,1.1750321478806806e-09,2.9644391386085545e-09,0.004671713755544601,0.001026655110764344,1.4627042396046903,2.695109103856618e-18,0.0,2.695109097780722e-18,0.0,114553.20235245764,1.9999903338170724,4.000431782627867
