digits,mG_eV,rH,phase,chi_index,mass2,sourcex,persistx,contactx,valley_x,dc
100,1e-12,0,zero,0,7.39417232562367518173579136927907639401604178e-37,9.50053526717182200484945189064222027883447908e-58,0.0,3.12160955036503402532561009528783712714655741e-17,0.0,-5.20316518472363643728718892254190892364056192e-30
100,1e-12,0,zero,1024,9.99384023890182282432359818448059145898780528e-39,-7.03458840806334642853376512247329943524598692e-38,0.0,4.21884594887072986856311718703376522274493634e-19,0.0,-5.20316518472363643728718892254190892364056192e-30
100,1e-12,0,quadrature,0,7.39417232562367518173579136927907639401604178e-37,-6.84838664950316086368378731915018266022814293e-82,0.0,3.12160955036503402532561009528783712714655741e-17,-1.58756686910508850650568206377810179466452466e-77,-5.20316518472363643728718892254190892364056192e-30
100,1e-12,0,quadrature,1024,9.99384023890182282432359818448059145898780528e-39,-7.03458840806334642854481010224232024643947608e-38,0.0,4.21884594887072986856311718703376522274493634e-19,-1.17459782506026908302995149055577862512030393e-75,-5.20316518472363643728718892254190892364056192e-30
100,1e-12,0,pi,0,7.39417232562367518173579136927907639401604178e-37,-9.50053526717182200484946558741551928515620645e-58,0.0,3.12160955036503402532561009528783712714655741e-17,0.0,-5.20316518472363643728718892254190892364056192e-30
100,1e-12,0,pi,1024,9.99384023890182282432359818448059145898780528e-39,-7.03458840806334642855585508201134105763296525e-38,0.0,4.21884594887072986856311718703376522274493634e-19,0.0,-5.20316518472363643728718892254190892364056192e-30
100,1e-12,2,zero,0,7.3941723256236752857990950637518051397596702e-37,9.50053526717182200484945189064222027883447908e-58,-9.50053526717182200484945189064942923675882726e-58,3.12160955036503402532561009528783712714655741e-17,0.0,3.94813532451335574634992831682844891274492683e-60
100,1e-12,2,zero,1024,9.9938402389018332306539676317534660333639062e-39,-7.03458840806334642853376512247329943524598692e-38,7.03458840806334642853376512247863724521381754e-38,4.21884594887072986856311718703376522274493634e-19,0.0,3.94813532451335574634992831682844891274492683e-60
100,1e-12,2,quadrature,0,7.39417232562367528579909506375180513975982023e-37,-6.84838664950316086368378731915018266022814293e-82,6.84838664950316086368378731915537918124696683e-82,3.12160955036503402532561009528783712714655741e-17,8.63882589215138639763571121187853988006406832e-90,3.94813532451335574634992831682844891274492683e-60
100,1e-12,2,quadrature,1024,9.99384023890183323065396763175346603336565037e-39,-7.03458840806334642854481010224232024643947608e-38,7.0345884080633464285448101022476580564073067e-38,4.21884594887072986856311718703376522274493634e-19,6.39163382750314188434810324638117241976489897e-88,3.94813532451335574634992831682844891274492683e-60
100,1e-12,2,pi,0,7.39417232562367528579909506375180513975997026e-37,-9.50053526717182200484946558741551928515620645e-58,9.50053526717182200484946558742272824308055462e-58,3.12160955036503402532561009528783712714655741e-17,0.0,3.94813532451335574634992831682844891274492683e-60
100,1e-12,2,pi,1024,9.99384023890183323065396763175346603336739454e-39,-7.03458840806334642855585508201134105763296525e-38,7.03458840806334642855585508201667886760079587e-38,4.21884594887072986856311718703376522274493634e-19,0.0,3.94813532451335574634992831682844891274492683e-60
100,1e-12,4,zero,0,7.39417232562367538986239875822453388550329863e-37,9.50053526717182200484945189064222027883447908e-58,-1.90010705343436440096989037812988584735176545e-57,3.12160955036503402532561009528783712714655741e-17,0.0,5.20316518472363643728718892254980519428958863e-30
100,1e-12,4,zero,1024,9.99384023890184363698433707902634060774000712e-39,-7.03458840806334642853376512247329943524598692e-38,1.40691768161266928570675302449572744904276351e-37,4.21884594887072986856311718703376522274493634e-19,0.0,5.20316518472363643728718892254980519428958863e-30
100,1e-12,4,quadrature,0,7.39417232562367538986239875822453388550359868e-37,-6.84838664950316086368378731915018266022814293e-82,1.36967732990063217273675746383107583624939337e-81,3.12160955036503402532561009528783712714655741e-17,1.58756686910681618231240394170207449109352447e-77,5.20316518472363643728718892254980519428958863e-30
100,1e-12,4,quadrature,1024,9.99384023890184363698433707902634060774349546e-39,-7.03458840806334642854481010224232024643947608e-38,1.40691768161266928570896202044953161128146134e-37,4.21884594887072986856311718703376522274493634e-19,1.17459782506154251748069557999344974119283365e-75,5.20316518472363643728718892254980519428958863e-30
100,1e-12,4,pi,0,7.39417232562367538986239875822453388550389873e-37,-9.50053526717182200484946558741551928515620645e-58,1.90010705343436440096989311748454564861611092e-57,3.12160955036503402532561009528783712714655741e-17,0.0,5.20316518472363643728718892254980519428958863e-30
100,1e-12,4,pi,1024,9.99384023890184363698433707902634060774698381e-39,-7.03458840806334642855585508201134105763296525e-38,1.40691768161266928571117101640333577352015917e-37,4.21884594887072986856311718703376522274493634e-19,0.0,5.20316518472363643728718892254980519428958863e-30
