mG_eV,rH,sigma,phase,start_chi,stop_chi,first_chi,cause,root_residual
1e-12,0,1,zero,139.79424666735443,219.79424666735443,157.0434121731861,curvature_or_feedback_within_root_resolution,-1.7734641907974234e-66
1e-12,0,1,quadrature,139.79424666735443,219.79424666735443,157.0434121731861,curvature_or_feedback_within_root_resolution,-1.7734641907974234e-66
1e-12,2,1,zero,139.79424666735443,219.79424666735443,163.12965466763157,conservative_feedback,-4.996003610813204e-16
1e-12,2,1,quadrature,139.79424666735443,219.79424666735443,163.07112862477027,conservative_feedback,-3.164135620181696e-15
1e-12,4,1,zero,139.79424666735443,219.79424666735443,162.92838458730998,conservative_feedback,-1.2073675392798577e-15
1e-12,4,1,quadrature,139.79424666735443,219.79424666735443,162.8807746593625,conservative_feedback,7.216449660063518e-16
1e-12,100,1,zero,139.79424666735443,219.79424666735443,161.52282288943664,conservative_feedback,1.4432899320127035e-15
1e-12,100,1,quadrature,139.79424666735443,219.79424666735443,161.51207405529797,conservative_feedback,1.7763568394002505e-15
1e-06,0,1,zero,139.79424666735443,219.79424666735443,143.22790161522147,curvature_or_feedback_within_root_resolution,2.4214997049213275e-55
1e-06,0,1,quadrature,139.79424666735443,219.79424666735443,143.22790161522147,curvature_or_feedback_within_root_resolution,2.4214997049213275e-55
1e-06,2,1,zero,139.79424666735443,219.79424666735443,149.51993162790126,conservative_feedback,-3.788636071533347e-15
1e-06,2,1,quadrature,139.79424666735443,219.79424666735443,149.45251992111153,conservative_feedback,-9.159339953157541e-16
1e-06,4,1,zero,139.79424666735443,219.79424666735443,149.32290781684185,conservative_feedback,1.2906342661267445e-15
1e-06,4,1,quadrature,139.79424666735443,219.79424666735443,149.26785163568854,conservative_feedback,1.5126788710517758e-15
1e-06,100,1,zero,139.79424666735443,219.79424666735443,147.9502238699271,conservative_feedback,-7.632783294297951e-16
1e-06,100,1,quadrature,139.79424666735443,219.79424666735443,147.93730072398614,conservative_feedback,-2.220446049250313e-15
0.001,0,1,zero,139.79424666735443,219.79424666735443,139.79424666735443,already_nonpositive_curvature,0.0
0.001,0,1,quadrature,139.79424666735443,219.79424666735443,139.79424666735443,already_nonpositive_curvature,0.0
0.001,2,1,zero,139.79424666735443,219.79424666735443,142.92650149428619,conservative_feedback,2.8449465006019636e-15
0.001,2,1,quadrature,139.79424666735443,219.79424666735443,142.84085123098063,conservative_feedback,-2.3814283878209608e-14
0.001,4,1,zero,139.79424666735443,219.79424666735443,142.73918408773326,conservative_feedback,1.2212453270876722e-15
0.001,4,1,quadrature,139.79424666735443,219.79424666735443,142.66869200747087,conservative_feedback,8.881784197001252e-16
0.001,100,1,zero,139.79424666735443,219.79424666735443,141.4501665411525,conservative_feedback,-1.7763568394002505e-15
0.001,100,1,quadrature,139.79424666735443,219.79424666735443,141.4322986581326,conservative_feedback,6.938893903907228e-17
