mG_eV,rH,sigma,phase,M_vector_eV,mKK_eV,tau,A,source_c,persistent_soft_coefficient,formal_net_c,min_my2_eV2,min_transverse_schur_eV2,clockoff_my2_leading_eV2,max_radial_mass_eV,source_CW_force_ratio,persistent_CW_force_ratio,clock_contact_CW_force_ratio,contact_Btree_force_ratio,contact_B5d_force_ratio,selected_signed_axis_ratio,selected_signed_chi_ratio,selected_axis_moduli_sum,selected_feedback_sum_ratio,quadratic_valley_force_ratio,max_valley_energy_over_U,valley_boundary_fraction,FT_over_MV2,max_hierarchy_ratio,max_coupling_loop_parameter,max_soft_over_charged_mass2,finite_interval_local_pass,clockoff_local_pass,hierarchy_pass,auxiliary_pass,perturbative_pass,stated_conditions_pass,leading_cancellation_branch
1e-12,0.1,1.0,zero,1000000000000.0,100000000000000.0,7.312879823703261e-63,4.335970987269697e-31,5.203165184723636e-30,2.6015825923618183e-31,4.943006925487454e-30,9.993840238901685e-39,9.993840238901685e-39,-9.886013850969244e-54,6.928203230275509e-12,4.223354530332044e-23,2.1116772651660223e-24,0.0002533045986560874,0.0,0.0,0.0002533045986560874,0.0002533045986560874,0.0002533045986560874,0.0002533045986560874,0.0,0.0,0.0,4.217543716430216e-09,0.1,0.012665147955292222,1.2323620542706126e-59,True,False,True,True,True,False,False
1e-12,0.1778279410038923,1.0,zero,1000000000000.0,100000000000000.0,1.3004343618580578e-62,4.335970987269697e-31,5.203165184723636e-30,4.626340757512705e-31,4.7405311089723655e-30,9.993840238901687e-39,9.993840238901687e-39,-9.481062217939068e-54,6.928203230275509e-12,4.223354530332044e-23,3.755152201292039e-24,0.0002533045986560874,0.0,0.0,0.0002533045986560874,0.0002533045986560874,0.0002533045986560874,0.0002533045986560874,0.0,0.0,0.0,4.217543716430216e-09,0.1,0.012665147955292222,1.2323620542706126e-59,True,False,True,True,True,False,False
1e-12,0.31622776601683794,1.0,zero,1000000000000.0,100000000000000.0,2.3125356497992897e-62,4.335970987269697e-31,5.203165184723636e-30,8.226926512908716e-31,4.380472533432764e-30,9.993840238901687e-39,9.993840238901687e-39,-8.760945066859865e-54,6.928203230275509e-12,4.223354530332044e-23,6.677709841119969e-24,0.0002533045986560874,0.0,0.0,0.0002533045986560874,0.0002533045986560874,0.0002533045986560874,0.0002533045986560874,0.0,0.0,0.0,4.217543716430216e-09,0.1,0.012665147955292222,1.2323620542706126e-59,True,False,True,True,True,False,False
1e-12,0.5623413251903491,1.0,zero,1000000000000.0,100000000000000.0,4.112334531019058e-62,4.335970987269697e-31,5.203165184723636e-30,1.4629774025808885e-30,3.740187782142748e-30,9.993840238901688e-39,9.993840238901688e-39,-7.480375564279832e-54,6.928203230275509e-12,4.223354530332044e-23,1.1874833916677928e-23,0.0002533045986560874,0.0,0.0,0.0002533045986560874,0.0002533045986560874,0.0002533045986560874,0.0002533045986560874,0.0,0.0,0.0,4.217543716430216e-09,0.1,0.012665147955292222,1.2323620542706126e-59,True,False,True,True,True,False,False
1e-12,1.0,1.0,zero,1000000000000.0,100000000000000.0,7.312879823703261e-62,4.335970987269697e-31,5.203165184723636e-30,2.601582592361818e-30,2.601582592361818e-30,9.99384023890169e-39,9.99384023890169e-39,-5.2031651847179725e-54,6.928203230275509e-12,4.223354530332044e-23,2.111677265166022e-23,0.0002533045986560874,0.0,0.0,0.0002533045986560874,0.0002533045986560874,0.0002533045986560874,0.0002533045986560874,0.0,0.0,0.0,4.217543716430216e-09,0.1,0.012665147955292222,1.2323620542706126e-59,True,False,True,True,True,False,False
1e-12,1.7782794100389228,1.0,zero,1000000000000.0,100000000000000.0,1.3004343618580575e-61,4.335970987269697e-31,5.203165184723636e-30,4.6263407575127044e-30,5.76824427210931e-31,9.993840238901694e-39,9.993840238901694e-39,-1.1536488544161992e-54,6.928203230275509e-12,4.223354530332044e-23,3.755152201292039e-23,0.0002533045986560874,0.0,0.0,0.0002533045986560874,0.0002533045986560874,0.0002533045986560874,0.0002533045986560874,0.0,0.0,0.0,4.217543716430216e-09,0.1,0.012665147955292222,1.2323620542706126e-59,True,False,True,True,True,False,False
1e-12,3.1622776601683795,1.0,zero,1000000000000.0,100000000000000.0,2.31253564979929e-61,4.335970987269697e-31,5.203165184723636e-30,8.226926512908717e-30,-3.023761328185081e-30,9.993840238901702e-39,9.993840238901702e-39,6.047522656375824e-54,6.928203230275509e-12,4.223354530332044e-23,6.67770984111997e-23,0.0002533045986560874,0.0,0.0,0.0002533045986560874,0.0002533045986560874,0.0002533045986560874,0.0002533045986560874,0.0,0.0,0.0,4.217543716430216e-09,0.1,0.012665147955292222,1.2323620542706126e-59,True,True,True,True,True,True,False
1e-12,5.62341325190349,1.0,zero,1000000000000.0,100000000000000.0,4.112334531019058e-61,4.335970987269697e-31,5.203165184723636e-30,1.4629774025808884e-29,-9.426608841085248e-30,9.993840238901714e-39,9.993840238901714e-39,1.8853217682176156e-53,6.928203230275509e-12,4.223354530332044e-23,1.187483391667793e-22,0.0002533045986560874,0.0,0.0,0.0002533045986560874,0.0002533045986560874,0.0002533045986560874,0.0002533045986560874,0.0,0.0,0.0,4.217543716430216e-09,0.1,0.012665147955292222,1.2323620542706128e-59,True,True,True,True,True,True,False
1e-12,10.0,1.0,zero,1000000000000.0,100000000000000.0,7.312879823703261e-61,4.335970987269697e-31,5.203165184723636e-30,2.601582592361818e-29,-2.0812660738894544e-29,9.993840238901737e-39,9.993840238901737e-39,4.1625321477794745e-53,6.928203230275509e-12,4.223354530332044e-23,2.111677265166022e-22,0.0002533045986560874,0.0,0.0,0.0002533045986560874,0.0002533045986560874,0.0002533045986560874,0.0002533045986560874,0.0,0.0,0.0,4.217543716430216e-09,0.1,0.012665147955292222,1.2323620542706128e-59,True,True,True,True,True,True,False
1e-12,17.78279410038923,1.0,zero,1000000000000.0,100000000000000.0,1.3004343618580576e-60,4.335970987269697e-31,5.203165184723636e-30,4.626340757512705e-29,-4.1060242390403414e-29,9.993840238901778e-39,9.993840238901778e-39,8.212048478081249e-53,6.928203230275509e-12,4.223354530332044e-23,3.7551522012920394e-22,0.0002533045986560874,0.0,0.0,0.0002533045986560874,0.0002533045986560874,0.0002533045986560874,0.0002533045986560874,0.0,0.0,0.0,4.217543716430216e-09,0.1,0.012665147955292222,1.232362054270613e-59,True,True,True,True,True,True,False
