mG_eV,rH,sigma,phase,chi_start,chi_search_end,chi_local_mass_failure,chi_moduli_budget_10percent,chi_signed_chi_budget_10percent,chi_first_stated_failure,interpretation
1e-06,0,1,zero,139.79424666735443,219.79424666735443,143.22790161522147,149.85704655143567,149.8595046334897,143.22790161522147,"Fixed-parameter coordinate extrapolation only; selected matching, no cosmic time prediction."
1e-06,0,1,quadrature,139.79424666735443,219.79424666735443,143.22790161522147,149.76190249100875,149.8595046334897,143.22790161522147,"Fixed-parameter coordinate extrapolation only; selected matching, no cosmic time prediction."
1e-06,2,1,zero,139.79424666735443,219.79424666735443,,149.5199316279013,184.2834351518592,149.5199316279013,"Fixed-parameter coordinate extrapolation only; selected matching, no cosmic time prediction."
1e-06,2,1,quadrature,139.79424666735443,219.79424666735443,,149.45251992111213,184.2834351518592,149.45251992111213,"Fixed-parameter coordinate extrapolation only; selected matching, no cosmic time prediction."
1e-06,4,1,zero,139.79424666735443,219.79424666735443,,149.32290781684185,149.85704655143567,149.32290781684185,"Fixed-parameter coordinate extrapolation only; selected matching, no cosmic time prediction."
1e-06,4,1,quadrature,139.79424666735443,219.79424666735443,,149.26785163568854,149.85704655143567,149.26785163568854,"Fixed-parameter coordinate extrapolation only; selected matching, no cosmic time prediction."
1e-06,1000000.0,1,zero,139.79424666735443,219.79424666735443,,143.57112513879622,143.57112700733535,143.57112513879622,"Fixed-parameter coordinate extrapolation only; selected matching, no cosmic time prediction."
1e-06,1000000.0,1,quadrature,139.79424666735443,219.79424666735443,,143.57110792112297,143.57112700733535,143.57110792112297,"Fixed-parameter coordinate extrapolation only; selected matching, no cosmic time prediction."
