zero_index,ordinate_decimal,precision_decimal_digits,method,mpmath_version
1,14.13472514173469379045725198356247,35,mpmath.zetazero,1.3.0
2,21.022039638771554992628479593896903,35,mpmath.zetazero,1.3.0
3,25.010857580145688763213790992562822,35,mpmath.zetazero,1.3.0
4,30.424876125859513210311897530584091,35,mpmath.zetazero,1.3.0
5,32.935061587739189690662368964074904,35,mpmath.zetazero,1.3.0
6,37.586178158825671257217763480705333,35,mpmath.zetazero,1.3.0
7,40.918719012147495187398126914633254,35,mpmath.zetazero,1.3.0
8,43.327073280914999519496122165406806,35,mpmath.zetazero,1.3.0
9,48.005150881167159727942472749427516,35,mpmath.zetazero,1.3.0
10,49.773832477672302181916784678563724,35,mpmath.zetazero,1.3.0
11,52.97032147771446064414729660888099,35,mpmath.zetazero,1.3.0
12,56.446247697063394804367759476706128,35,mpmath.zetazero,1.3.0
13,59.347044002602353079653648674992219,35,mpmath.zetazero,1.3.0
14,60.831778524609809844259901824524004,35,mpmath.zetazero,1.3.0
15,65.112544048081606660875054253183705,35,mpmath.zetazero,1.3.0
16,67.079810529494173714478828896522217,35,mpmath.zetazero,1.3.0
17,69.546401711173979252926857526554738,35,mpmath.zetazero,1.3.0
18,72.067157674481907582522107969826168,35,mpmath.zetazero,1.3.0
19,75.704690699083933168326916762030346,35,mpmath.zetazero,1.3.0
20,77.144840068874805372682664856304637,35,mpmath.zetazero,1.3.0
21,79.337375020249367922763592877116228,35,mpmath.zetazero,1.3.0
22,82.910380854086030183164837494770609,35,mpmath.zetazero,1.3.0
23,84.735492980517050105735311206827741,35,mpmath.zetazero,1.3.0
24,87.425274613125229406531667850919213,35,mpmath.zetazero,1.3.0
25,88.809111207634465423682348079509378,35,mpmath.zetazero,1.3.0
26,92.491899270558484296259725241810685,35,mpmath.zetazero,1.3.0
27,94.651344040519886966597925815208154,35,mpmath.zetazero,1.3.0
28,95.870634228245309758741029219246782,35,mpmath.zetazero,1.3.0
29,98.831194218193692233324420138622328,35,mpmath.zetazero,1.3.0
30,101.31785100573139122878544794029231,35,mpmath.zetazero,1.3.0
31,103.72553804047833941639840810869528,35,mpmath.zetazero,1.3.0
32,105.44662305232609449367083241411181,35,mpmath.zetazero,1.3.0
33,107.16861118427640751512335196308619,35,mpmath.zetazero,1.3.0
34,111.02953554316967452465645030994435,35,mpmath.zetazero,1.3.0
35,111.87465917699263708561207871677059,35,mpmath.zetazero,1.3.0
36,114.32022091545271276589093727619108,35,mpmath.zetazero,1.3.0
37,116.22668032085755438216080431206476,35,mpmath.zetazero,1.3.0
38,118.79078286597621732297913970269982,35,mpmath.zetazero,1.3.0
39,121.37012500242064591894553297049992,35,mpmath.zetazero,1.3.0
40,122.94682929355258820081746033077002,35,mpmath.zetazero,1.3.0
41,124.25681855434576718473200796612992,35,mpmath.zetazero,1.3.0
42,127.51668387959649512427932376690608,35,mpmath.zetazero,1.3.0
43,129.57870419995605098576803390617997,35,mpmath.zetazero,1.3.0
44,131.08768853093265672356637246150135,35,mpmath.zetazero,1.3.0
45,133.49773720299758645013049204264061,35,mpmath.zetazero,1.3.0
46,134.75650975337387133132606415716974,35,mpmath.zetazero,1.3.0
47,138.11604205453344320019155519028245,35,mpmath.zetazero,1.3.0
48,139.73620895212138895045004652338246,35,mpmath.zetazero,1.3.0
49,141.12370740402112376194035381847536,35,mpmath.zetazero,1.3.0
50,143.11184580762063273940512386891393,35,mpmath.zetazero,1.3.0
51,146.00098248676551854740250759642468,35,mpmath.zetazero,1.3.0
52,147.42276534255960204952118501043151,35,mpmath.zetazero,1.3.0
53,150.05352042078488035143246723695937,35,mpmath.zetazero,1.3.0
54,150.92525761224146676185252467830563,35,mpmath.zetazero,1.3.0
55,153.02469381119889619825654425518545,35,mpmath.zetazero,1.3.0
56,156.11290929423786756975018931016919,35,mpmath.zetazero,1.3.0
57,157.59759181759405988753050315849877,35,mpmath.zetazero,1.3.0
58,158.84998817142049872417499477554027,35,mpmath.zetazero,1.3.0
59,161.18896413759602751943734412936955,35,mpmath.zetazero,1.3.0
60,163.03070968718198724331103900068799,35,mpmath.zetazero,1.3.0
61,165.5370691879004188300389193548748,35,mpmath.zetazero,1.3.0
62,167.18443997817451344095775624621038,35,mpmath.zetazero,1.3.0
63,169.09451541556882148950587118143183,35,mpmath.zetazero,1.3.0
64,169.91197647941169896669984359582179,35,mpmath.zetazero,1.3.0
65,173.4115365195915529598461186493456,35,mpmath.zetazero,1.3.0
66,174.75419152336572581337876245586692,35,mpmath.zetazero,1.3.0
67,176.44143429771041888889264105786093,35,mpmath.zetazero,1.3.0
68,178.37740777609997728583093541418443,35,mpmath.zetazero,1.3.0
69,179.91648402025699613934003661205124,35,mpmath.zetazero,1.3.0
70,182.2070784843664619154070372269878,35,mpmath.zetazero,1.3.0
71,184.87446784838750880096064661723426,35,mpmath.zetazero,1.3.0
72,185.59878367770747146652770426839265,35,mpmath.zetazero,1.3.0
73,187.22892258350185199164154058613124,35,mpmath.zetazero,1.3.0
74,189.41615865601693708485228909984532,35,mpmath.zetazero,1.3.0
75,192.02665636071378654728363142558343,35,mpmath.zetazero,1.3.0
76,193.07972660384570404740220579437605,35,mpmath.zetazero,1.3.0
77,195.26539667952923532146318781486225,35,mpmath.zetazero,1.3.0
78,196.87648184095831694862226391469621,35,mpmath.zetazero,1.3.0
79,198.01530967625191242491991870220887,35,mpmath.zetazero,1.3.0
80,201.26475194370378873301613342754817,35,mpmath.zetazero,1.3.0
81,202.49359451414053427768666063786432,35,mpmath.zetazero,1.3.0
4200,4697.3541474715424375704997813042735,35,mpmath.zetazero,1.3.0
4201,4697.7744037611543030222589406813494,35,mpmath.zetazero,1.3.0
