mG_eV,a,phase,mu_factor,scheme,eta,scalar_CW_clockoff_eV4,max_abs_delta,max_abs_delta_kinetic,min_f,min_D,max_tree_force_ratio,max_charged_force_ratio,max_modulus_force_ratio,max_selected_force_ratio,max_selected_index,max_component_sum_ratio,max_component_sum_index,max_selected_x_ratio,max_selected_y_ratio,min_modulus_mass_eV,max_H_over_modulus_mass,max_mass_over_geometric_marker,geometric_marker_eV,max_d_over_s,max_B_over_s,min_scalar_over_fermion_mass2,max_Fcomp_abs_eV,max_above_threshold_AMSB_abs_eV,selected_budget_pass,component_sum_budget_pass
1e-12,0.1,zero,0.5,tree_eta,7.078322021207937e-43,-8.294968741061458e-51,1.1826070783295881e-42,1.433991584225474e-45,1.0,1.0,2.533902829049664e-21,3.7252734392199936e-35,5.671416909282985e-60,2.533902829049701e-21,1024,2.533902829049701e-21,1024,2.533902829049701e-21,0.0,2.1908902300206647e-12,4.404406948410451e-21,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,1.4156644042415874e-54,1.6441664175862417e-57,True,True
1e-12,0.1,zero,0.5,scalar_retuned_eta,7.078322021207937e-43,-8.294968741061458e-51,1.1826070783295881e-42,1.433991584225474e-45,1.0,1.0,2.533902829049664e-21,3.7252734392199936e-35,5.671416909282985e-60,2.533902829049701e-21,1024,2.533902829049701e-21,1024,2.533902829049701e-21,0.0,2.1908902300206647e-12,4.404406948410451e-21,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,1.4156644042415874e-54,1.6441664175862417e-57,True,True
1e-12,0.1,zero,1.0,tree_eta,7.078322021207937e-43,-1.0942687833372483e-49,1.1826070783295881e-42,1.433991584225474e-45,1.0,1.0,2.533902829049664e-21,3.7252734392199936e-35,1.4681593831297993e-59,2.533902829049701e-21,1024,2.533902829049701e-21,1024,2.533902829049701e-21,0.0,2.1908902300206647e-12,4.404406948410451e-21,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,1.4156644042415874e-54,1.6441664175862417e-57,True,True
1e-12,0.1,zero,1.0,scalar_retuned_eta,7.078322021207937e-43,-1.0942687833372483e-49,1.1826070783295881e-42,1.433991584225474e-45,1.0,1.0,2.533902829049664e-21,3.7252734392199936e-35,1.4681593831297993e-59,2.533902829049701e-21,1024,2.533902829049701e-21,1024,2.533902829049701e-21,0.0,2.1908902300206647e-12,4.404406948410451e-21,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,1.4156644042415874e-54,1.6441664175862417e-57,True,True
1e-12,0.1,zero,2.0,tree_eta,7.078322021207937e-43,-2.1055878792638824e-49,1.1826070783295881e-42,1.433991584225474e-45,1.0,1.0,2.533902829049664e-21,3.7252734392199936e-35,3.5034604571878977e-59,2.533902829049701e-21,1024,2.533902829049701e-21,1024,2.533902829049701e-21,0.0,2.1908902300206647e-12,4.404406948410451e-21,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,1.4156644042415874e-54,1.6441664175862417e-57,True,True
1e-12,0.1,zero,2.0,scalar_retuned_eta,7.078322021207937e-43,-2.1055878792638824e-49,1.1826070783295881e-42,1.433991584225474e-45,1.0,1.0,2.533902829049664e-21,3.7252734392199936e-35,3.5034604571878977e-59,2.533902829049701e-21,1024,2.533902829049701e-21,1024,2.533902829049701e-21,0.0,2.1908902300206647e-12,4.404406948410451e-21,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,1.4156644042415874e-54,1.6441664175862417e-57,True,True
1.7782794100389228e-12,0.1,zero,0.5,tree_eta,2.2383619599143746e-43,-8.294968741061458e-50,3.739731944558652e-43,4.534679551665681e-46,1.0,1.0,1.4249182747913625e-21,3.7252734392199936e-35,3.1892721004731473e-59,1.4249182747913997e-21,1024,1.4249182747913997e-21,1024,1.4249182747913997e-21,0.0,3.896014985701187e-12,2.4767800400467145e-21,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,7.960865971060202e-55,9.245827220989158e-58,True,True
1.7782794100389228e-12,0.1,zero,0.5,scalar_retuned_eta,2.2383619599143746e-43,-8.294968741061458e-50,3.739731944558652e-43,4.534679551665681e-46,1.0,1.0,1.4249182747913625e-21,3.7252734392199936e-35,3.1892721004731473e-59,1.4249182747913997e-21,1024,1.4249182747913997e-21,1024,1.4249182747913997e-21,0.0,3.896014985701187e-12,2.4767800400467145e-21,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,7.960865971060202e-55,9.245827220989158e-58,True,True
1.7782794100389228e-12,0.1,zero,1.0,tree_eta,2.2383619599143746e-43,-1.0942687833372485e-48,3.739731944558652e-43,4.534679551665681e-46,1.0,1.0,1.4249182747913625e-21,3.7252734392199936e-35,8.256066930998568e-59,1.4249182747913997e-21,1024,1.4249182747913997e-21,1024,1.4249182747913997e-21,0.0,3.896014985701187e-12,2.4767800400467145e-21,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,7.960865971060202e-55,9.245827220989158e-58,True,True
1.7782794100389228e-12,0.1,zero,1.0,scalar_retuned_eta,2.2383619599143746e-43,-1.0942687833372485e-48,3.739731944558652e-43,4.534679551665681e-46,1.0,1.0,1.4249182747913625e-21,3.7252734392199936e-35,8.256066930998568e-59,1.4249182747913997e-21,1024,1.4249182747913997e-21,1024,1.4249182747913997e-21,0.0,3.896014985701187e-12,2.4767800400467145e-21,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,7.960865971060202e-55,9.245827220989158e-58,True,True
