a,phase,mu_factor,scheme,component_sum_10percent_mG_eV,selected_force_at_component_bound
0.1,zero,0.5,tree_eta,26027720.96167603,0.1000000000000002
0.1,zero,0.5,scalar_retuned_eta,1906216.3400496356,0.09999999999999995
0.1,zero,1.0,tree_eta,18955806.42071779,0.09999999999999985
0.1,zero,1.0,scalar_retuned_eta,1000266.8866419594,0.09997061329613473
0.1,zero,2.0,tree_eta,14185160.693737617,0.09999999999999959
0.1,zero,2.0,scalar_retuned_eta,849266.6611101928,0.09995708002672417
0.1,quadrature,0.5,tree_eta,37538469.373058364,0.10000000000000006
0.1,quadrature,0.5,scalar_retuned_eta,1906359.5445182691,0.09998497613239563
0.1,quadrature,1.0,tree_eta,27339003.66511069,0.10000000000000028
0.1,quadrature,1.0,scalar_retuned_eta,1000309.759201499,0.09999142778338722
0.1,quadrature,2.0,tree_eta,20458541.91528465,0.10000000000000007
0.1,quadrature,2.0,scalar_retuned_eta,849315.4149125854,0.09998851865144494
0.1,pi,0.5,tree_eta,26027720.96167603,0.1000000000000002
0.1,pi,0.5,scalar_retuned_eta,1906216.3400496356,0.09990987033533455
0.1,pi,1.0,tree_eta,18955806.42071779,0.09999999999999985
0.1,pi,1.0,scalar_retuned_eta,1000266.8866419594,0.09997795997210104
0.1,pi,2.0,tree_eta,14185160.693737617,0.09999999999999959
0.1,pi,2.0,scalar_retuned_eta,849266.6611101928,0.09997404350467735
1.0,zero,0.5,tree_eta,5607502.494230494,0.10000000000000059
1.0,zero,0.5,scalar_retuned_eta,602651.7261103588,0.09999999999999966
1.0,zero,1.0,tree_eta,4083904.6930323667,0.10000000000000087
1.0,zero,1.0,scalar_retuned_eta,316268.20237882074,0.09990710982285374
1.0,zero,2.0,tree_eta,3056100.228226517,0.10000000000000057
1.0,zero,2.0,scalar_retuned_eta,268511.71251803084,0.09986435089925984
1.0,quadrature,0.5,tree_eta,8087418.06280163,0.09999999999999983
1.0,quadrature,0.5,scalar_retuned_eta,602794.8608158171,0.09995250965175756
1.0,quadrature,1.0,tree_eta,5890009.788702312,0.09999999999999945
1.0,quadrature,1.0,scalar_retuned_eta,316311.06302007387,0.09997289608947091
1.0,quadrature,2.0,tree_eta,4407659.2409760645,0.10000000000000044
1.0,quadrature,2.0,scalar_retuned_eta,268560.4481691225,0.09996369981976891
1.0,pi,0.5,tree_eta,5607502.494230494,0.10000000000000059
1.0,pi,0.5,scalar_retuned_eta,602651.7261103588,0.0997151931662628
1.0,pi,1.0,tree_eta,4083904.6930323667,0.10000000000000087
1.0,pi,1.0,scalar_retuned_eta,316268.20237882074,0.09993033236714031
1.0,pi,2.0,tree_eta,3056100.228226517,0.10000000000000057
1.0,pi,2.0,scalar_retuned_eta,268511.71251803084,0.09991796417890922
10.0,zero,0.5,tree_eta,1208099.7898010458,0.09999999999999984
10.0,zero,0.5,scalar_retuned_eta,190428.62343017466,0.09999999999999983
10.0,zero,1.0,tree_eta,879850.5941452918,0.10000000000000003
10.0,zero,1.0,scalar_retuned_eta,99968.86462207366,0.0997066423070468
10.0,zero,2.0,tree_eta,658416.834790556,0.10000000000000035
10.0,zero,2.0,scalar_retuned_eta,84860.93057209167,0.09957179613260676
10.0,quadrature,0.5,tree_eta,1742381.4027290312,0.10000000000000024
10.0,quadrature,0.5,scalar_retuned_eta,190571.53784804005,0.09985001510923124
10.0,quadrature,1.0,tree_eta,1268964.1413407645,0.09999999999999988
10.0,quadrature,1.0,scalar_retuned_eta,100011.6876087072,0.0999143280866828
10.0,quadrature,2.0,tree_eta,949601.3970598428,0.10000000000000023
10.0,quadrature,2.0,scalar_retuned_eta,84909.60889053176,0.09988527903620083
10.0,pi,0.5,tree_eta,1208099.7898010458,0.09999999999999984
10.0,pi,0.5,scalar_retuned_eta,190428.62343017466,0.0991014383582829
10.0,pi,1.0,tree_eta,879850.5941452918,0.10000000000000003
10.0,pi,1.0,scalar_retuned_eta,99968.86462207366,0.09977998173000395
10.0,pi,2.0,tree_eta,658416.834790556,0.10000000000000035
10.0,pi,2.0,scalar_retuned_eta,84860.93057209167,0.09974103731121706
