mode,a,mG_eV,phase,index,CW_value,CW_chi,CW_y,precision_error,expansion_error
tree_eta,1.0,0.000001,zero,0,-0.000000000000000000000000000000000000000000000359469446880482181557513444829486172970592621020361567046570222792972937431467662966263698352724089557367191950934900603011045760771809428544699090049804579777175065846480742869331229189599437733421440943979272292408577023391577759670739707,0.00000000000000000000000000000000000000000000000175366652876778014675627525981928784755734105509972923835413090918629404391287914406088479967780312681890417212684243004256520947587946156089516913846271690943700765415280928388714102095963479059212058229790462297657014413396216303344001255,0.0,4.0957187828146394989624806311059160449320939992794470326483593390016904976753842436260787469174776563592932697520202095795782390013022405829017334138452405834678602700327451247734795076213263322453134587537633180500905746343579716512440935e-94,6.5690170376383507385096809088617302190999361443455362479560092807161728455040230554052275640165304043683909004501223972439968081643147684458195681300101495787909794119071218885345229351465092135840744904877087389673852408555965123195344623e-154
tree_eta,1.0,0.000001,zero,512,-0.000000000000000000000000000000000000000000000358658800700406026922524045811725251090411185522330306077809290556450843973900076470996925890855420303764551618874571430530819021850466433345651890873141292522170596669821530890246957133770580567843857318825494130458148695766127030100552513,0.000000000000000000000000000000000000000000000000181970331521024368678293818653495284580265766559060284390559630771327697202726986674903209793352357573840472140433625306609113013929914436533235912118239283105920746423678421846828623845600243507399325081430608567605735326050401093603486321,0.0,2.2955746277486629849738184992303434423123834840472624551749082752412063236244299263654330164166796174679828094508254715682486738364780111503367632848330596800900730634198970803714528665127042612240961685571570953415167502992457455974342763e-94,3.99138935218894988096843029112259586493915295341642101565459818511800712698730732054798863157008421784674179462965722519478562118415515449297533964209662408343433091136288894015705221676439077477962620324823024589326436536167604473273009573e-153
tree_eta,1.0,0.000001,zero,1024,-0.000000000000000000000000000000000000000000000358561824357458418384063805672663932859914252399003876080412779424633275969231491531297157810396987837561321022022253390880038594998806057306054563632315132267785122014450748166099175415632983935189684021564888853520463863807687491161575976,0.0000000000000000000000000000000000000000000000000620496459963139681825208795462118247265405422544060558541033384564546528503174108395524765872767166014844988748768372175257548760914881442376810597343244913693278483343503158751886860288943649754512332821194105218318227843442172554247329786,0.0,2.61567675297319635620957755023662878271836691501116299186229377603796144443070532400951098026601467557759896792826834416970489782503235586093293413556796226857705196979448304585380398405316747106135754215236179632640866930091051847418238855e-95,1.16878994255060913123069897055396003545337176600313971951789872592663157624182147119358108328996317064093302368723836436531050007894962664455785678695763311867768658649744210140923562597638670760373848691209965895799637636938110991307732679e-152
tree_eta,1.0,0.000001,quadrature,0,-0.000000000000000000000000000000000000000000000359469446880482181557513444830003149430938895974222554639376669444052735533536089732613067658777556017753233927547624188916778090055278898048260936804866782465402689846368466050021231489687474117630560067199132043639860793628155672617475411,0.00000000000000000000000000000000000000000000000175366652876778014675627526026804505868419339579734135231680451332683547921663501518363591881223136797175745476675087442132027942273788369673286969099573899783018945247026527522757877944535589370668620941040900037370514854287173298270308244,-0.000000000000000000000000000000000000000000000000000000000000000000000000000172325486782091651286995864268815550359932700689475589499220680919521449367720664069881685637878861083938639960468414154432140807935623156937593286793360559663303413927720817707154122272432397850997716546397238255074269026870788876292610549,4.59971835080280276527286894922343274181318589499096521632938630387965556944141496204637577513821090153145719904467765354840666783001372527242902747950789451701977758910625211502718178530716158511812203512925307983775866153925709897735059568e-94,3.40292898009718550569860112304069390981335810210838770781113493424575958463528436740938199596238176030156705906111639855514097652296735194659026705076863503945725267316879161469489447552704953893147674823401920034073546323020570289952982427e-154
tree_eta,1.0,0.000001,quadrature,512,-0.000000000000000000000000000000000000000000000358658800700406026922524045811905128450034917358192761049866664824647586348327995176930774343638542765442280859283541387197262919300788490067525806982162316469811316607416776593511366102901459580230195147176835093271320141307502109303356327,0.000000000000000000000000000000000000000000000000181970331521024368678293818814177708087392363137902488382563090382771213136860436654646117709768233974338862810321197697893759817386256762878875061624096048631998310302083935358568173236948877908049060905542284356778277153092611162049492315,-0.0000000000000000000000000000000000000000000000000000000000000000000000000000753278456668809237867314971797334824153064465874831458514876180411169896103146016856253067581368744783324083416420437883796437417356333275161603912124056930042064835985571850837821811851253316786198215502935827246635650610438713325049391781,9.13528197472526013237730430712404708263832029867059069183350916610729611414836594628832641433911123031064770652886238716061975402538433710584311494035897641085257924692857393856680251074588484796464202866699678543360553337375435547436053157e-95,6.57295116839058964539324414656038011791521330548741027412593832216853156325274482219721358516554545375015743007288780090817540045061923033940237396955743963853711838837927724079578334333830947194125241022311117235782192241224904824856830151e-153
tree_eta,1.0,0.000001,quadrature,1024,-0.000000000000000000000000000000000000000000000358561824357458418384063805672740067843951520048146657047905246282270088927994610208180082933553366192485295379860307527799709715244942925428106813441100280880232955001812419067249546230345485604213225684201506118570901625745553047722072355,0.0000000000000000000000000000000000000000000000000620496459963139681825208796153592414236573198513735389819544741197476068150457183961906654642807398774639411499340630596687675995583935811123011116426886793620435029820250071324731442249813576000164826155866504729915501542333834015057320399,-0.0000000000000000000000000000000000000000000000000000000000000000000000000000357271705057778112532169021577164117479042258191491616431117930817169618292889728682897227688694511616614952828573862248166061409898601157084902867534158697514286285689684900439143603672910378398777418708906586305644726306499437563532774666,3.32822876682589869422378804142971298137775185693993188875382624876979147065978871009374391681456052606777313410220949764550333555127578400249668751657437987694759814424729212389401060798304436881415943711992197971346674806882837653840168433e-94,1.26952582604005372831852798131087734080019162790837056579913136421396276635673560122633774150455606575689771582091595404281156384503906428851180158193746041723341771779660731784646402952402574804561896196958980882740204236404756969087059175e-153
tree_eta,1.0,0.000001,pi,0,-0.000000000000000000000000000000000000000000000359469446880482181557513444830520125891285170928083542232183116095132533635604516498962436964831022478139275904160339958294998428236569457590178289568497048598588604445104689097763830603236613287724144016118000685313727132082883175200386933,0.00000000000000000000000000000000000000000000000175366652876778014675627526071680226981104573649495346627947811746737691452039088630638703794665960912461073740662788094940555525768780810313991901193540873727640217494310573356451411893019674821454230684447380157482807528699916021973902611,0.0,1.8530172393125248742324245254520092671622363570599200871907923072212343507840100309069149729434190834714842332864358033042379514608923470577847792365940889639685537823997490645588286019228294249395568391414474145710761950188719010455679115e-94,8.90876149025126906605426956683777488826635646321923618314584067110765065889661663452498663648001878428185224152904203521192147934982571565164193023191046375220526336128038822338130350220700930509640712669864872490442823880196010470601994128e-154
tree_eta,1.0,0.000001,pi,512,-0.000000000000000000000000000000000000000000000358658800700406026922524045812085005809658649194055216021924039092844328722755913882864622796421665227120010099692511280630732413492095590073176423492978438872026016254813600491879951228718278724272073755489349584285493880051333438704877072,0.000000000000000000000000000000000000000000000000181970331521024368678293818974860131594518959716744692374566549994214729070993886634389025626184110374837253480208515789400142828957413318716534908561275577561078427024895184641291935397607151824853948016230705649456647574208909400331242162,0.0,4.26412094742846747061968100590600707312208615465497998850393193703938866892131089750350216309606201429488361318012852505051860002251009066703030267353197640802081505735795370260402040402065588314774552936633988243980313165966315625001724656e-94,7.62626594322929823197926444773687257992878914418040926111621259568079036164553735458503042279849156394808884941975524856379541106566252508806690185166707508010662299908664562238326116088531748305884550937239360376033819963779450043807290692e-153
tree_eta,1.0,0.000001,pi,1024,-0.000000000000000000000000000000000000000000000358561824357458418384063805672816202827988787697289438015397713139906901886757728885063008056709744547409269737698361663356551073754460496706001063431330503434911179079011191966508233801242184822347465111671775508968777186948835266982994037,0.0000000000000000000000000000000000000000000000000620496459963139681825208796845066581207740974483410221098056097830405607797740259528288543412847631534433834249912834212398481762351830242716100027307304608246758842914266278567966814644038731884110733672498931088840512059975905409314620297,0.0,4.99499795250253704573769336108647327013303702836906836980933262996305670302667270287503692953588701027267992000169123079426442517029326057393540625945336543256386991080503185920421107832238690715314819247815816463523549741388959515466825067e-94,1.81541259414271498434656956873257164334135752961482752661883492012418097118230934052493283837848938952891529757778355642706971834579999023686773238465816731261089500911120776539241329264375279883943560945207624083582056576678937766972611848e-152
tree_eta,1.0,1.0,zero,0,-0.000000000000000000000000000000000000000000000359469446880482181557513444830003148913962435627947600778575636226964372463334603896052190382716490232385792023258435129727209766126446398379750471308512743670699159151254531628734019520307402581498410990653839508192907558030365787067736562,0.00000000000000000000000000000000000000000000000175366652876778014675627526026804460992698226894500065569040689321233408057576151503616426987094277219302557590988869851841694670386943556951952971704486813220320451202717140717574157122848670049914820663957139299158335201336637477083447461,0.0,5.30768285709349432292952800047533569683117903179861291224691223124462694351952132981068373843429603373215530775250759402076610104253390423300463531283863732247659289268199869890062327885614440090880943432913556448173189986873718530416171029e-94,4.07443652480899364314763402869603247589122893773611415462459917019516890753002470163882240463654508254305824136507816981011353029929294308993807122636948496324154596748877823770087900569309977221729863553914804187109781509323035325489695881e-154
