background,epsilon,T_K,nH_cm3,nHe_cm3,rho_g_g_cm3,nHI_cm3,nHII_cm3,nHeI_cm3,nHeII_cm3,nHeIII_cm3,ne_cm3,n_ions_cm3,n_neutral_cm3,n_tot_cm3,f_HI,f_HII,f_HeI,f_HeII,f_HeIII,mu,Lvol_erg_cm3_s,Lambda_per_nH_squared_erg_cm3_s,u_thermal_erg_cm3,tcool_s,tcool_freefree_s,L_excitation_HI_erg_cm3_s,L_excitation_HeII_erg_cm3_s,L_ionization_HI_erg_cm3_s,L_ionization_HeI_erg_cm3_s,L_ionization_HeII_erg_cm3_s,L_recombination_HII_erg_cm3_s,L_recombination_HeII_erg_cm3_s,L_recombination_HeIII_erg_cm3_s,L_dielectronic_HeII_erg_cm3_s,L_freefree_erg_cm3_s,tau_H_s,tau_He_s,tau_chem_s,M200m_Msun_phys,z,a,rho_m_mean_g_cm3,rho_total_mean_g_cm3,R200m_kpc_phys,V200_km_s,Tchar_K,Tchar_root_relative_residual,tdyn_s,tff_s,tcool_Gyr,tdyn_Gyr,tff_Gyr,tcool_over_tdyn,tcool_over_tff,tauchem_over_tcool,tauchem_over_tdyn,temperature_regime,CIE_relaxation_slower_than_cooling,CIE_relaxation_slower_than_dynamics,warnings,background_E,background_age_Gyr,background_H_s_inv,background_Hubble_time_Gyr,tcool_over_Hubble_time
reference,0.0,2201.5142236066376,3.799585809525069e-05,2.9996730075197914e-06,8.362198060464535e-29,3.799585809525069e-05,4.452658971981669e-33,2.9996730075197914e-06,1.3308334224005112e-59,1.3483274856600215e-182,4.452658971981669e-33,4.452658971981669e-33,4.099553110277048e-05,4.099553110277048e-05,1.0,1.1718800930405177e-28,1.0,4.4365949857343924e-54,4.494914886655776e-177,1.2195121951219512,4.9742551491399806e-79,3.445526100512865e-70,1.8691000735234822e-17,3.757547647805398e+61,1.2072310511311321e+73,4.974255142565373e-79,4.944922091295281e-203,6.490950862472809e-88,2.6352954197962904e-114,3.15611831127332e-236,6.817449488223283e-90,1.521126599251656e-116,8.257676669075155e-239,1.363968944636743e-202,1.5482538092208634e-90,1.4892203676441962e+44,1.9903079295158307e+44,1.9903079295158307e+44,100000000.0,0.0,1.0,2.6878493765778864e-30,5.375698753155773e-28,14.431459247357408,5.459154943184504,2201.5142236066376,4.440892098500626e-16,8.15709221138185e+16,9.060251452733269e+16,1.1906949982905538e+45,2.5848265430139965,2.871020436513952,4.606479307126592e+44,4.147288480246134e+44,5.296826856415975e-18,2.4399723307512583e+27,below_atomic_diagnostic_range,False,True,"[""below_atomic_diagnostic_range"", ""local_CIE_relaxation_slower_than_dynamical_time""]",1.0,13.790692524135592,2.1842852410855026e-18,14.507302992296571,8.207555869776877e+43
clock,0.0001,2201.5142236066376,3.799585809525069e-05,2.9996730075197914e-06,8.362198060464535e-29,3.799585809525069e-05,4.452658971981669e-33,2.9996730075197914e-06,1.3308334224005112e-59,1.3483274856600215e-182,4.452658971981669e-33,4.452658971981669e-33,4.099553110277048e-05,4.099553110277048e-05,1.0,1.1718800930405177e-28,1.0,4.4365949857343924e-54,4.494914886655776e-177,1.2195121951219512,4.9742551491399806e-79,3.445526100512865e-70,1.8691000735234822e-17,3.757547647805398e+61,1.2072310511311321e+73,4.974255142565373e-79,4.944922091295281e-203,6.490950862472809e-88,2.6352954197962904e-114,3.15611831127332e-236,6.817449488223283e-90,1.521126599251656e-116,8.257676669075155e-239,1.363968944636743e-202,1.5482538092208634e-90,1.4892203676441962e+44,1.9903079295158307e+44,1.9903079295158307e+44,100000000.0,0.0,1.0,2.6878493765778864e-30,5.375698753155773e-28,14.431459247357408,5.459154943184504,2201.5142236066376,4.440892098500626e-16,8.15709221138185e+16,9.060251452733269e+16,1.1906949982905538e+45,2.5848265430139965,2.871020436513952,4.606479307126592e+44,4.147288480246134e+44,5.296826856415975e-18,2.4399723307512583e+27,below_atomic_diagnostic_range,False,True,"[""below_atomic_diagnostic_range"", ""local_CIE_relaxation_slower_than_dynamical_time""]",1.0000000000000173,13.790399059682949,2.1842852410855404e-18,14.50730299229632,8.207555869777019e+43
reference,0.0,3231.3809650693875,3.799585809525069e-05,2.9996730075197914e-06,8.362198060464535e-29,3.799585809525069e-05,5.760562766204312e-23,2.9996730075197914e-06,1.7424964170765463e-41,1.3848968166105957e-124,5.760562766204312e-23,5.760562766204312e-23,4.099553110277048e-05,4.099553110277048e-05,1.0,1.5161028214610468e-18,1.0,5.8089545517405855e-36,4.6168259444907457e-119,1.2195121951219512,1.7282711636871975e-61,1.1971246397116424e-52,2.74346371903012e-17,1.587403514375053e+44,8.601350492437031e+52,1.728270320731016e-61,4.203738879848925e-145,8.270170615113082e-68,3.498159823495101e-86,3.192537247343466e-168,1.2749546677271371e-69,2.9637554646763283e-88,1.2260473376086865e-170,4.607125251706926e-145,3.189573220440655e-70,1.5121619248727164e+34,1.9631709886270739e+34,1.9631709886270739e+34,177827941.00389227,0.0,1.0,2.6878493765778864e-30,5.375698753155773e-28,17.48411203254481,6.613917206407005,3231.3809650693875,9.992007221626409e-16,8.15709221138185e+16,9.060251452733269e+16,5.030178195981484e+27,2.5848265430139965,2.871020436513952,1.946040909234909e+27,1.752052382493391e+27,1.2367183081360113e-10,2.4067044208324618e+17,below_atomic_diagnostic_range,False,True,"[""below_atomic_diagnostic_range"", ""local_CIE_relaxation_slower_than_dynamical_time""]",1.0,13.790692524135592,2.1842852410855026e-18,14.507302992296571,3.467342068096687e+26
clock,0.0001,3231.3809650693875,3.799585809525069e-05,2.9996730075197914e-06,8.362198060464535e-29,3.799585809525069e-05,5.760562766204312e-23,2.9996730075197914e-06,1.7424964170765463e-41,1.3848968166105957e-124,5.760562766204312e-23,5.760562766204312e-23,4.099553110277048e-05,4.099553110277048e-05,1.0,1.5161028214610468e-18,1.0,5.8089545517405855e-36,4.6168259444907457e-119,1.2195121951219512,1.7282711636871975e-61,1.1971246397116424e-52,2.74346371903012e-17,1.587403514375053e+44,8.601350492437031e+52,1.728270320731016e-61,4.203738879848925e-145,8.270170615113082e-68,3.498159823495101e-86,3.192537247343466e-168,1.2749546677271371e-69,2.9637554646763283e-88,1.2260473376086865e-170,4.607125251706926e-145,3.189573220440655e-70,1.5121619248727164e+34,1.9631709886270739e+34,1.9631709886270739e+34,177827941.00389227,0.0,1.0,2.6878493765778864e-30,5.375698753155773e-28,17.48411203254481,6.613917206407005,3231.3809650693875,9.992007221626409e-16,8.15709221138185e+16,9.060251452733269e+16,5.030178195981484e+27,2.5848265430139965,2.871020436513952,1.946040909234909e+27,1.752052382493391e+27,1.2367183081360113e-10,2.4067044208324618e+17,below_atomic_diagnostic_range,False,True,"[""below_atomic_diagnostic_range"", ""local_CIE_relaxation_slower_than_dynamical_time""]",1.0000000000000173,13.790399059682949,2.1842852410855404e-18,14.50730299229632,3.4673420680967466e+26
reference,0.0,4743.018613877587,3.799585809525069e-05,2.9996730075197914e-06,8.362198060464535e-29,3.7995858094739414e-05,5.112769981945543e-16,2.9996730075197914e-06,4.3519038227316513e-29,5.99587785197835e-85,5.112769981945978e-16,5.112769981945978e-16,4.099553110225921e-05,4.099553110328176e-05,0.9999999999865439,1.3456124531069918e-11,1.0,1.4507927403493623e-23,1.9988438196254932e-79,1.219512195106742,1.743258393526267e-49,1.2075058706772126e-40,4.026854037540126e-17,2.3099582095770647e+32,1.2994928634298083e+39,1.743207433447687e-49,1.5039011601509593e-105,4.952944541248504e-54,6.076521670929372e-67,9.326721031851124e-122,1.1207542795546207e-55,7.556565269667256e-69,5.257350349044572e-124,7.782635976466728e-106,3.0987888820811788e-56,2.2409937454368073e+27,2.82260508186252e+27,2.82260508186252e+27,316227766.01683795,0.0,1.0,2.6878493765778864e-30,5.375698753155773e-28,21.182485313988945,8.012943627441613,4743.018613877587,1.6653345369377348e-15,8.15709221138185e+16,9.060251452733269e+16,7319815859181512.0,2.5848265430139965,2.871020436513952,2831840255960214.0,2549551987191485.5,1.221929067876651e-05,34603079243.410416,below_atomic_diagnostic_range,False,True,"[""below_atomic_diagnostic_range"", ""local_CIE_relaxation_slower_than_dynamical_time""]",1.0,13.790692524135592,2.1842852410855026e-18,14.507302992296571,504560762470347.5
clock,0.0001,4743.018613877587,3.799585809525069e-05,2.9996730075197914e-06,8.362198060464535e-29,3.7995858094739414e-05,5.112769981945543e-16,2.9996730075197914e-06,4.3519038227316513e-29,5.99587785197835e-85,5.112769981945978e-16,5.112769981945978e-16,4.099553110225921e-05,4.099553110328176e-05,0.9999999999865439,1.3456124531069918e-11,1.0,1.4507927403493623e-23,1.9988438196254932e-79,1.219512195106742,1.743258393526267e-49,1.2075058706772126e-40,4.026854037540126e-17,2.3099582095770647e+32,1.2994928634298083e+39,1.743207433447687e-49,1.5039011601509593e-105,4.952944541248504e-54,6.076521670929372e-67,9.326721031851124e-122,1.1207542795546207e-55,7.556565269667256e-69,5.257350349044572e-124,7.782635976466728e-106,3.0987888820811788e-56,2.2409937454368073e+27,2.82260508186252e+27,2.82260508186252e+27,316227766.01683795,0.0,1.0,2.6878493765778864e-30,5.375698753155773e-28,21.182485313988945,8.012943627441613,4743.018613877587,1.6653345369377348e-15,8.15709221138185e+16,9.060251452733269e+16,7319815859181512.0,2.5848265430139965,2.871020436513952,2831840255960214.0,2549551987191485.5,1.221929067876651e-05,34603079243.410416,below_atomic_diagnostic_range,False,True,"[""below_atomic_diagnostic_range"", ""local_CIE_relaxation_slower_than_dynamical_time""]",1.0000000000000173,13.790399059682949,2.1842852410855404e-18,14.50730299229632,504560762470356.2
reference,0.0,6961.7938670588255,3.799585809525069e-05,2.9996730075197914e-06,8.362198060464535e-29,3.799582640965803e-05,3.168559265960468e-11,2.999673007519778e-06,1.3757948697853027e-20,7.831198156785844e-58,3.168559267336263e-11,3.168559267336263e-11,4.099549941717781e-05,4.0995562788363156e-05,0.9999991660777188,8.339222812174161e-07,0.9999999999999954,4.5864828144146485e-15,2.610683943601201e-52,1.2195112525573406,2.9602835248154117e-41,2.050504818079788e-32,5.910613407122391e-17,1.9966376050047257e+24,4.019803796518437e+29,2.9587769850358335e-41,1.6177842761648288e-78,1.4438798893272283e-44,9.329361205615345e-54,5.730156002221069e-90,4.795615323266416e-46,1.7028940414072197e-55,4.741008228398586e-92,4.4561034054942244e-79,1.4703736068515554e-46,4.7640713808531255e+22,5.812027479319977e+22,5.812027479319977e+22,562341325.1903491,0.0,1.0,2.6878493765778864e-30,5.375698753155773e-28,25.663166836391486,9.707902831677206,6961.7938670588255,1.9984014443252818e-15,8.15709221138185e+16,9.060251452733269e+16,63269627.760182194,2.5848265430139965,2.871020436513952,24477320.51157585,22037331.032378647,0.029109075501491524,712512.1708456685,below_atomic_diagnostic_range,False,True,"[""below_atomic_diagnostic_range"", ""local_CIE_relaxation_slower_than_dynamical_time""]",1.0,13.790692524135592,2.1842852410855026e-18,14.507302992296571,4361226.052408128
clock,0.0001,6961.7938670588255,3.799585809525069e-05,2.9996730075197914e-06,8.362198060464535e-29,3.799582640965803e-05,3.168559265960468e-11,2.999673007519778e-06,1.3757948697853027e-20,7.831198156785844e-58,3.168559267336263e-11,3.168559267336263e-11,4.099549941717781e-05,4.0995562788363156e-05,0.9999991660777188,8.339222812174161e-07,0.9999999999999954,4.5864828144146485e-15,2.610683943601201e-52,1.2195112525573406,2.9602835248154117e-41,2.050504818079788e-32,5.910613407122391e-17,1.9966376050047257e+24,4.019803796518437e+29,2.9587769850358335e-41,1.6177842761648288e-78,1.4438798893272283e-44,9.329361205615345e-54,5.730156002221069e-90,4.795615323266416e-46,1.7028940414072197e-55,4.741008228398586e-92,4.4561034054942244e-79,1.4703736068515554e-46,4.7640713808531255e+22,5.812027479319977e+22,5.812027479319977e+22,562341325.1903491,0.0,1.0,2.6878493765778864e-30,5.375698753155773e-28,25.663166836391486,9.707902831677206,6961.7938670588255,1.9984014443252818e-15,8.15709221138185e+16,9.060251452733269e+16,63269627.760182194,2.5848265430139965,2.871020436513952,24477320.51157585,22037331.032378647,0.029109075501491524,712512.1708456685,below_atomic_diagnostic_range,False,True,"[""below_atomic_diagnostic_range"", ""local_CIE_relaxation_slower_than_dynamical_time""]",1.0000000000000173,13.790399059682949,2.1842852410855404e-18,14.50730299229632,4361226.0524082035
reference,0.0,10202.399181671351,3.799585809525069e-05,2.9996730075197914e-06,8.362198060464535e-29,3.793106561679624e-05,6.479247845445304e-08,2.9996729983547064e-06,9.165084796717342e-15,2.601019679429249e-39,6.479248761953784e-08,6.479248761953784e-08,4.0930738615150944e-05,4.106032359039002e-05,0.9982947489094199,0.0017052510905801023,0.9999999969446386,3.0553612922947473e-09,8.671010716530868e-34,1.2175878257576822,1.2853704378958726e-35,8.903398116527234e-27,8.675594030171402e-17,6.74948931015808e+18,1.1416936568047926e+23,1.2804934000046138e-35,4.401200550615188e-60,4.578209625571936e-38,9.968956559923564e-45,2.9510985921508486e-68,2.228384339319248e-39,2.666653409416214e-46,3.578237263435295e-70,7.032986245929439e-61,7.598880819265829e-40,3.0671538462430364e+19,3.6233698305614782e+19,3.6233698305614782e+19,1000000000.0,0.0,1.0,2.6878493765778864e-30,5.375698753155773e-28,31.09163643028822,11.761392787855728,10202.399181671351,1.5543122344752192e-15,8.157092211381851e+16,9.060251452733269e+16,213.87840996013892,2.584826543013997,2.871020436513952,82.74381526226101,74.49560694170265,5.368361462708377,444.19870913138317,low_temperature_sensitive,True,True,"[""low_temperature_sensitive"", ""local_CIE_relaxation_slower_than_instantaneous_cooling"", ""local_CIE_relaxation_slower_than_dynamical_time""]",1.0,13.790692524135592,2.1842852410855026e-18,14.507302992296571,14.742809885042664
clock,0.0001,10202.399181671351,3.799585809525069e-05,2.9996730075197914e-06,8.362198060464535e-29,3.793106561679624e-05,6.479247845445304e-08,2.9996729983547064e-06,9.165084796717342e-15,2.601019679429249e-39,6.479248761953784e-08,6.479248761953784e-08,4.0930738615150944e-05,4.106032359039002e-05,0.9982947489094199,0.0017052510905801023,0.9999999969446386,3.0553612922947473e-09,8.671010716530868e-34,1.2175878257576822,1.2853704378958726e-35,8.903398116527234e-27,8.675594030171402e-17,6.74948931015808e+18,1.1416936568047926e+23,1.2804934000046138e-35,4.401200550615188e-60,4.578209625571936e-38,9.968956559923564e-45,2.9510985921508486e-68,2.228384339319248e-39,2.666653409416214e-46,3.578237263435295e-70,7.032986245929439e-61,7.598880819265829e-40,3.0671538462430364e+19,3.6233698305614782e+19,3.6233698305614782e+19,1000000000.0,0.0,1.0,2.6878493765778864e-30,5.375698753155773e-28,31.09163643028822,11.761392787855728,10202.399181671351,1.5543122344752192e-15,8.157092211381851e+16,9.060251452733269e+16,213.87840996013892,2.584826543013997,2.871020436513952,82.74381526226101,74.49560694170265,5.368361462708377,444.19870913138317,low_temperature_sensitive,True,True,"[""low_temperature_sensitive"", ""local_CIE_relaxation_slower_than_instantaneous_cooling"", ""local_CIE_relaxation_slower_than_dynamical_time""]",1.0000000000000173,13.790399059682949,2.1842852410855404e-18,14.50730299229632,14.74280988504292
