label,epsilon,a,N,E,dlnE,t_Gyr,y,y_N,Delta,delta,comoving_radius_Mpc_h,physical_radius_Mpc_h,physical_radial_velocity_km_s,peculiar_radial_velocity_km_s
reference,0.0,0.02,-3.912023005428146,199.87667424689658,-1.507170656489612,0.047832558866113456,0.9768021172143073,-0.021924495763588223,1.0729518259721813,0.0729518259721813,2.442005293035768,0.04884010586071537,954.288816441784,-21.910976488830936
reference,0.0,0.020015723344465237,-3.911237147072465,199.64007637177806,-1.5071650234029508,0.04788963125654258,0.9767848801573052,-0.021943607901723172,1.0730086292413463,0.07300862924134632,2.441962200393263,0.04887763982071313,953.8722365816227,-21.92133808632033
reference,0.0,0.020031459050108533,-3.9104512887167844,199.40375944447578,-1.507159394422661,0.047946771284979386,0.9767676280754406,-0.021962733859130064,1.0730654860386333,0.07306548603863328,2.4419190701886015,0.048915201858162075,953.4558126067343,-21.931701843558244
reference,0.0,0.02004720712664783,-3.909665430361104,199.16772312975286,-1.5071537695453723,0.048003979029361106,0.9767503609578481,-0.021981873649660436,1.073122396410704,0.07312239641070395,2.44187590239462,0.04895279199287503,953.0395444408756,-21.94206776565615
reference,0.0,0.020062967583808742,-3.9088795720054232,198.93196709271535,-1.507148148767532,0.04806125457141613,0.9767330787936511,-0.022001027287175956,1.073179360404278,0.07317936040427808,2.441832696984128,0.048990410244676826,952.6234320075519,-21.952435857715844
reference,0.0,0.020078740431324495,-3.9080937136497425,198.69649099888736,-1.507142532085635,0.048118597992048415,0.9767157815719628,-0.022020194785548407,1.0732363780661311,0.07323637806613115,2.441789453929907,0.049028056633404184,952.2074752303757,-21.962806124837645
reference,0.0,0.020094525678935986,-3.9073078552940617,198.461294514191,-1.5071369194961843,0.048176009371971036,0.9766984692818848,-0.022039376158659744,1.0732934494430975,0.07329344944309746,2.441746173204712,0.04906573117890576,951.7916740329757,-21.97317857211838
reference,0.0,0.020110323336391758,-3.906521996938381,198.2263773049028,-1.5071313109957598,0.048233488788946705,0.976681141912508,-0.02205857142040211,1.0733505745820675,0.07335057458206751,2.44170285478127,0.04910343390104215,951.3760283387871,-21.983553204646526
reference,0.0,0.020126133413448016,-3.9057361385827005,197.99173903773786,-1.5071257065808823,0.04829103632321108,0.9766637994529127,-0.022077780584677846,1.0734077535299889,0.07340775352998885,2.4416594986322817,0.0491411648196859,950.9605380714598,-21.99393002751165
reference,0.0,0.020141955919868663,-3.9049502802270197,197.75737937982748,-1.507120106248052,0.04834865205604495,0.9766464418921679,-0.02209700366539953,1.0734649863338677,0.07346498633386767,2.4416161047304197,0.049178923954721544,950.5452031547534,-22.004309045802035
reference,0.0,0.02015779086542525,-3.904164421871339,197.52329799870367,-1.5071145099937708,0.04840633606882845,0.9766290692193317,-0.02211624067648991,1.0735222730407668,0.07352227304076675,2.4415726730483294,0.04921671132604553,950.1300235124636,-22.014690264602887
reference,0.0,0.020173638259897014,-3.903378563515658,197.28949456229705,-1.507108917814542,0.04846408844304129,0.9766116814234513,-0.022135491631881936,1.0735796136978066,0.07357961369780663,2.4415292035586282,0.04925452695356623,949.7149990684156,-22.025073688996237
reference,0.0,0.020189498113070876,-3.902592705159978,197.0559687389206,-1.5071033297068988,0.048521909259094984,0.9765942784935633,-0.022154756545518697,1.0736370083521651,0.07363700835216513,2.441485696233908,0.04929237085720402,949.3001297463886,-22.0354593240591
reference,0.0,0.02020537043474148,-3.901806846804297,196.8227201972547,-1.5070977456674237,0.04857979859541417,0.9765768604186926,-0.02217403543135345,1.0736944570510785,0.07369445705107847,2.4414421510467315,0.04933024305689127,948.8854154700459,-22.04584717486189
reference,0.0,0.020221255234711136,-3.9010209884486162,196.58974860642545,-1.5070921656926286,0.04863775653356777,0.9765594271878537,-0.022193328303349868,1.0737519598418404,0.07375195984184035,2.4413985679696344,0.049368143572572236,948.4708561633121,-22.056237246477387
reference,0.0,0.020237152522789875,-3.9002351300929354,196.35705363595932,-1.5070865897790215,0.04869578315541493,0.9765419787900501,-0.022212635175481936,1.0738095167718016,0.07380951677180159,2.4413549469751255,0.049406072424203196,948.05645175016,-22.066629543975733
reference,0.0,0.020253062308795443,-3.8994492717372546,196.12463495578018,-1.5070810179231142,0.04875387854291486,0.9765245152142741,-0.02223195606173388,1.0738671278883718,0.0738671278883718,2.4413112880356853,0.049444029631752394,947.6422021545976,-22.077024072424017
reference,0.0,0.02026898460255329,-3.8986634133815743,195.89249223620888,-1.507075450121417,0.048812042778116106,0.976507036449507,-0.02225129097610021,1.0739247932390181,0.07392479323901813,2.4412675911237676,0.0494820152152,947.2281073006671,-22.087420836886327
reference,0.0,0.020284919413896613,-3.8978775550258935,195.6606251479238,-1.5070698863705045,0.048870275940564846,0.9764895424847192,-0.02227063993258579,1.0739825128712661,0.07398251287126612,2.441223856211798,0.049520029194538254,946.8141671122598,-22.097819842419458
reference,0.0,0.020300866752666326,-3.8970916966702127,195.42903336200902,-1.5070643266669375,0.04892857811049569,0.9764720333088701,-0.02229000294520576,1.0740402868326988,0.07404028683269881,2.441180083272175,0.04955807158977131,946.4003815133468,-22.108221094078228
reference,0.0,0.02031682662871108,-3.896305838314532,195.19771654997388,-1.5070587710072314,0.048986949370249486,0.9764545089109082,-0.022309380027985586,1.0740981151709572,0.07409811517095721,2.4411362722772707,0.049596142420915354,945.9867504280792,-22.118624596917858
reference,0.0,0.020332799051887264,-3.895519979958851,194.9666743837229,-1.5070532193879034,0.049045389802267816,0.9764369692797706,-0.02232877119496107,1.074155997933742,0.07415599793374206,2.4410924231994264,0.04963424170799848,945.5732737806434,-22.129030355990622
reference,0.0,0.020348784032059017,-3.894734121603171,194.7359065355557,-1.5070476718054713,0.049103899489093085,0.9764194144043838,-0.022348176460178355,1.0742139351688107,0.0742139351688107,2.4410485360109595,0.04967236947106086,945.1599514952637,-22.139438376345886
reference,0.0,0.020364781579098257,-3.89394826324749,194.50541267815896,-1.5070421282564657,0.049162478512948374,0.976401844273663,-0.022367595837694012,1.0742719269239795,0.07427192692397955,2.441004610684158,0.049710525730154644,944.7467834961675,-22.14984866302937
reference,0.0,0.020380791702884628,-3.893162404891809,194.2751924845687,-1.5070365887374857,0.04922112695310088,0.9763842588765124,-0.02238702934157499,1.0743299732471239,0.07432997324712387,2.440960647191281,0.04974871050534395,944.3337697073994,-22.160261221078784
reference,0.0,0.020396814413305563,-3.8923765465361284,194.04524562825438,-1.507031053245072,0.04927984489160542,0.976366658201825,-0.022406476985898715,1.0743880741861767,0.07438807418617666,2.4409166455045623,0.04978692381670493,943.920910053236,-22.17067605553357
