case_index,family,block,surrogate,primary_T,primary_T_minus_baseline,C1_relative_rms_difference_from_baseline,R_final,Rdot_final,M2_final,min_R,min_Rdot,min_mass_squared,max_mass_squared,max_abs_mass_derivative,sampled_max_relative_energy_deviation,sampled_max_relative_field_work_residual,sampled_max_relative_clock_work_residual
0,baseline,-1,0,0.04513942199602207,0.0,0.0,3.0807259969074177,0.10579884019480344,0.7047783378119241,1.0,0.1,0.7047783378119241,1.0,0.5,4.962679232529544e-07,4.963248862516222e-07,5.696308265483984e-11
1,real,0,0,0.04493942125212028,-0.00020000074390178618,0.00015946094226920377,3.080450001565707,0.10577384824866891,0.7047900794266777,1.0,0.1,0.7047900794266777,1.0,1.617054319781379,4.962672846156784e-07,4.963242448152164e-07,3.681861320705531e-10
2,iaaft,0,1,0.045420167497204324,0.00028074550118225433,0.000444706713495156,3.0813182030667092,0.10583391198993848,0.7047531506600483,1.0,0.1,0.7047531506600483,1.0,1.64776833298682,4.962671552756725e-07,4.96324118383261e-07,3.3557108637857237e-10
3,iaaft,0,2,0.04510939717270043,-3.0024823321636585e-05,0.00044859149256252823,3.080710598292083,0.10579508869154795,0.7047789928578385,1.0,0.1,0.7047789928578385,1.0,1.9287569010122638,4.962662246995259e-07,4.963231886351739e-07,6.576155282781187e-10
4,iaaft,0,3,0.04462772917276722,-0.0005116928232548473,0.0005365288765942829,3.0798185388908186,0.10573488765854837,0.7048169513743229,1.0,0.1,0.7048169513743229,1.0,1.766696102230694,4.962666083522188e-07,4.96323567952037e-07,5.12892696556674e-10
5,iaaft,0,4,0.04496162219616774,-0.00017779979985432792,0.000581622030558288,3.080752089517982,0.10577662275369236,0.7047772278658679,1.0,0.1,0.7047772278658679,1.0,1.5337576533859414,4.962669120492716e-07,4.963238730650585e-07,2.2546238556983414e-10
6,iaaft,0,5,0.04504471697494502,-9.470502107705031e-05,0.0003183605517138254,3.0807920172911545,0.10578700666086098,0.7047755294254774,1.0,0.1,0.7047755294254774,1.0,1.378616384199784,4.962671576273089e-07,4.963241187008368e-07,1.9214444203555738e-10
7,iaaft,0,6,0.04534411144586228,0.0002046894498402077,0.0007741551688338073,3.081337666229095,0.10582441192681127,0.7047523230322754,1.0,0.1,0.7047523230322754,1.0,1.7439126475401738,4.962703078123365e-07,4.963272716836818e-07,5.209142125478745e-10
8,iaaft,0,7,0.044643526184917494,-0.0004958958111045755,0.0003390011892717954,3.0802643836687054,0.10573686258379748,0.7047979772915609,1.0,0.1,0.7047979772915609,1.0,1.7136473902886957,4.962665174782666e-07,4.963234786790873e-07,5.30744189477521e-10
9,iaaft,0,8,0.04503926456195815,-0.00010015743406392025,0.00017886118925866285,3.080537657234737,0.10578632533340926,0.7047863500856109,1.0,0.1,0.7047863500856109,1.0,1.501358389335172,4.962701875429284e-07,4.963271478684469e-07,1.395427959790458e-10
10,iaaft,0,9,0.04507608270011087,-6.333929591120085e-05,0.00037309257111160576,3.0804694810486546,0.10579092600170359,0.7047892506472945,1.0,0.1,0.7047892506472945,1.0,1.52225433927665,4.962664225729375e-07,4.963233830113136e-07,3.890247019830793e-10
11,iaaft,0,10,0.044937069024103396,-0.0002023529719186734,0.0005317604947351325,3.080546697986269,0.10577355428084943,0.70478596545551,1.0,0.1,0.70478596545551,1.0,1.7689361012646878,4.962686435256108e-07,4.963256058300735e-07,1.8329398993572932e-10
12,iaaft,0,11,0.0452054710329994,6.60490369773295e-05,0.0004643818493303664,3.0809668056953594,0.10580709233733021,0.7047680948157499,1.0,0.1,0.7047680948157499,1.0,1.593087047060086,4.962689996305622e-07,4.963259627762073e-07,7.611343347879263e-11
13,iaaft,0,12,0.04520569444931245,6.627245329038356e-05,0.0006839660325979477,3.080751228758695,0.10580712024979046,0.7047772644811657,1.0,0.1,0.7047772644811657,1.0,1.6523888002916582,4.962667339967959e-07,4.963236969429719e-07,1.1195515537392629e-10
14,iaaft,0,13,0.04472156276376606,-0.0004178592322560126,0.00041261804419121434,3.080354389141173,0.10574661809072658,0.704794147527865,1.0,0.1,0.704794147527865,1.0,1.425682701328718,4.962682812056202e-07,4.963252446937748e-07,1.353483531284318e-10
15,iaaft,0,14,0.04558430736124449,0.0004448853652224208,0.0007160891216877666,3.081168374160873,0.10585441158279162,0.7047595221446915,1.0,0.1,0.7047595221446915,1.0,1.5906803783414998,4.962681135675346e-07,4.963250770294433e-07,2.0409996238734522e-10
16,iaaft,0,15,0.04512898819135144,-1.0433804670625935e-05,0.00025259651256280086,3.0809893624606532,0.10579753654019236,0.7047671354259036,1.0,0.1,0.7047671354259036,1.0,1.512649517997051,4.962667407157573e-07,4.963237018667108e-07,2.6506867326827256e-10
17,iaaft,0,16,0.04564996329441884,0.0005105412983967689,0.00042610898906640584,3.0812574486563316,0.10586261030688841,0.7047557341723858,1.0,0.1,0.7047557341723858,1.0,2.0189635163481294,4.962672500130275e-07,4.963242139841074e-07,2.883032405447249e-10
