case_index,case_id,family,block,surrogate,seed,iterations,best_iteration,stop_reason,primary_node_quality_pass,fft_amplitude_relative_l2_no_dc,fft_power_relative_l2_no_dc,sorted_max_abs_difference,sorted_relative_l2_centered_denominator,periodic_acf_relative_l2,mean,variance_ddof0,mean_difference,variance_relative_difference,dense_windowed_mean,dense_windowed_rms,dense_derivative_mean,dense_derivative_rms,dense_windowed_mean_difference,dense_windowed_rms_relative_difference,dense_derivative_rms_relative_difference,dense_windowed_max_abs,dense_derivative_max_abs,dense_windowed_fft_power_relative_l2_no_dc,dense_windowed_periodic_acf_relative_l2,dense_derivative_fft_power_relative_l2_no_dc,dense_derivative_periodic_acf_relative_l2
0,baseline,baseline,-1,0,0,0,0,not_applicable,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,block01_real_000,real,0,0,0,0,0,not_applicable,True,0.0,0.0,0.0,0.0,0.0,-0.010146595112339504,0.08799635567391655,0.0,0.0,-0.002578275570109802,0.14046208646238553,-1.343123668347903e-06,19.034455593554256,0.0,0.0,0.0,0.6978129588456623,83.989523231896,0.0,0.0,0.0,0.0
2,block01_iaaft_001,iaaft,0,1,20260923,10,9,unchanged_rank_permutation,True,0.019655901610490637,0.021405643269409323,0.0,0.0,0.021405469632837165,-0.010146595112339505,0.08799635567391653,-1.734723475976807e-18,-1.1102230246251565e-16,-0.0015286722466593102,0.14144752919225825,-1.2010407056736571e-06,19.053994897910645,0.0010496033234504917,0.007015720431695183,0.001026522889522763,0.6300263572226824,84.12668194422265,0.6938178753791752,0.6891651599199975,0.7604386580652678,0.7596679224670245
3,block01_iaaft_002,iaaft,0,2,20260924,20,19,unchanged_rank_permutation,True,0.03320730536305909,0.03181874842404869,0.0,0.0,0.03181871924931304,-0.010146595112339502,0.08799635567391653,1.734723475976807e-18,-1.1102230246251565e-16,-0.0015093903834423902,0.1450017202526092,-2.350843167848032e-06,20.447987681526232,0.0010688851866674117,0.03231928205366197,0.07426175553193382,0.6644790219000993,100.47758792651662,0.7758134690399282,0.7528129647982388,0.8410297641088041,0.7791092483647482
4,block01_iaaft_003,iaaft,0,3,20260925,18,17,unchanged_rank_permutation,True,0.03318450375819223,0.037839948144841595,0.0,0.0,0.0378396465821879,-0.010146595112339504,0.08799635567391653,0.0,-1.1102230246251565e-16,-0.0026839227061064585,0.1541935016059071,-2.639594713204122e-07,20.34748840933143,-0.00010564713599665659,0.09775887208680145,0.06898189492857454,0.7195471887572451,87.50680686134413,0.7591566818146303,0.6672953407490706,0.9131482617656135,0.8390356079542641
5,block01_iaaft_004,iaaft,0,4,20260926,18,17,unchanged_rank_permutation,True,0.026918160553851062,0.029182678767127965,0.0,0.0,0.029182103762773363,-0.010146595112339504,0.08799635567391653,0.0,-1.1102230246251565e-16,-0.004360387405217102,0.14729678761049333,-2.5342302019782858e-06,18.234914059958573,-0.0017821118351073004,0.04865869018639457,-0.042004959357305305,0.7573314573089956,81.649804197533,0.8071376201889073,0.7511442796159348,0.9032303845334632,0.9468653481769141
6,block01_iaaft_005,iaaft,0,5,20260927,14,13,unchanged_rank_permutation,True,0.025063256847164345,0.027700329584292423,0.0,0.0,0.027700321076816862,-0.01014659511233951,0.08799635567391653,-6.938893903907228e-18,-1.1102230246251565e-16,-0.0028369685534409606,0.1362780835472466,8.963965999509449e-07,16.454440115801017,-0.0002586929833311587,-0.0297874182316048,-0.13554448484604564,0.6816408004837793,68.77389738351798,0.5110189431851184,0.5190958702835181,0.6283562092411046,0.6216591774784831
7,block01_iaaft_006,iaaft,0,6,20260928,15,14,unchanged_rank_permutation,True,0.0287459998483417,0.029333376833712843,0.0,0.0,0.029331845013966164,-0.010146595112339507,0.08799635567391655,-3.469446951953614e-18,0.0,-0.005376963663291606,0.13995511023931093,-2.7894249576441736e-07,17.537195820024593,-0.002798688093181804,-0.003609345666457764,-0.0786604989131755,0.6603783224055564,82.86099473635959,0.6238022130545271,0.6261835080139678,0.8149664182852138,0.860224051994401
8,block01_iaaft_007,iaaft,0,7,20260929,10,9,unchanged_rank_permutation,True,0.03220821882648216,0.03172712515382429,0.0,0.0,0.03172255096742538,-0.010146595112339504,0.08799635567391653,0.0,-1.1102230246251565e-16,-0.003924063298562994,0.14023063159793012,-3.4553326468502074e-06,18.185526169191892,-0.001345787728453192,-0.001647810240362646,-0.0445996167418542,0.630946747170382,85.36282337468323,0.8238711017314615,0.8256345117266936,1.0008007868462165,1.046929509326432
9,block01_iaaft_008,iaaft,0,8,20260930,14,13,unchanged_rank_permutation,True,0.026373267343352543,0.02783670575550775,0.0,0.0,0.02783669205427362,-0.01014659511233951,0.08799635567391653,-6.938893903907228e-18,-1.1102230246251565e-16,-0.0040827111260530805,0.14190924076879105,1.7118985563850234e-06,17.11429176809158,-0.0015044355559432785,0.010302810835670195,-0.10087831595839858,0.6389960412273832,71.29265984965858,0.6327036078240255,0.6243093680368832,0.6301444339375591,0.6385361546423772
