case_index,family,block,surrogate,primary_T_main,primary_T_fine,primary_T_fine_minus_main,contrast_main,contrast_fine,contrast_fine_minus_main,q_global_relative_rms_difference
0,baseline,-1,0,0.04513942199602207,0.04513942202629351,3.027143813394417e-11,0.0,0.0,0.0,1.592678330887839e-06
1,real,0,0,0.04493942125212028,0.04493942014251901,-1.1096012719757908e-09,-0.00020000074390178618,-0.0002000018837744963,-1.139872710109735e-09,1.5927902695102475e-06
2,iaaft,0,1,0.045420167497204324,0.0454201671897544,-3.0744992662867787e-10,0.00028074550118225433,0.00028074516346088957,-3.3772136476262204e-10,1.593158225988432e-06
101,exact_spectrum,0,1,0.04542730455201496,0.045427304364441215,-1.8757374820044248e-10,0.0002878825559928938,0.00028788233814770747,-2.1784518633438665e-10,1.5931517167036002e-06
200,real,1,0,0.04481669743875732,0.044816697288745246,-1.5001207220866064e-10,-0.00032272455726475163,-0.000322724737548262,-1.8028351034260481e-10,1.5925668397964023e-06
201,iaaft,1,1,0.0448562990859857,0.04485630010538937,1.0194036725863498e-09,-0.0002831229100363694,-0.00028312192090413496,9.891322344524056e-10,1.593040620240214e-06
300,exact_spectrum,1,1,0.044960034824186194,0.04496003574800231,9.238161138847012e-10,-0.000179387171835875,-0.00017938627829119924,8.93544675750757e-10,1.5930592477791485e-06
399,real,2,0,0.04486633379382318,0.04486633278544029,-1.0083828910767423e-09,-0.0002730882021988873,-0.0002730892408532165,-1.0386543292106865e-09,1.592230741679169e-06
400,iaaft,2,1,0.04489854569797992,0.04489854601714949,3.191695657767113e-10,-0.0002408762980421475,-0.00024087600914401985,2.888981276427671e-10,1.5930264274146168e-06
499,exact_spectrum,2,1,0.04496560399222609,0.04496560472275113,7.305250362965587e-10,-0.00017381800379597662,-0.00017381730354237845,7.002535981626146e-10,1.5930679816101592e-06
598,real,3,0,0.04541020803970581,0.04541020787542015,-1.6428566146364787e-10,0.0002707860436837392,0.0002707858491266396,-1.9455709959759204e-10,1.5928026093954207e-06
599,iaaft,3,1,0.04566221209173272,0.04566221333499841,1.2432656917860108e-09,0.0005227900957106499,0.0005227913087049035,1.2129942536520666e-09,1.5938185934100814e-06
698,exact_spectrum,3,1,0.045592411987421186,0.045592412928350076,9.409288903583501e-10,0.00045298999139911644,0.00045299090205656867,9.10657452224406e-10,1.593701703673547e-06
797,real,4,0,0.045096495659216376,0.0450964961717117,5.124953239565855e-10,-4.292633680569313e-05,-4.292585458180731e-05,4.822238858226413e-10,1.5931523337994522e-06
798,iaaft,4,1,0.044913874503594166,0.04491387425903649,-2.445576727239107e-10,-0.00022554749242790356,-0.00022554776725701442,-2.748291108578549e-10,1.592250408044175e-06
897,exact_spectrum,4,1,0.04496084457464076,0.04496084510758314,5.329423846678338e-10,-0.000178577421381311,-0.00017857691871036446,5.026709465338897e-10,1.5924590565026883e-06
996,real,5,0,0.04469597341841095,0.04469597433355919,9.151482349700757e-10,-0.0004434485776111177,-0.0004434476927343209,8.848767968361315e-10,1.5926784125702944e-06
997,iaaft,5,1,0.04545367442883033,0.045453674693809204,2.649788721775792e-10,0.00031425243280826243,0.00031425266751569647,2.3470743404363503e-10,1.5929337231969803e-06
1096,exact_spectrum,5,1,0.04543295798470775,0.04543295849825619,5.135484398843815e-10,0.0002935359886856795,0.00029353647196268123,4.832770017504373e-10,1.5929635765072307e-06
1195,real,6,0,0.04516784738881837,0.04516784692095483,-4.678635395771735e-10,2.842539279630102e-05,2.8424894661323308e-05,-4.981349777111177e-10,1.5926233986635984e-06
1196,iaaft,6,1,0.045077618813252965,0.04507761915858347,3.453305072453894e-10,-6.180318276910457e-05,-6.180286771003546e-05,3.150590691114452e-10,1.592785439177185e-06
1295,exact_spectrum,6,1,0.04508106780098195,0.04508106817274871,3.717667632074928e-10,-5.8354195040119516e-05,-5.835385354479444e-05,3.4149532507354863e-10,1.592763131415682e-06
1394,real,7,0,0.04534135096462313,0.045341351463016696,4.983935694702346e-10,0.00020192896860105752,0.00020192943672318886,4.681221313362904e-10,1.5932121251889647e-06
1395,iaaft,7,1,0.04496751846562024,0.04496751735996778,-1.1056524584773797e-09,-0.00017190353040182765,-0.00017190466632572426,-1.1359238966113239e-09,1.5928306478603374e-06
1494,exact_spectrum,7,1,0.04497493936895218,0.04497493841651203,-9.524401475835553e-10,-0.0001644826270698896,-0.0001644836097814753,-9.827115857174995e-10,1.5928628237009144e-06
