family,block,gap_start,gap_end,node_quality_pass_count,real_T,real_D,surrogates,null_q025,null_q25,null_median,null_q75,null_q975,null_IQR,empirical_two_sided_rank,inside_central_95,real_minus_null_median
iaaft,1,4097,4224,99,0.04493942125212028,-0.00020000074390178618,99,0.044282066778529826,0.04493908854861593,0.04520569444931245,0.04547585802346992,0.04599913894569471,0.0005367694748539889,0.52,True,-0.00026627319719216974
iaaft,2,4225,4352,99,0.04481669743875732,-0.00032272455726475163,99,0.04424255896270923,0.044870570541155064,0.0452271812226838,0.04556267164394953,0.04604910319822964,0.0006921011027944679,0.42,True,-0.00041048378392648244
iaaft,3,4353,4480,99,0.04486633379382318,-0.0002730882021988873,99,0.04461683715247952,0.044848313644402255,0.04508920709521296,0.04534020693583546,0.045724451330964026,0.0004918932914332041,0.56,True,-0.00022287330138977962
iaaft,4,4481,4608,97,0.04541020803970581,0.0002707860436837392,99,0.04445503516771555,0.04492319886892627,0.04513118434294907,0.04538066901222364,0.04574925755718429,0.0004574701432973685,0.46,True,0.0002790236967567389
iaaft,5,4609,4736,98,0.045096495659216376,-4.292633680569313e-05,99,0.044645764904348455,0.0449138242249036,0.0451515999778701,0.04533250758007956,0.0455979171312156,0.0004186833551759611,0.82,True,-5.510431865372173e-05
iaaft,6,4737,4864,99,0.04469597341841095,-0.0004434485776111177,99,0.04429353164210394,0.04478796692527247,0.045133841848956774,0.0454374441848708,0.046007306007502496,0.0006494772595983314,0.38,True,-0.0004378684305458222
iaaft,7,4865,4992,99,0.04516784738881837,2.842539279630102e-05,99,0.04476800316103057,0.04499954965633232,0.04514288815093666,0.04526077878423032,0.045465162695014744,0.00026122912789799946,0.88,True,2.4959237881712337e-05
iaaft,8,4993,5120,98,0.04534135096462313,0.00020192896860105752,99,0.044796651575745465,0.04502684510655762,0.045185364250127195,0.045312750973148214,0.04546366373590444,0.0002859058665905939,0.46,True,0.0001559867144959315
exact_spectrum,1,4097,4224,,0.04493942125212028,-0.00020000074390178618,99,0.04434805913202976,0.044942925824202264,0.0452310000336703,0.04545350166586649,0.04595859241626921,0.0005105758416642237,0.52,True,-0.0002915787815500198
exact_spectrum,2,4225,4352,,0.04481669743875732,-0.00032272455726475163,99,0.04434133839213315,0.044878579522596614,0.04523683428888875,0.045567458162215385,0.04602783275173479,0.0006888786396187715,0.42,True,-0.00042013685013143204
exact_spectrum,3,4353,4480,,0.04486633379382318,-0.0002730882021988873,99,0.04465867490878436,0.044911667906433875,0.04508688736514689,0.045341929896504235,0.04564680645719237,0.00043026199007036026,0.44,True,-0.0002205535713237089
exact_spectrum,4,4481,4608,,0.04541020803970581,0.0002707860436837392,99,0.04451285399952753,0.044951572252926494,0.04510124261749472,0.04536462092247652,0.04567849494273851,0.0004130486695500257,0.44,True,0.00030896542221108686
exact_spectrum,5,4609,4736,,0.045096495659216376,-4.292633680569313e-05,99,0.04474664846633537,0.04495489923401805,0.04516251554208946,0.045299953811019686,0.04551945840059716,0.00034505457700163833,0.86,True,-6.601988287308069e-05
exact_spectrum,6,4737,4864,,0.04469597341841095,-0.0004434485776111177,99,0.044339216271797516,0.04478108299927017,0.04512686482152195,0.045436451006695244,0.04592488490030219,0.0006553680074250709,0.34,True,-0.00043089140311099866
exact_spectrum,7,4865,4992,,0.04516784738881837,2.842539279630102e-05,99,0.044834413127957176,0.04504741636593043,0.04514037222812824,0.04521242226321494,0.04536614862598237,0.00016500589728450643,0.86,True,2.7475160690133837e-05
exact_spectrum,8,4993,5120,,0.04534135096462313,0.00020192896860105752,99,0.04487546901846,0.04502953684611134,0.04515476453918865,0.04527103549179691,0.04541666706285978,0.00024149864568556723,0.26,True,0.00018658642543447485
