k_h_mpc,pk_z49_mpc_over_h3,pk_z0_mpc_over_h3
1.00000000000000002e-03,2.35607940559508622e+00,3.81464734149998822e+03
1.00450736425446250e-03,2.36617602762201784e+00,3.83066138136712834e+03
1.00903504484144732e-03,2.37631456293879983e+00,3.84673865697929386e+03
1.01358313333406577e-03,2.38649516442133125e+00,3.86287935185662309e+03
1.01815172171818187e-03,2.39671799217258874e+00,3.87908373102919768e+03
1.02274090239427374e-03,2.40698320915895625e+00,3.89535208896859740e+03
1.02735076817930251e-03,2.41729097889553923e+00,3.91168472197594429e+03
1.03198141230858849e-03,2.42764146527367863e+00,3.92808192544872600e+03
1.03663292843769804e-03,2.43803482754239820e+00,3.94454391438004768e+03
1.04130541064433686e-03,2.44847121940937429e+00,3.96107080914775042e+03
1.04599895343025361e-03,2.45895079460519250e+00,3.97766272367326746e+03
1.05071365172315027e-03,2.46947370721051263e+00,3.99431977059722522e+03
1.05544960087860292e-03,2.48004011366770394e+00,4.01104208837300621e+03
1.06020689668198990e-03,2.49065017891617346e+00,4.02782992388895264e+03
1.06498563535042902e-03,2.50130407046127212e+00,4.04468355252529818e+03
1.06978591353472374e-03,2.51200195636556556e+00,4.06160325107958988e+03
1.07460782832131735e-03,2.52274400490777229e+00,4.07858929557188276e+03
1.07945147723425856e-03,2.53353037864313624e+00,4.09564192302822448e+03
1.08431695823717092e-03,2.54436123506529865e+00,4.11276133575840686e+03
1.08920436973523665e-03,2.55523673183559374e+00,4.12994773501348845e+03
1.09411381057718574e-03,2.56615702696511061e+00,4.14720132215964441e+03
1.09904538005729520e-03,2.57712227873623378e+00,4.16452229824531878e+03
1.10399917791739765e-03,2.58813264554908828e+00,4.18191086315528719e+03
1.10897530434889862e-03,2.59918828610385777e+00,4.19936721661694173e+03
1.11397385999480246e-03,2.61028935944094709e+00,4.21689155842304990e+03
1.11899494595174846e-03,2.62143602563571321e+00,4.23448408915539949e+03
1.12403866377205571e-03,2.63262845351815766e+00,4.25214501826300511e+03
1.12910511546577565e-03,2.64386681799475154e+00,4.26987456125030440e+03
1.13419440350275686e-03,2.65515129466046496e+00,4.28767293403024178e+03
1.13930663081471674e-03,2.66648205966749785e+00,4.30554035288015257e+03
1.14444190079732297e-03,2.67785928326858969e+00,4.32347704590311332e+03
1.14960031731228601e-03,2.68928312205799003e+00,4.34148326679296588e+03
1.15478198468945835e-03,2.70075373101239169e+00,4.35955927345318378e+03
1.15998700772894478e-03,2.71227126531738527e+00,4.37770532475403979e+03
1.16521549170322310e-03,2.72383588026807022e+00,4.39592167318886732e+03
1.17046754235927220e-03,2.73544773055101587e+00,4.41420851058062544e+03
1.17574326592071094e-03,2.74710697063406606e+00,4.43256599788641688e+03
1.18104276908994710e-03,2.75881375515858718e+00,4.45099429515416887e+03
1.18636615905033443e-03,2.77056823915705452e+00,4.46949356222133429e+03
1.19171354346834200e-03,2.78237059277428544e+00,4.48806399194949881e+03
1.19708503049572993e-03,2.79422101095431286e+00,4.50670583207179334e+03
1.20248072877173861e-03,2.80611969172520448e+00,4.52541933613426318e+03
1.20790074742528424e-03,2.81806683399826641e+00,4.54420475851813171e+03
1.21334519607716775e-03,2.83006263232319144e+00,4.56306234763655721e+03
1.21881418484228983e-03,2.84210725065111536e+00,4.58199231192101797e+03
1.22430782433187967e-03,2.85420084157643039e+00,4.60099484478289651e+03
1.22982622565573200e-03,2.86634355774715122e+00,4.62007013940876732e+03
1.23536950042445323e-03,2.87853555190926214e+00,4.63921838932331593e+03
1.24093776075171955e-03,2.89077697791460064e+00,4.65843980673255101e+03
1.24653111925654468e-03,2.90306799097765600e+00,4.67773462723283137e+03
1.25214968906555671e-03,2.91540874648809822e+00,4.69710308833431918e+03
1.25779358381528724e-03,2.92779939992925931e+00,4.71654542804977427e+03
1.26346291765446861e-03,2.94024011078558134e+00,4.73606188006635875e+03
1.26915780524634327e-03,2.95273105566931715e+00,4.75565265754193297e+03
1.27487836177098265e-03,2.96527241623517535e+00,4.77531796802577537e+03
1.28062470292761711e-03,2.97786437465405873e+00,4.79505801904183681e+03
1.28639694493697457e-03,2.99050711344464482e+00,4.81487301864028814e+03
1.29219520454363344e-03,3.00320081219346235e+00,4.83476318620967231e+03
1.29801959901838120e-03,3.01594564771788720e+00,4.85472875192868833e+03
