case,N,tau,chi,E,delta_alpha,rho_scalar,cumulative_dissipation
chi_probe,-1.6486586255873816,0.0996965217336752,137.6422999547138,6.71170624753674,2.9797437652856473e-06,100.22517206658665,0.0
chi_probe,-1.6470486073983315,0.09993668945421727,137.6446975129656,6.695755241587122,2.976372084129153e-06,99.74382123334101,0.48135083324562145
chi_probe,-1.6454385892092813,0.10017742929448767,137.64709498147218,6.679843330912376,2.9730006469996795e-06,99.26479141209623,0.9603806544904239
chi_probe,-1.6438285710202312,0.1004187425744203,137.6494923598164,6.663970422433971,2.969629453675182e-06,98.78807140875702,1.437100657829627
chi_probe,-1.642218552831181,0.10066063061668955,137.65188964757922,6.648136423301232,2.9662585057099733e-06,98.31365008323026,1.9115219833563957
chi_probe,-1.6406085346421309,0.10090309474671398,137.65428684433965,6.632341240890793,2.9628878026599637e-06,97.84151634916387,2.3836557174228
chi_probe,-1.6389985164530805,0.10114613629265974,137.65668394967471,6.616584782806021,2.959517345857421e-06,97.37165917368756,2.853512892899092
chi_probe,-1.6373884982640303,0.10138975658544375,137.65908096315954,6.600866956876531,2.9561471355243896e-06,96.90406757715539,3.321104489431277
chi_probe,-1.6357784800749802,0.10163395695873773,137.66147788436726,6.585187671157577,2.9527771723270035e-06,96.43873063288756,3.786441433699114
chi_probe,-1.63416846188593,0.10187873874897103,137.66387471286902,6.569546833929551,2.9494074569313966e-06,95.97563746691614,4.249534599670529
chi_probe,-1.6325584436968799,0.10212410329533447,137.666271448234,6.553944353697431,2.9460379895596134e-06,95.51477725772989,4.710394808856756
chi_probe,-1.6309484255078297,0.10237005193978359,137.66866809002946,6.538380139190226,2.942668771321877e-06,95.0561392360213,5.16903283056535
chi_probe,-1.6293384073187795,0.10261658602704196,137.6710646378205,6.522854099360464,2.9392998026622763e-06,94.59971268443478,5.625459382151865
chi_probe,-1.6277283891297294,0.10286370690460478,137.6734610911704,6.507366143383625,2.9359310838028563e-06,94.1454869373157,6.079685129270927
chi_probe,-1.6261183709406792,0.10311141592274203,137.67585744964026,6.491916180657631,2.932562615631795e-06,93.69345138046117,6.53172068612546
chi_probe,-1.6245083527516289,0.10335971443450193,137.67825371278929,6.476504120802295,2.9291943990372715e-06,93.24359545087154,6.981576615715083
chi_probe,-1.6228983345625787,0.10360860379571425,137.68064988017457,6.461129873658789,2.9258264340192852e-06,92.79590863650334,7.429263430083296
chi_probe,-1.6212883163735285,0.10385808536499365,137.6830459513512,6.445793349289118,2.9224587216880593e-06,92.35038047602342,7.87479159056325
chi_probe,-1.6196782981844784,0.10410816050374305,137.6854419258722,6.430494457975573,2.919091262487683e-06,91.90700055856394,8.318171508022717
chi_probe,-1.6180682799954282,0.10435883057615676,137.68783780328852,6.415233110220233,2.9157240568622456e-06,91.46575852347937,8.759413543107275
chi_probe,-1.616458261806378,0.10461009694922394,137.6902335831491,6.400009216744395,2.9123571054778807e-06,91.02664406010359,9.198528006483045
chi_probe,-1.614848243617328,0.10486196099273168,137.6926292650007,6.384822688488081,2.9089904090007224e-06,90.5896469075091,9.635525159077542
chi_probe,-1.6132382254282778,0.10511442407926838,137.69502484838813,6.369673436609488,2.905623968318949e-06,90.15475685426675,10.070415212319903
chi_probe,-1.6116282072392276,0.10536748758422702,137.69742033285397,6.354561372484481,2.9022577838766495e-06,89.72196373820678,10.503208328379875
chi_probe,-1.6100181890501775,0.10562115288580817,137.6998157179388,6.339486407706062,2.8988918561179133e-06,89.2912574461815,10.933914620405165
chi_probe,-1.6084081708611273,0.10587542136502343,137.702211003181,6.324448454083839,2.8955261857088743e-06,88.86262791382825,11.362544152758408
chi_probe,-1.606798152672077,0.10613029440569849,137.7046061881169,6.309447423643514,2.892160773537711e-06,88.43606512533421,11.789106941252424
chi_probe,-1.6051881344830268,0.1063857733944762,137.70700127228068,6.294483228626373,2.888795620048512e-06,88.01155911320232,12.213612953384322
chi_probe,-1.6035781162939766,0.10664185972081994,137.70939625520433,6.279555781488744,2.8854307256853673e-06,87.58909995801764,12.636072108568998
chi_probe,-1.6019680981049265,0.10689855477701667,137.71179113641776,6.2646649949015005,2.882066091336455e-06,87.16867778821553,13.056494278371119
chi_probe,-1.6003580799158763,0.10715585995817989,137.7141859154487,6.249810781749526,2.8787017176679086e-06,86.75028277985098,13.474889286735689
chi_probe,-1.5987480617268262,0.10741377666225303,137.71658059182266,6.234993055131222,2.875337605567907e-06,86.33390515636829,13.891266910218368
chi_probe,-1.597138043537776,0.10767230629001225,137.71897516506306,6.22021172835797,2.8719737552584945e-06,85.91953518837298,14.30563687821369
chi_probe,-1.5955280253487258,0.10793145024506967,137.72136963469106,6.2054667149536415,2.868610167405805e-06,85.50716319340367,14.718008873182972
