case,chi,g,gp,logg,K,dA,A,Ap,tree,loop,loopp,V,Vp,rad,dust,denominator,numerator,E2,E,f,u,q,tau,N,a,z,t_Gyr,kinetic,rho,work,Omega_chi,energy_residual,lnt,friedmann_residual,delta_alpha,delta_alpha_linear,s_chi,s_age,gauge_denominator,mass_eV,H_over_mass,mass_adiabatic,kinetic_loop_fraction
chi_probe,137.6422999547138,1.0,-0.007265208444853172,-0.0,1.0,0.0,1.0,0.0,50.27593469715373,0.0,0.0,50.27593469715373,-100.55186939430746,0.0672668672,44.29151999999998,0.9999630391690647,45.04533577864473,45.047000753223706,6.71170624753674,-1.477940984858408,0.0,1.4891775770929696,0.0996965217336752,-1.6486586255873816,0.19230769230769232,4.2,1.4463276480685066,49.94923736943293,100.22517206658665,0.0,7.416340739726476e-05,0.0,137.98858590891294,-4.822313220567741e-17,2.979743765275278e-06,3.002787616965935e-06,1.6126167044781199e-06,1.6752946422908073e-06,0.9999970202651136,,,,
chi_probe,137.6446975129656,0.9999825816946513,-0.007264828805302216,-1.7418457049183495e-05,1.0,0.0,1.0,0.0,50.035432811059536,0.0,0.0,50.035432811059536,-100.07086562211907,0.06683505562256918,44.07810535862288,0.999963041929581,44.83148130896066,44.83313825524141,6.695755241587121,-1.4778309430586374,0.0023975582517986845,1.489121964494848,0.09993668945421724,-1.6470486073983315,0.19261756057003562,4.191634641413708,1.449811833959379,49.70838842228155,99.7438212333411,0.4813508332455956,7.415929757544178e-05,4.253678319183348e-16,137.99099199991332,5.0455522426188815e-17,2.9763720842684497e-06,2.999363681933926e-06,1.6107779148159844e-06,1.673463166454465e-06,0.9999970236367745,,,,
chi_probe,137.64709498147218,0.9999651649514283,-0.00726444920641043,-3.483565532606946e-05,1.0,0.0,1.0,0.0,49.796090336916755,0.0,0.0,49.796090336916755,-99.59218067383351,0.0664060160077132,43.86571903619158,0.9999630447028243,44.61865796883203,44.620306925534535,6.679843330912375,-1.4777203923417523,0.004795026758379148,1.4890660934104196,0.10017742929448765,-1.6454385892092813,0.19292792812774695,4.183282740370546,1.4533043197644993,49.46870107517951,99.26479141209626,0.9603806544904271,7.415516854075448e-05,2.8357855461222317e-16,137.99339802661362,-1.1224889968535408e-16,2.973000646944205e-06,2.9959400539706497e-06,1.6089392900620045e-06,1.671631835359945e-06,0.9999970270081917,,,,
chi_probe,137.6494923598164,0.9999477497731957,-0.007264069648238585,-5.225159189499742e-05,1.0,0.0,1.0,0.0,49.55790168435538,0.0,0.0,49.55790168435538,-99.11580336871076,0.06597973056115111,43.65435607784518,0.9999630474888525,44.40686078541733,44.40850179107481,6.663970422433972,-1.477609330383905,0.0071924051026116395,1.4890099626436857,0.10041874257442027,-1.6438285710202312,0.19323879578534842,4.174944275221058,1.4568051246325464,49.23016972440171,98.78807140875709,1.437100657829603,7.415102020593381e-05,4.253678319183348e-16,137.9958039887423,1.4692521501207458e-16,2.9696294538707947e-06,2.992516733639232e-06,1.607100830518601e-06,1.6698006491995404e-06,0.9999970303793648,,,,
chi_probe,137.65188964757922,0.9999303361628311,-0.0072636901308477326,-6.966626380670091e-05,1.0,0.0,1.0,0.0,49.320861289963084,0.0,0.0,49.320861289963084,-98.64172257992617,0.06555618160283022,43.44401155259739,0.9999630502877238,44.19608480986473,44.1977179028245,6.648136423301232,-1.4774977548514532,0.009589692865436627,1.4889535709934374,0.10066063061668953,-1.642218552831181,0.1935501643486585,4.166619224350615,1.46031426775196,48.992788793267174,98.31365008323026,1.9115219833563937,7.414685248334012e-05,0.0,137.99820988602661,-1.3717582798888102e-16,2.966258505619102e-06,2.9890937215053147e-06,1.605262536489547e-06,1.6679696081664416e-06,0.999997033750293,,,,
chi_probe,137.65428684433965,0.999912924123226,-0.007263310654299212,-8.707966809824907e-05,1.0,0.0,1.0,0.0,49.08496361715523,0.0,0.0,49.08496361715523,-98.16992723431046,0.06513535156619284,43.23468055322144,0.9999630530994965,43.98632511719638,43.98795033562078,6.632341240890789,-1.477385663400918,0.01198688962585643,1.4888969172532367,0.10090309474671397,-1.6406085346421309,0.19386203462479398,4.158307566179361,1.4638317683509883,48.75655273200865,97.84151634916388,2.3836557174228075,7.414266528496199e-05,4.253678319183348e-16,138.00061571819248,-2.8394160063690874e-17,2.9628878027626537e-06,2.9856710181372805e-06,1.603424408280086e-06,1.6661387124547907e-06,0.9999970371209759,,,,
chi_probe,137.65668394967471,0.9998955136572852,-0.0072629312186546615,-0.00010449180179298991,1.0,0.0,1.0,0.0,48.85020315604544,0.0,0.0,48.85020315604544,-97.70040631209088,0.0647172229974476,43.02635819613546,0.9999630559242295,43.777576806192954,43.77919418806021,6.616584782806021,-1.4772730536789593,0.014383994960927082,1.488840000211395,0.1011461362926597,-1.6389985164530805,0.19417440742217232,4.150009279162154,1.4673576456977393,48.52145601764222,97.37165917368766,2.8535128928990323,7.413845852241505e-05,4.253678319183348e-16,138.00302148496442,-1.6354963310510222e-17,2.9595173458776345e-06,2.982248624106115e-06,1.60158644619686e-06,1.6643079622597672e-06,0.9999970404914128,,,,
chi_probe,137.65908096315954,0.999878104767927,-0.007262551823976002,-0.00012190266190048139,1.0,0.0,1.0,0.0,48.616574423316926,0.0,0.0,48.616574423316926,-97.23314884663385,0.06430177855484588,42.8190396212888,0.9999630587619815,43.56983499927928,43.57144458238441,6.600866956876529,-1.4771599233223343,0.01678100844574852,1.4887828186509544,0.10138975658544375,-1.6373884982640303,0.19448728355051345,4.141724341788515,1.4708919191002294,48.28749315383846,96.90406757715539,3.3211044894312858,7.413423210694047e-05,2.8357855461222317e-16,138.00542718606576,1.0320605556463267e-16,2.956147135542897e-06,2.97882653998554e-06,1.599748650547981e-06,1.662477357777421e-06,0.9999970438616033,,,,
chi_probe,137.66147788436726,0.9998606974580838,-0.007262172470325449,-0.00013931224541644676,1.0,0.0,1.0,0.0,48.38407196209416,0.0,0.0,48.38407196209416,-96.76814392418832,0.06388900100796209,42.61271999204851,0.9999630616128117,43.363094842410064,43.36469666436576,6.585187671157578,-1.4770462699578664,0.019177929653458107,1.4887253713496664,0.1016339569587377,-1.6357784800749802,0.19480066382084213,4.133452732582567,1.4744346079064365,48.054658670793465,96.43873063288763,3.786441433699064,7.412998594940373e-05,4.253678319183348e-16,138.00783282121841,1.3204032205385177e-16,2.952777172339972e-06,2.9754047663518376e-06,1.5979110216429347e-06,1.660646899204826e-06,0.9999970472315465,,,,
chi_probe,137.66387471286902,0.9998432917307011,-0.007261793157765521,-0.00015672054932270538,1.0,0.0,1.0,0.0,48.152690341815465,0.0,0.0,48.152690341815465,-96.30538068363093,0.06347887323697939,42.4073944950864,0.9999630644767794,43.15735150495629,43.15894560319379,6.569546833929551,-1.47693209120241,0.021574758155220763,1.488667657079972,0.101878738748971,-1.63416846188593,0.19511454904548986,4.125194430102984,1.477985731504348,47.82294712510071,95.97563746691617,4.249534599670488,7.412571996029325e-05,0.0,138.01023839014297,-1.3635758033476658e-17,2.949407456853083e-06,2.971983303784156e-06,1.5960735597927474e-06,1.65881658674002e-06,0.9999970506012421,,,,
