index,beta,v,y,v_asymptotic,relative_y_asymptotic_error,VminusLambda_over_U,Vx_over_U,transverse_m2_over_mG2
0,100.0,2.5089965689552276,0.02508996568955228,2.5068888761060424,0.0008407603820314632,0.7497185155176567,-1.4991222798462096,3.992869064044164
0,10000.0,2.5068890865286204,0.00025068890865286204,2.5068888761060424,8.393773648729286e-08,0.7498499868680403,-1.499699942335609,3.99999928735552
0,1000000.0,2.5068888761270847,2.5068888761270846e-06,2.5068888761060424,8.393772268458501e-12,0.7498499999986868,-1.4996999999942335,3.9999999999287357
512,100.0,0.7567327943278371,0.007567327943278372,0.7567455720046978,1.6885036838545484e-05,0.7498613761883891,-1.4996941410580946,3.999724120580351
512,10000.0,0.7567455707270906,7.567455707270906e-05,0.7567455720046978,1.6882916745084364e-09,0.7498500011376165,-1.4996999994139177,3.9999999724093698
512,1000000.0,0.75674557200457,7.567455720045701e-07,0.7567455720046978,1.6882916533080456e-13,0.7498500000001138,-1.4996999999999414,3.999999999997241
1024,100.0,0.29141869992176994,0.002914186999217699,0.29144492723955023,8.999064773139867e-05,0.7498735586994072,-1.4997428745185588,4.000309059518696
1024,10000.0,0.2914449246166165,2.9144492461661644e-05,0.29144492723955023,8.999757895116834e-09,0.7498500023560721,-1.4997000042877409,4.000000030905001
1024,1000000.0,0.29144492723928794,2.914449272392879e-07,0.29144492723955023,8.999757964433279e-13,0.7498500000002356,-1.4997000000004288,4.000000000003091
