index,z,chi,beta,mG_eV,v,y,v_asymptotic,relative_y_asymptotic_error,VminusLambda_over_U,expected_coefficient,Vx_over_U,expected_Vx_coefficient,gradient_residual,transverse_m2_over_mG2,VA_over_MI
0,4.2,137.6422999547138,100.0,1.4377226629626767e-31,2.5089965689552303,0.025089965689552303,2.5068888761060424,0.0008407603820324017,0.7497185155176569,0.74985,-1.4991222798462094,-1.4997,1.6019083041507083e-15,3.9928690640441635,2.4624917911325613e-13
0,4.2,137.6422999547138,10000.0,1.4377226629626768e-29,2.506889086528621,0.0002506889086528621,2.5068888761060424,8.393773676118599e-08,0.7498499868680404,0.74985,-1.499699942335609,-1.4997,1.0747537892672217e-16,3.99999928735552,2.4624496347969705e-12
0,4.2,137.6422999547138,1000000.0,1.4377226629626768e-27,2.506888876127084,2.506888876127084e-06,2.5068888761060424,8.393508110771108e-12,0.7498499999986867,0.74985,-1.4996999999942338,-1.4997,8.622571202548958e-17,3.9999999999287352,2.4624496305812293e-11
512,1.2803508501982759,138.8400706298904,100.0,1.4377226629626767e-31,0.7567327943278376,0.007567327943278376,0.7567455720046984,1.688503683872078e-05,0.7498613761883894,0.74985,-1.499694141058095,-1.4997,4.6763950221676834e-17,3.999724120580352,2.4624917911325613e-13
512,1.2803508501982759,138.8400706298904,10000.0,1.4377226629626768e-29,0.7567455707270909,7.56745570727091e-05,0.7567455720046984,1.6882919506855387e-09,0.7498500011376166,0.74985,-1.4996999994139182,-1.4997,2.6356407360313786e-16,3.9999999724093698,2.4624496347969705e-12
512,1.2803508501982759,138.8400706298904,1000000.0,1.4377226629626768e-27,0.7567455720045706,7.567455720045706e-07,0.7567455720046984,1.688649220454863e-13,0.7498500000001136,0.74985,-1.4996999999999412,-1.4997,7.505646814269801e-18,3.999999999997241,2.4624496305812293e-11
1024,-0.0,139.79424666735443,100.0,1.4377226629626767e-31,0.29141869992176794,0.0029141869992176796,0.29144492723954823,8.999064773129728e-05,0.7498735586994073,0.74985,-1.499742874518559,-1.4997,6.290107329233767e-17,4.000309059518696,2.4624917911325613e-13
1024,-0.0,139.79424666735443,10000.0,1.4377226629626768e-29,0.2914449246166145,2.9144492461661447e-05,0.29144492723954823,8.999757827865551e-09,0.7498500023560722,0.74985,-1.499700004287741,-1.4997,1.1582695794242217e-17,4.000000030905002,2.4624496347969705e-12
1024,-0.0,139.79424666735443,1000000.0,1.4377226629626768e-27,0.2914449272392859,2.914449272392859e-07,0.29144492723954823,9.001688283660769e-13,0.7498500000002356,0.74985,-1.4997000000004288,-1.4997,3.44784199033742e-17,4.00000000000309,2.4624496305812293e-11
