phase,mG_eV,index,CW_eV4,CW_chi_eV4,s_eV2,d_eV2,B_abs2_eV4
zero,0.0,0,-5.392040387010955e-46,2.630901972288018e-48,1e+22,4.257384442759591e-66,2.667706538321885e-47
zero,0.0,512,-5.3798812005087e-46,2.7284817394200467e-49,9.914102312305466e+21,4.2479400962698245e-66,2.3266146163161928e-48
zero,0.0,1024,-5.378427170978039e-46,9.304305132466963e-50,9.84724811048071e+21,4.247133658860287e-66,3.3331752104122057e-49
zero,1e-33,0,-6.6622070117364e-46,2.488484618241281e-48,1e+22,5.260267811520156e-66,1.1059673975024654e-44
zero,1e-33,512,-6.653033507006464e-46,-5.035939708492129e-50,9.914102312305466e+21,5.248810488476999e-66,1.0220180768710201e-44
zero,1e-33,1024,-6.654928512508302e-46,-2.770744943302026e-49,9.84724811048071e+21,5.247468872441805e-66,9.962163456771769e-45
zero,1e-17,0,-1.2665147955292221e-14,-4.600746994005196e-17,1e+22,1e-34,1e-12
zero,1e-17,512,-1.2718840420886841e-14,-4.3666845494377025e-17,9.914102312305466e+21,1e-34,9.914102312305468e-13
zero,1e-17,1024,-1.2759651464638165e-14,-4.188736318618026e-17,9.84724811048071e+21,1e-34,9.847248110480709e-13
zero,1e-06,0,-126651479.55292222,-460074.6994005196,1e+22,1e-12,10000000000.0
zero,1e-06,512,-127188404.20886841,-436668.45494377025,9.914102312305466e+21,1e-12,9914102312.305468
zero,1e-06,1024,-127596514.64638165,-418873.63186180266,9.84724811048071e+21,1e-12,9847248110.48071
zero,1.0,0,-1.266514795529222e+20,-4.600746994005196e+17,1e+22,1.0,1e+22
zero,1.0,512,-1.2718840420886841e+20,-4.366684549437703e+17,9.914102312305466e+21,1.0,9.914102312305466e+21
zero,1.0,1024,-1.2759651464638164e+20,-4.188736318618026e+17,9.84724811048071e+21,1.0,9.84724811048071e+21
zero,1000.0,0,-1.2665147955292222e+26,-4.6007469940051965e+23,1e+22,1000000.0,1e+28
zero,1000.0,512,-1.271884042088684e+26,-4.366684549437703e+23,9.914102312305466e+21,1000000.0,9.914102312305466e+27
zero,1000.0,1024,-1.2759651464638164e+26,-4.188736318618027e+23,9.84724811048071e+21,1000000.0,9.84724811048071e+27
quadrature,0.0,0,-5.392040387010955e-46,2.630901972288018e-48,1e+22,4.257384442759591e-66,2.667706538321885e-47
quadrature,0.0,512,-5.3798812005087e-46,2.7284817394200467e-49,9.914102312305466e+21,4.2479400962698245e-66,2.3266146163161928e-48
quadrature,0.0,1024,-5.378427170978039e-46,9.304305132466963e-50,9.84724811048071e+21,4.247133658860287e-66,3.3331752104122057e-49
quadrature,1e-33,0,-6.658555182540177e-46,2.1708272728874984e-48,1e+22,5.257384442759591e-66,1.0026677065383219e-44
quadrature,1e-33,512,-6.6517652425973835e-46,-1.6382028100176563e-49,9.914102312305466e+21,5.247940096269825e-66,9.916428926921783e-45
quadrature,1e-33,1024,-6.654392317441855e-46,-3.25830580537133e-49,9.84724811048071e+21,5.247133658860287e-66,9.847581428001751e-45
quadrature,1e-17,0,-1.2665147955292221e-14,-4.6007469940051964e-17,1e+22,1e-34,1e-12
quadrature,1e-17,512,-1.2718840420886841e-14,-4.3666845494377025e-17,9.914102312305466e+21,1e-34,9.914102312305468e-13
