phase,mG_eV,max_initial_axis_tree_force_ratio,max_tree_index,max_charged_CW_force_ratio,max_CW_index,max_d_over_s,max_h_over_s,min_scalar_ratio,VA_marker_eV,VA_over_MI,direct_gaugino_cX1_eV,gauge_common_msoft_cX1_eV,gauge_common_old_force_ratio_cX1,phase_offset_for_axis_longitudinal_budget
zero,1e-25,179017213.67735296,1024,2.5151681145408756e-18,1024,1.0155121398221134e-72,1.0077262227097561e-36,1.0,20.536659213295177,2.0536659213295177e-10,7.941560070455938e-27,1.1615860659727821e-27,1.0954473172831848e-23,5.586054991350297e-10
zero,1.7782794100389227e-25,318342625.12497497,1024,7.953659944232234e-18,1024,3.211331353384543e-72,1.792018792755427e-36,1.0,27.386075205963508,2.7386075205963506e-10,1.412231275687905e-26,2.065624584107512e-27,3.4641085793359976e-23,3.1412695664220897e-10
zero,3.162277660168379e-25,566102135.5974826,1024,2.515168116542692e-17,1024,1.015512139819785e-71,3.186710121514154e-36,1.0,36.51991822998895,3.651991822998895e-10,2.511341799768803e-26,3.673257666788601e-27,1.0954473172831841e-22,1.7664656907619112e-10
zero,5.62341325190349e-25,1006687771.7120655,1024,7.953659947792026e-17,1024,3.2113313533804033e-71,5.6668609948056233e-36,1.0,48.70009366054235,4.870009366054235e-10,4.4658674140989543e-26,6.532078476617785e-27,3.464108579335997e-22,9.933566574463386e-11
zero,1e-24,1790172136.7735293,1024,2.5151681171757213e-16,1024,1.0155121398190487e-70,1.0077262226569896e-35,1.0,64.94261864469445,6.494261864469445e-10,7.941560070455935e-26,1.1615860659727816e-26,1.0954473172831838e-21,5.5860549913502966e-11
zero,1.778279410038923e-24,3183426251.2497506,1024,7.953659948917731e-16,1024,3.2113313533790955e-70,1.7920187927026614e-35,1.0,86.60237382350954,8.660237382350954e-10,1.412231275687905e-25,2.065624584107512e-26,3.4641085793359966e-21,3.141269566422089e-11
zero,3.1622776601683795e-24,5661021355.974825,1024,2.5151681173759033e-15,1024,1.0155121398188163e-69,3.186710121461388e-35,1.0,115.48612156987001,1.1548612156987e-09,2.5113417997688035e-25,3.673257666788602e-26,1.0954473172831844e-20,1.7664656907619112e-11
zero,5.623413251903491e-24,10066877717.120655,1024,7.953659949273709e-15,1024,3.211331353378682e-69,5.666860994752858e-35,1.0,154.00321823084082,1.540032182308408e-09,4.465867414098955e-25,6.532078476617785e-26,3.464108579335997e-20,9.933566574463386e-12
zero,1e-23,17901721367.7353,1024,2.5151681174392082e-14,1024,1.0155121398187424e-68,1.0077262226517133e-34,1.0,205.36659213295175,2.0536659213295175e-09,7.941560070455937e-25,1.161586065972782e-25,1.0954473172831843e-19,5.586054991350297e-12
zero,1.7782794100389228e-23,31834262512.4975,1024,7.95365994938628e-14,1024,3.21133135337855e-68,1.7920187926973845e-34,1.0,273.86075205963505,2.7386075205963505e-09,1.412231275687905e-24,2.0656245841075117e-25,3.4641085793359957e-19,3.14126956642209e-12
zero,3.1622776601683793e-23,56610213559.74826,1024,2.5151681174592253e-13,1024,1.0155121398187192e-67,3.186710121456111e-34,1.0,365.1991822998895,3.651991822998895e-09,2.5113417997688032e-24,3.6732576667886015e-25,1.0954473172831846e-18,1.7664656907619112e-12
zero,5.62341325190349e-23,100668777171.20656,1024,7.953659949421875e-13,1024,3.211331353378508e-67,5.666860994747581e-34,1.0,487.00093660542353,4.870009366054235e-09,4.465867414098953e-24,6.532078476617783e-25,3.4641085793359943e-18,9.933566574463386e-13
zero,1e-22,179017213677.35297,1024,2.5151681174655553e-12,1024,1.015512139818712e-66,1.0077262226511856e-33,1.0,649.4261864469446,6.494261864469446e-09,7.941560070455938e-24,1.161586065972782e-24,1.0954473172831843e-17,5.586054991350296e-13
zero,1.7782794100389228e-22,318342625124.975,1024,7.953659949433133e-12,1024,3.2113313533784955e-66,1.7920187926968564e-33,1.0,866.0237382350954,8.660237382350954e-09,1.412231275687905e-23,2.065624584107512e-24,3.464108579335996e-17,3.14126956642209e-13
zero,3.1622776601683793e-22,566102135597.4825,1024,2.5151681174675574e-11,1024,1.0155121398187096e-65,3.1867101214555836e-33,1.0,1154.8612156987,1.1548612156987e-08,2.5113417997688033e-23,3.6732576667886016e-24,1.0954473172831845e-16,1.7664656907619113e-13
zero,5.623413251903491e-22,1006687771712.0657,1024,7.953659949436696e-11,1024,3.2113313533784917e-65,5.6668609947470535e-33,1.0,1540.032182308408,1.540032182308408e-08,4.465867414098954e-23,6.532078476617784e-24,3.464108579335996e-16,9.933566574463384e-14
zero,1e-21,1790172136773.5295,1024,2.5151681174681896e-10,1024,1.0155121398187087e-64,1.0077262226511327e-32,1.0,2053.6659213295175,2.0536659213295176e-08,7.941560070455936e-23,1.1615860659727817e-23,1.0954473172831841e-15,5.586054991350297e-14
zero,1.778279410038923e-21,3183426251249.75,1024,7.953659949437817e-10,1024,3.211331353378491e-64,1.7920187926968036e-32,1.0,2738.6075205963507,2.7386075205963508e-08,1.412231275687905e-22,2.065624584107512e-23,3.464108579335997e-15,3.14126956642209e-14
zero,3.1622776601683792e-21,5661021355974.825,1024,2.5151681174683898e-09,1024,1.0155121398187085e-63,3.18671012145553e-32,1.0,3651.9918229988953,3.651991822998895e-08,2.511341799768803e-22,3.673257666788601e-23,1.095447317283184e-14,1.7664656907619114e-14
zero,5.6234132519034906e-21,10066877717120.654,1024,7.953659949438177e-09,1024,3.2113313533784894e-63,5.666860994747e-32,1.0,4870.009366054235,4.870009366054235e-08,4.465867414098953e-22,6.532078476617783e-23,3.464108579335995e-14,9.933566574463386e-15
