phase,mG_eV,beta,max_initial_axis_tree_force_ratio,max_tree_index,max_charged_CW_force_ratio,max_CW_index,max_d_over_s,max_h_over_s,min_scalar_ratio,VA_marker_eV,VA_over_MI,heavy_threshold_below_marker,heavy_threshold_below_marker_by_ten,tree_axis_budget_pass,CW_budget_pass,direct_gaugino_cX1_eV,gauge_common_msoft_cX1_eV,gauge_common_old_force_ratio_cX1,phase_offset_for_axis_longitudinal_budget
zero,0.0,0.0,0.0,0,5.586861966069099e-35,1024,4.3130157900052713e-88,5.164984548207172e-46,1.0,0.0022401127324030413,2.2401127324030414e-14,False,False,True,True,9.449002880503996e-35,1.3820748046926226e-35,1.5507857737997446e-39,
zero,1e-36,0.0006955444368800076,0.0017901721367735296,1024,5.589764421767151e-35,1024,4.3130171459308726e-88,5.264984548207172e-46,1.0,0.0022401131279968225,2.2401131279968224e-14,False,False,True,True,9.449006217806673e-35,1.3820752928289904e-35,1.5507868692470622e-39,55.860549913502965
zero,1.7782794100389228e-36,0.0012368723508708347,0.00318342625124975,1024,5.591988533392762e-35,1024,4.313019606686874e-88,5.342812489211064e-46,1.0,0.0022401139833797016,2.2401139833797017e-14,False,False,True,True,9.449013433977666e-35,1.3820763483147643e-35,1.550789237908324e-39,31.412695664220898
zero,3.1622776601683796e-36,0.002199504634400044,0.0056610213559748265,1024,5.595868356670425e-35,1024,4.3130270216085546e-88,5.4812123142240094e-46,1.0,0.0022401166883314234,2.2401166883314234e-14,False,False,True,True,9.449036253477722e-35,1.3820796860485424e-35,1.550796728272917e-39,17.664656907619108
zero,5.623413251903491e-36,0.003911333803638786,0.010066877717120655,1024,5.60252974620687e-35,1024,4.3130498176043755e-88,5.7273258733975205e-46,1.0,0.0022401252420753376,2.2401252420753374e-14,False,False,True,True,9.449108414710289e-35,1.3820902408364567e-35,1.5508204148855372e-39,9.933566574463386
zero,1e-35,0.006955444368800076,0.0179017213677353,1024,5.613622871743899e-35,1024,4.3131207453538684e-88,6.164984548207171e-46,1.0,0.0022401522907437937,2.2401522907437937e-14,False,False,True,True,9.449336604937304e-35,1.3821236174760263e-35,1.550895318531473e-39,5.586054991350295
zero,1.7782794100389227e-35,0.012368723508708346,0.0318342625124975,1024,5.630969345351232e-35,1024,4.313342976643104e-88,6.943263958246094e-46,1.0,0.002240237819696244,2.240237819696244e-14,False,False,True,True,9.450058169531715e-35,1.382229158373675e-35,1.551132184657678e-39,3.14126956642209
zero,3.162277660168379e-35,0.021995046344000433,0.05661021355974825,1024,5.654289359025145e-35,1024,4.3140420669639344e-88,8.32726220837555e-46,1.0,0.0022405082215421436,2.2405082215421437e-14,False,False,True,True,9.452339594625526e-35,1.3825628549743456e-35,1.5518812211170277e-39,1.7664656907619114
zero,5.62341325190349e-35,0.039113338036387856,0.10066877717120654,1024,5.671956827901863e-35,1024,4.3162462642143534e-88,1.0788397800110662e-45,1.0,0.002241362663573289,2.241362663573289e-14,False,False,False,True,9.459550473113186e-35,1.3836175666305411e-35,1.5542498823790808e-39,0.9933566574463386
zero,1e-34,0.06955444368800076,0.17901721367735296,1024,5.628105892244934e-35,1024,4.3232049527496054e-88,1.5164984548207172e-45,1.0,0.0022440582352184295,2.2440582352184294e-14,False,False,False,True,9.482317185124077e-35,1.3869475792735544e-35,1.5617402469725765e-39,0.5586054991350297
zero,1.7782794100389228e-34,0.12368723508708347,0.31834262512497497,1024,5.312106363440975e-35,1024,4.345189638563999e-88,2.2947778648596398e-45,1.0,0.002252519064152356,2.252519064152356e-14,False,False,False,True,9.55395481524818e-35,1.3974257815679675e-35,1.5854268595931046e-39,0.314126956642209
zero,3.1622776601683794e-34,0.21995046344000435,0.5661021355974825,1024,3.9974845899079286e-35,1024,4.414674652175583e-88,3.6787761149890965e-45,1.0,0.002278665407063883,2.278665407063883e-14,False,False,False,True,9.777039074844633e-35,1.430055587951868e-35,1.660330505528063e-39,0.17664656907619114
zero,5.623413251903491e-34,0.39113338036387857,1.0066877717120652,1024,2.1620635656296483e-35,0,4.634340353900153e-88,6.139911706724208e-45,1.0,0.002355917122929315,2.355917122929315e-14,False,False,False,True,1.0451202189034698e-34,1.5286632258326503e-35,1.897196631733344e-39,0.09933566574463387
zero,1e-33,0.6955444368800077,1.7901721367735297,1024,1.6637211829388887e-34,1024,5.328868343285444e-88,1.0516498454820718e-44,1.0,0.00256028874118882,2.56028874118882e-14,False,False,False,True,1.2343096523499803e-34,1.805384433971966e-35,2.6462330910829292e-39,0.05586054991350296
zero,1.7782794100389226e-33,1.2368723508708346,3.18342625124975,1024,6.874363360515715e-34,1024,7.524952493633184e-88,1.8299292555209944e-44,1.0,0.0030039823007556397,3.0039823007556395e-14,False,False,False,True,1.6991861965037306e-34,2.4853441790294316e-35,5.0148943531357395e-39,0.0314126956642209
zero,3.162277660168379e-33,2.1995046344000433,5.6610213559748255,1024,2.3667204236770594e-33,1024,1.4469213670076765e-87,3.2139275056504513e-44,1.0,0.0037748969002218942,3.7748969002218945e-14,False,False,False,True,2.6832208611338238e-34,3.9246595587881745e-35,1.2505258946631589e-38,0.01766465690761911
