epsilon,a,N,E,dlnE,Ht,t_Gyr,chi,q,Omega_chi,w_chi,Omega_m,Omega_r,D_regular_norm_PM,f_regular,D_matched,f_matched
0.0,0.02,-3.912023005428146,199.8766742468965,-1.507170656489612,0.6590206871638635,0.047832558866113456,,,0.0,,0.9855901116757895,0.014392744487963915,1.0,0.9903491493236205,1.0,0.9903491493236205
0.0,0.020019110799585467,-3.9110679216865862,199.5891645672405,-1.5071638109212053,0.6590271251561712,0.04790192997456924,,,0.0,,0.9856036051037134,0.014379201632817681,1.0009463181886682,0.9903582379939928,1.0009463181886686,0.9903582379939928
0.0,0.020038239860303963,-3.910112837945027,199.30206975415732,-1.5071569714170754,0.6590335581916358,0.04797140101239687,,,0.0,,0.9856170858339727,0.014365671333058192,1.001893540588208,0.99036731805276,1.0018935405882081,0.99036731805276
0.0,0.020057387199604752,-3.9091577542034672,199.0153892059891,-1.507150137970961,0.6590399862736589,0.04804097212309058,,,0.0,,0.9856305538774528,0.014352153577390935,1.0028416680624987,0.9903763895075315,1.0028416680624987,0.9903763895075315
0.0,0.020076552834953736,-3.9082026704619075,198.72912232195745,-1.5071433105766052,0.6590464094056412,0.04811064345035042,,,0.0,,0.9856440092450288,0.014338648354530992,1.0037907014762446,0.9903854523659091,1.003790701476244,0.9903854523659091
0.0,0.02009573678383353,-3.9072475867203478,198.44326850216285,-1.5071364892277517,0.659052827590982,0.048180415138082466,,,0.0,,0.985657451947564,0.014325155653202856,1.0047406416949738,0.9903945066354872,1.0047406416949738,0.9903945066354872
0.0,0.020114939063743426,-3.9062925029787885,198.15782714758302,-1.50712967391815,0.6590592408330798,0.04825028733039912,,,0.0,,0.9856708819959126,0.014311675462140508,1.0056914895850444,0.9904035523238526,1.005691489585044,0.9904035523238526
0.0,0.020134159692199477,-3.9053374192372288,197.87279766007043,-1.50712286464155,0.6590656491353314,0.04832026017161976,,,0.0,,0.9856842994009166,0.01429820777008747,1.0066432460136396,0.9904125894385846,1.0066432460136392,0.9904125894385847
0.0,0.020153398686734447,-3.904382335495669,197.58817944235332,-1.5071160613917058,0.6590720525011328,0.04839033380627037,,,0.0,,0.9856977041734083,0.014284752565796638,1.007595911848771,0.990421617987255,1.0075959118487707,0.990421617987255
0.0,0.020172656064897855,-3.9034272517541093,197.30397189803224,-1.5071092641623747,0.6590784509338786,0.04846050837908451,,,0.0,,0.9857110963242092,0.01427130983803047,1.0085494879592802,0.990430637977428,1.0085494879592798,0.990430637977428
0.0,0.020191931844255984,-3.90247216801255,197.0201744315804,-1.5071024729473164,0.6590848444369627,0.048530784035003105,,,0.0,,0.9857244758641298,0.014257879575560815,1.0095039752148363,0.9904396494166605,1.0095039752148358,0.9904396494166606
0.0,0.020211226042391933,-3.9015170842709903,196.7367864483411,-1.5070956877402937,0.6590912330137774,0.04860116091917509,,,0.0,,0.9857378428039705,0.014244461767168948,1.0104593744859407,0.9904486523125018,1.010459374485941,0.9904486523125018
0.0,0.020230538676905566,-3.9005620005294306,196.45380735452716,-1.5070889085350718,0.6590976166677138,0.04867163917695749,,,0.0,,0.9857511971545204,0.014231056401645648,1.0114156866439268,0.9904576466724935,1.0114156866439268,0.9904576466724936
0.0,0.020249869765413573,-3.8996069167878713,196.1712365572195,-1.5070821353254202,0.6591039954021622,0.04874221895391585,,,0.0,,0.9857645389265587,0.01421766346779113,1.0123729125609577,0.99046663250417,1.0123729125609573,0.99046663250417
