mG_eV,M_vector_eV,mKK_eV,sigma,phase,Lambda_eV,A_5d,c_Q,beta_Q,min_my2_eV2,max_my2_eV2,min_my2_over_Href2,clockoff_my2_leading_eV2,RSS_c_2loop_force_ratio,contact_d_1loop_force_ratio,contact_Btree_1loop_force_ratio,contact_B5d_2loop_force_ratio,quadratic_valley_force_ratio,quadratic_valley_energy_over_U,valley_metric_boundary_fraction,selected_feedback_sum_ratio,known_axis_feedback_without_valley,charged_over_vector,vector_over_KK,KK_over_M5,max_hierarchy_ratio,FTcanonical_over_vector2,max_auxiliary_over_vector2,max_coupling_loop_parameter,local_positive_curvature,hierarchy_pass,auxiliary_pass,perturbative_coupling_pass,necessary_conditions_pass,Ucrit_leading_eV4,chi_critical_leading,chi_gap_after_last
1e-06,1000000000000.0,100000000000000.0,-3.0,zero,1000000000000.0,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,9.983433908532248e-39,7.394068262319982e-37,4.8298062588299757e+27,-1.0406330369447272e-41,4.223354530332043e-11,0.0007599137959682623,0.0,0.0,0.0,0.0,0.0,0.0007599137963368175,0.0007599137963368175,0.1,0.01,1.7433475691889013e-09,0.1,0.004217543716430215,0.004217543716430215,0.11398633159763,True,True,True,False,False,8.671941974539394e-19,143.22790161522147,3.4336549478670406
1e-06,1000000000000.0,100000000000000.0,-3.0,quadrature,1000000000000.0,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,9.983433908532248e-39,7.394068262319982e-37,4.8298062588299757e+27,-1.0406330369447272e-41,4.223354530332043e-11,0.0007599138291715731,1.9458078853554213e-32,3.5758333030440086e-08,7.066639731845574e-37,6.7794629051389165e-34,2.6050968398258756e-17,0.0007599158059782183,0.0007599158059782183,0.1,0.01,1.7433475691889013e-09,0.1,0.004217543716430215,0.004217543716430215,0.11398633159763,True,True,True,False,False,8.671941974539394e-19,143.22790161522147,3.4336549478670406
1e-06,1000000000000.0,100000000000000.0,-2.75,zero,1000000000000.0,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,9.983433908532248e-39,7.394068262319982e-37,4.8298062588299757e+27,-1.0406330369447272e-41,4.223354530332043e-11,0.0006965876463042405,0.0,0.0,0.0,0.0,0.0,0.0006965876466727957,0.0006965876466727957,0.1,0.01,1.7433475691889013e-09,0.1,0.004217543716430215,0.004217543716430215,0.09578018141189742,True,True,True,True,True,8.671941974539394e-19,143.22790161522147,3.4336549478670406
1e-06,1000000000000.0,100000000000000.0,-2.75,quadrature,1000000000000.0,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,9.983433908532248e-39,7.394068262319982e-37,4.8298062588299757e+27,-1.0406330369447272e-41,4.223354530332043e-11,0.0006965876767406088,1.7836572282424695e-32,3.2778471944570093e-08,7.066639731845574e-37,6.7794629051389165e-34,2.6050968398258756e-17,0.0006965894888687215,0.0006965894888687215,0.1,0.01,1.7433475691889013e-09,0.1,0.004217543716430215,0.004217543716430215,0.09578018141189742,True,True,True,True,True,8.671941974539394e-19,143.22790161522147,3.4336549478670406
1e-06,1000000000000.0,100000000000000.0,-2.5,zero,1000000000000.0,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,9.983433908532248e-39,7.394068262319982e-37,4.8298062588299757e+27,-1.0406330369447272e-41,4.223354530332043e-11,0.0006332614966402186,0.0,0.0,0.0,0.0,0.0,0.0006332614970087739,0.0006332614970087739,0.1,0.01,1.7433475691889013e-09,0.1,0.004217543716430215,0.004217543716430215,0.07915717472057639,True,True,True,True,True,8.671941974539394e-19,143.22790161522147,3.4336549478670406
1e-06,1000000000000.0,100000000000000.0,-2.5,quadrature,1000000000000.0,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,9.983433908532248e-39,7.394068262319982e-37,4.8298062588299757e+27,-1.0406330369447272e-41,4.223354530332043e-11,0.0006332615243096443,1.6215065711295178e-32,2.9798610858700074e-08,7.066639731845574e-37,6.7794629051389165e-34,2.6050968398258756e-17,0.0006332631717592245,0.0006332631717592245,0.1,0.01,1.7433475691889013e-09,0.1,0.004217543716430215,0.004217543716430215,0.07915717472057639,True,True,True,True,True,8.671941974539394e-19,143.22790161522147,3.4336549478670406
1e-06,1000000000000.0,100000000000000.0,-2.25,zero,1000000000000.0,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,9.983433908532248e-39,7.394068262319982e-37,4.8298062588299757e+27,-1.0406330369447272e-41,4.223354530332043e-11,0.0005699353469761968,0.0,0.0,0.0,0.0,0.0,0.0005699353473447521,0.0005699353473447521,0.1,0.01,1.7433475691889013e-09,0.1,0.004217543716430215,0.004217543716430215,0.06411731152366687,True,True,True,True,True,8.671941974539394e-19,143.22790161522147,3.4336549478670406
1e-06,1000000000000.0,100000000000000.0,-2.25,quadrature,1000000000000.0,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,9.983433908532248e-39,7.394068262319982e-37,4.8298062588299757e+27,-1.0406330369447272e-41,4.223354530332043e-11,0.00056993537187868,1.459355914016566e-32,2.681874977283007e-08,7.066639731845574e-37,6.7794629051389165e-34,2.6050968398258756e-17,0.0005699368546497277,0.0005699368546497277,0.1,0.01,1.7433475691889013e-09,0.1,0.004217543716430215,0.004217543716430215,0.06411731152366687,True,True,True,True,True,8.671941974539394e-19,143.22790161522147,3.4336549478670406
1e-06,1000000000000.0,100000000000000.0,-2.0,zero,1000000000000.0,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,9.983433908532248e-39,7.394068262319982e-37,4.8298062588299757e+27,-1.0406330369447272e-41,4.223354530332043e-11,0.0005066091973121748,0.0,0.0,0.0,0.0,0.0,0.0005066091976807301,0.0005066091976807301,0.1,0.01,1.7433475691889013e-09,0.1,0.004217543716430215,0.004217543716430215,0.05066059182116889,True,True,True,True,True,8.671941974539394e-19,143.22790161522147,3.4336549478670406
1e-06,1000000000000.0,100000000000000.0,-2.0,quadrature,1000000000000.0,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,9.983433908532248e-39,7.394068262319982e-37,4.8298062588299757e+27,-1.0406330369447272e-41,4.223354530332043e-11,0.0005066092194477154,1.2972052569036143e-32,2.383888868696006e-08,7.066639731845574e-37,6.7794629051389165e-34,2.6050968398258756e-17,0.0005066105375402309,0.0005066105375402309,0.1,0.01,1.7433475691889013e-09,0.1,0.004217543716430215,0.004217543716430215,0.05066059182116889,True,True,True,True,True,8.671941974539394e-19,143.22790161522147,3.4336549478670406
