mG_eV,M_vector_eV,mKK_eV,sigma,phase,Lambda_eV,A_5d,c_Q,beta_Q,min_my2_eV2,max_my2_eV2,min_my2_over_Href2,clockoff_my2_leading_eV2,RSS_c_2loop_force_ratio,contact_d_1loop_force_ratio,contact_Btree_1loop_force_ratio,contact_B5d_2loop_force_ratio,quadratic_valley_force_ratio,quadratic_valley_energy_over_U,valley_metric_boundary_fraction,selected_feedback_sum_ratio,known_axis_feedback_without_valley,charged_over_vector,vector_over_KK,KK_over_M5,max_hierarchy_ratio,FTcanonical_over_vector2,max_auxiliary_over_vector2,max_coupling_loop_parameter,local_positive_curvature,hierarchy_pass,auxiliary_pass,perturbative_coupling_pass,necessary_conditions_pass,Ucrit_leading_eV4,chi_critical_leading,chi_gap_after_last
1.0,1000000000.0,1000000000000.0,-1.0,zero,1000000000.0,4.335970987269697e-35,5.203165184723637e-34,-2.6015825923618184e-34,8.953207201956968e-33,7.383765995254228e-31,4.331401056670169e+33,-1.0406330369447273e-33,0.004223354530332045,253.30459865608745,0.0,0.0,0.0,0.0,0.0,253.30463623538694,253.30463623538694,100.0,0.001,8.091902610253185e-11,100.0,4217543716.430216,4217543716.430216,0.012665147955292222,True,False,False,True,False,8.671941974539395e-17,140.92531652222743,1.1310698548730045
1.0,1000000000.0,1000000000000.0,0.0,zero,1000000000.0,4.335970987269697e-35,5.203165184723637e-34,-2.6015825923618184e-34,8.953207201956968e-33,7.383765995254228e-31,4.331401056670169e+33,-1.0406330369447273e-33,0.004223354530332045,0.0,0.0,0.0,0.0,0.0,0.0,0.004223354530332045,0.004223354530332045,100.0,0.001,8.091902610253185e-11,100.0,4217543716.430216,4217543716.430216,0.012665147955292222,True,False,False,True,False,8.671941974539395e-17,140.92531652222743,1.1310698548730045
1.0,1000000000.0,1000000000000.0,1.0,zero,1000000000.0,4.335970987269697e-35,5.203165184723637e-34,-2.6015825923618184e-34,8.953207201956968e-33,7.383765995254228e-31,4.331401056670169e+33,-1.0406330369447273e-33,0.004223354530332045,253.30459865608745,0.0,0.0,0.0,0.0,0.0,253.30463623538694,253.30463623538694,100.0,0.001,8.091902610253185e-11,100.0,4217543716.430216,4217543716.430216,0.012665147955292222,True,False,False,True,False,8.671941974539395e-17,140.92531652222743,1.1310698548730045
1.0,1000000000.0,1000000000000.0,-1.0,quadrature,1000000000.0,4.335970987269697e-35,5.203165184723637e-34,-2.6015825923618184e-34,8.953207201956968e-33,7.383765995254228e-31,4.331401056670169e+33,-1.0406330369447273e-33,0.004223354530332045,256.31952053944593,6.486026284518073e-33,1.1919444343480032,8.78649314440551e-37,7.559561431126782e-36,2.9048598495568307e-18,257.51568832832425,257.51568832832425,100.0,0.001,8.091902610253185e-11,100.0,4217543716.430216,4217543716.430216,0.012665147955292222,True,False,False,True,False,8.671941974539395e-17,140.92531652222743,1.1310698548730045
1.0,1000000000.0,1000000000000.0,0.0,quadrature,1000000000.0,4.335970987269697e-35,5.203165184723637e-34,-2.6015825923618184e-34,8.953207201956968e-33,7.383765995254228e-31,4.331401056670169e+33,-1.0406330369447273e-33,0.004223354530332045,0.0,0.0,0.0,8.78649314440551e-37,7.559561431126782e-36,2.9048598495568307e-18,0.004223354530332045,0.004223354530332045,100.0,0.001,8.091902610253185e-11,100.0,4217543716.430216,4217543716.430216,0.012665147955292222,True,False,False,True,False,8.671941974539395e-17,140.92531652222743,1.1310698548730045
1.0,1000000000.0,1000000000000.0,1.0,quadrature,1000000000.0,4.335970987269697e-35,5.203165184723637e-34,-2.6015825923618184e-34,8.953207201956968e-33,7.383765995254228e-31,4.331401056670169e+33,-1.0406330369447273e-33,0.004223354530332045,256.31952053944593,6.486026284518073e-33,1.1919444343480032,8.78649314440551e-37,7.559561431126782e-36,2.9048598495568307e-18,257.51568832832425,257.51568832832425,100.0,0.001,8.091902610253185e-11,100.0,4217543716.430216,4217543716.430216,0.012665147955292222,True,False,False,True,False,8.671941974539395e-17,140.92531652222743,1.1310698548730045
1.0,1000000000.0,1000000000000.0,-1.0,pi,1000000000.0,4.335970987269697e-35,5.203165184723637e-34,-2.6015825923618184e-34,8.953207201956968e-33,7.383765995254228e-31,4.331401056670169e+33,-1.0406330369447273e-33,0.004223354530332045,253.30459865608745,0.0,0.0,0.0,0.0,0.0,253.30463623538694,253.30463623538694,100.0,0.001,8.091902610253185e-11,100.0,4217543716.430216,4217543716.430216,0.012665147955292222,True,False,False,True,False,8.671941974539395e-17,140.92531652222743,1.1310698548730045
1.0,1000000000.0,1000000000000.0,0.0,pi,1000000000.0,4.335970987269697e-35,5.203165184723637e-34,-2.6015825923618184e-34,8.953207201956968e-33,7.383765995254228e-31,4.331401056670169e+33,-1.0406330369447273e-33,0.004223354530332045,0.0,0.0,0.0,0.0,0.0,0.0,0.004223354530332045,0.004223354530332045,100.0,0.001,8.091902610253185e-11,100.0,4217543716.430216,4217543716.430216,0.012665147955292222,True,False,False,True,False,8.671941974539395e-17,140.92531652222743,1.1310698548730045
1.0,1000000000.0,1000000000000.0,1.0,pi,1000000000.0,4.335970987269697e-35,5.203165184723637e-34,-2.6015825923618184e-34,8.953207201956968e-33,7.383765995254228e-31,4.331401056670169e+33,-1.0406330369447273e-33,0.004223354530332045,253.30459865608745,0.0,0.0,0.0,0.0,0.0,253.30463623538694,253.30463623538694,100.0,0.001,8.091902610253185e-11,100.0,4217543716.430216,4217543716.430216,0.012665147955292222,True,False,False,True,False,8.671941974539395e-17,140.92531652222743,1.1310698548730045
1.0,1000000000000.0,1000000000000.0,-1.0,zero,1000000000000.0,4.335970987269697e-35,5.203165184723637e-34,-2.6015825923618184e-34,-1.0406230431044884e-33,-1.039893619712165e-33,-5.0343476330056364e+32,-1.0406330369447273e-33,0.004223354530332045,0.0002533045986560874,0.0,0.0,,,,,0.004476641305866951,0.1,1.0,8.091902610253185e-11,1.0,4217.543716430216,4217.543716430216,0.012665147955292222,False,False,False,True,False,8.671941974539395e-11,134.0175612432453,-5.776685424109132
