mKK_eV,M_vector_eV,local_curvature_mG_max_eV,auxiliary_mG_max_eV,two_mass_gaps_pass
1000000000000.0,100000000000.0,0.030989701755763727,2.3710483334276213e-07,False
1000000000000.0,115478198468.94582,0.026835976112060164,3.1618437693208645e-07,False
1000000000000.0,133352143216.3324,0.023238997895587057,4.216386431541442e-07,False
1000000000000.0,153992652605.9492,0.020124143088218027,5.62264167274315e-07,False
1000000000000.0,177827941003.89227,0.01742678995258986,7.497913175977634e-07,False
1000000000000.0,205352502645.7146,0.015090978369632465,9.998627916665952e-07,False
1000000000000.0,237137370566.16553,0.01306824887270016,1.3333384619100574e-06,False
1000000000000.0,273841963426.43613,0.011316637292548731,1.7780354152847435e-06,False
1000000000000.0,316227766016.83795,0.009799804155753242,2.3710483334276218e-06,False
1000000000000.0,365174127254.8377,0.008486280774798013,3.1618437693208648e-06,False
1000000000000.0,421696503428.5823,0.007348816388991493,4.2163864315414425e-06,False
1000000000000.0,486967525165.8631,0.006363812811790377,5.622641672743151e-06,False
1000000000000.0,562341325190.3491,0.005510834855552168,7.497913175977636e-06,False
1000000000000.0,649381631576.2113,0.004772186376837298,9.998627916665952e-06,False
1000000000000.0,749894209332.4558,0.004132543146766032,1.3333384619100574e-05,False
1000000000000.0,865964323360.0653,0.0035786349298455224,1.778035415284743e-05,False
1000000000000.0,1000000000000.0,0.003098970175576373,2.3710483334276216e-05,False
1000000000000.0,1154781984689.4583,0.002683597611206016,3.161843769320865e-05,False
1000000000000.0,1333521432163.324,0.0023238997895587057,4.2163864315414415e-05,False
1000000000000.0,1539926526059.492,0.002012414308821803,5.622641672743151e-05,False
1000000000000.0,1778279410038.9229,0.001742678995258986,7.497913175977636e-05,False
1000000000000.0,2053525026457.146,0.0015090978369632464,9.998627916665952e-05,False
1000000000000.0,2371373705661.6553,0.001306824887270016,0.00013333384619100574,False
1000000000000.0,2738419634264.3613,0.001131663729254873,0.00017780354152847436,False
1000000000000.0,3162277660168.3794,0.0009799804155753242,0.00023710483334276217,False
1000000000000.0,3651741272548.377,0.0008486280774798014,0.0003161843769320864,False
1000000000000.0,4216965034285.8223,0.0007348816388991494,0.00042163864315414415,False
1000000000000.0,4869675251658.631,0.0006363812811790377,0.000562264167274315,False
1000000000000.0,5623413251903.491,0.0005510834855552168,0.0007497913175977636,False
1000000000000.0,6493816315762.113,0.0004772186376837298,0.0009998627916665951,False
1000000000000.0,7498942093324.559,0.0004132543146766032,0.0013333384619100574,False
1000000000000.0,8659643233600.653,0.00035786349298455225,0.0017780354152847433,False
1000000000000.0,10000000000000.0,0.00030989701755763726,0.0023710483334276216,False
1000000000000.0,11547819846894.582,0.0002683597611206016,0.0031618437693208645,False
1000000000000.0,13335214321633.24,0.00023238997895587058,0.004216386431541442,False
1000000000000.0,15399265260594.92,0.00020124143088218028,0.0056226416727431505,False
1000000000000.0,17782794100389.227,0.00017426789952589862,0.007497913175977634,False
1000000000000.0,20535250264571.46,0.00015090978369632465,0.009998627916665951,False
1000000000000.0,23713737056616.55,0.00013068248872700162,0.01333338461910057,False
1000000000000.0,27384196342643.613,0.0001131663729254873,0.017780354152847434,False
