derive 979 / 1016
FAIL {'name': '100:1e-12:0:quadrature:0:source_potential_derivative', 'error': '3.1857950400481973426379589694168591e-56', 'tolerance': '1.0e-70', 'passed': False}
FAIL {'name': '100:1e-12:2:quadrature:0:source_potential_derivative', 'error': '3.1857950400481973426379589694168591e-56', 'tolerance': '1.0e-70', 'passed': False}
FAIL {'name': '100:1e-12:2:quadrature:0:persist_potential_derivative', 'error': '3.1857950946076263526635222109114439e-56', 'tolerance': '1.0e-70', 'passed': False}
FAIL {'name': '100:1e-12:4:quadrature:0:source_potential_derivative', 'error': '3.1857950400481973426379589694168591e-56', 'tolerance': '1.0e-70', 'passed': False}
FAIL {'name': '100:1e-12:4:quadrature:0:persist_potential_derivative', 'error': '3.1857950946076263526635222109114439e-56', 'tolerance': '1.0e-70', 'passed': False}
FAIL {'name': '100:1e-12:100:quadrature:0:source_potential_derivative', 'error': '3.1857950400481973426379589694168591e-56', 'tolerance': '1.0e-70', 'passed': False}
FAIL {'name': '100:1e-12:100:quadrature:0:persist_potential_derivative', 'error': '3.18579533409563360368275196970485e-56', 'tolerance': '1.0e-70', 'passed': False}
FAIL {'name': '100:1e-6:0:quadrature:0:source_potential_derivative', 'error': '8.5243054911885677123422588526770763e-44', 'tolerance': '1.0e-70', 'passed': False}
FAIL {'name': '100:1e-6:2:quadrature:0:source_potential_derivative', 'error': '8.5243054911885677123422588526770763e-44', 'tolerance': '1.0e-70', 'passed': False}
FAIL {'name': '100:1e-6:2:quadrature:0:persist_potential_derivative', 'error': '8.5243055383034117592334660118936925e-44', 'tolerance': '1.0e-70', 'passed': False}
FAIL {'name': '100:1e-6:4:quadrature:0:source_potential_derivative', 'error': '8.5243054911885677123422588526770763e-44', 'tolerance': '1.0e-70', 'passed': False}
FAIL {'name': '100:1e-6:4:quadrature:0:persist_potential_derivative', 'error': '8.5243055383034117592334660118936925e-44', 'tolerance': '1.0e-70', 'passed': False}
FAIL {'name': '100:1e-6:100:quadrature:0:source_potential_derivative', 'error': '8.5243054911885677123422588526770763e-44', 'tolerance': '1.0e-70', 'passed': False}
FAIL {'name': '100:1e-6:100:quadrature:0:persist_potential_derivative', 'error': '8.5243058016232604446321103590623703e-44', 'tolerance': '1.0e-70', 'passed': False}
FAIL {'name': '100:1e-3:0:quadrature:0:source_potential_derivative', 'error': '6.6699967327927420518038070778663615e-38', 'tolerance': '1.0e-70', 'passed': False}
FAIL {'name': '100:1e-3:2:quadrature:0:source_potential_derivative', 'error': '6.6699967327927420518038070778663615e-38', 'tolerance': '1.0e-70', 'passed': False}
FAIL {'name': '100:1e-3:2:quadrature:0:persist_potential_derivative', 'error': '6.6699958573929466455207667384017232e-38', 'tolerance': '1.0e-70', 'passed': False}
FAIL {'name': '100:1e-3:4:quadrature:0:source_potential_derivative', 'error': '6.6699967327927420518038070778663615e-38', 'tolerance': '1.0e-70', 'passed': False}
FAIL {'name': '100:1e-3:4:quadrature:0:persist_potential_derivative', 'error': '6.6699958573929466455207667384017232e-38', 'tolerance': '1.0e-70', 'passed': False}
FAIL {'name': '100:1e-3:100:quadrature:0:source_potential_derivative', 'error': '6.6699967327927420518038070778663615e-38', 'tolerance': '1.0e-70', 'passed': False}
FAIL {'name': '100:1e-3:100:quadrature:0:persist_potential_derivative', 'error': '6.6699957883652282317356245146575373e-38', 'tolerance': '1.0e-70', 'passed': False}
FAIL {'name': '160:1e-12:0:quadrature:0:precision_agreement', 'error': '1.5928976604643826820563929939844339e-56', 'tolerance': '1.0e-65', 'passed': False}
FAIL {'name': '160:1e-12:2:quadrature:0:precision_agreement', 'error': '1.5928976604643826820563929939844339e-56', 'tolerance': '1.0e-65', 'passed': False}
FAIL {'name': '160:1e-12:4:quadrature:0:precision_agreement', 'error': '1.5928976604643826820563929939844339e-56', 'tolerance': '1.0e-65', 'passed': False}
FAIL {'name': '160:1e-12:100:quadrature:0:precision_agreement', 'error': '1.5928976604643826820563929939844339e-56', 'tolerance': '1.0e-65', 'passed': False}
FAIL {'name': '160:1e-6:0:quadrature:0:precision_agreement', 'error': '4.2621528451481762950168650857210391e-44', 'tolerance': '1.0e-65', 'passed': False}
FAIL {'name': '160:1e-6:2:quadrature:0:precision_agreement', 'error': '4.2621528451481762950168650857210391e-44', 'tolerance': '1.0e-65', 'passed': False}
FAIL {'name': '160:1e-6:4:quadrature:0:precision_agreement', 'error': '4.2621528451481762950168650857210391e-44', 'tolerance': '1.0e-65', 'passed': False}
FAIL {'name': '160:1e-6:100:quadrature:0:precision_agreement', 'error': '4.2621528451481762950168650857210391e-44', 'tolerance': '1.0e-65', 'passed': False}
FAIL {'name': '160:1e-3:0:quadrature:0:precision_agreement', 'error': '3.334997905185378329733267312185118e-38', 'tolerance': '1.0e-65', 'passed': False}
FAIL {'name': '160:1e-3:2:quadrature:0:precision_agreement', 'error': '3.334997905185378329733267312185118e-38', 'tolerance': '1.0e-65', 'passed': False}
FAIL {'name': '160:1e-3:4:quadrature:0:precision_agreement', 'error': '3.334997905185378329733267312185118e-38', 'tolerance': '1.0e-65', 'passed': False}
FAIL {'name': '160:1e-3:100:quadrature:0:precision_agreement', 'error': '3.334997905185378329733267312185118e-38', 'tolerance': '1.0e-65', 'passed': False}
FAIL {'name': 'future_root:1e-12:0:zero', 'error': '0.0997481631350877', 'tolerance': '1e-09', 'passed': False}
FAIL {'name': 'future_root:1e-12:0:quadrature', 'error': '0.09974295070714076', 'tolerance': '1e-09', 'passed': False}
FAIL {'name': 'future_root:1e-06:0:zero', 'error': '0.09974675726981061', 'tolerance': '1e-09', 'passed': False}
FAIL {'name': 'future_root:1e-06:0:quadrature', 'error': '0.09974448341742932', 'tolerance': '1e-09', 'passed': False}
