mG_eV,phase,index,scale,scenario,c,beta2,nu0,direct_potential_eV4,direct_chi,direct_y,leading_chi,leading_y,precision_force_over_2U,neglected_force_over_2U,common_split_over_s,B_over_s
1e-6,zero,0,0.5,contact_positive,8.9935868693213566235992871595733494140619521843975e-21,0.0,0.0,0.000000000001139051083487283508993478126433298274186013704943,1.6421521554076756701567894791762470094854651674674e-42,0.0,1.6421521554076756701567894828975430323316266584065e-42,0.0,1.3823159158296734872169168779996717057860309014963e-108,3.0196450872131507880234848575721917630549123637413e-56,8.993586869321356623599287159560383500349736206644e-55,0.0
1e-6,zero,0,0.5,contact_negative,-7.5151890277890788224596783114243056747640970307979e-21,0.0,0.0,-0.00000000000095180980948937389107674199606070129760749090413044,-1.3722093353406604915008788855675927235847814632517e-42,0.0,-1.3722093353406604915008788829691797941401263857917e-42,0.0,1.5303774326941208159381002491155260597206330541353e-109,2.1084817732257710794211647879576141021443664675327e-56,7.5151890277890788224596783114134711441278617617162e-55,0.0
1e-6,zero,0,0.5,B_squared,0.0,2.5809336573074397977033670715594832098240346977039e-22,0.0,-3.5152216006241789764610219327411023787321861711505e-71,-1.1874222765584040716972984147423752720476033148701e-16,0.0,-1.1874222765584040716972984147423752720476033148701e-16,0.0,3.2049501430700839303857097024493312444345226881116e-110,8.2245961035397290438413903849992451558282941724205e-88,0.0,1.6065284489567683337992037309366269577859936874472e-28
1e-6,zero,0,0.5,local_only,0.0,0.0,7.7753293424342924579903266400969561294222887209485e-23,0.0000000000000098475696523055291709125730494512366254508543630009,-7.1544646199209938985325039310102340504156475277541e-17,0.0,-7.1544646199209938985325039310102340504156475277541e-17,0.0,5.0883381979079409038737296973890732057494699938693e-166,0.0,0.0,0.0
1e-6,zero,0,0.5,mixed,3.8191944239583843196106561910516963265194591467989e-21,1.1171205382375485691551887324660449714163732273644e-22,-4.3617701189265543057018905542007314872368936727272e-23,0.00000000000047818237810428211040853608036976060146885781306617,-1.1261088055992620367099706596423001732430751729854e-17,0.0,-1.1261088055992620367099706596423001732430751729854e-17,0.0,8.8485247006850200340621139920402321286918850068541e-110,5.4454474175489546017837660877475045773702178012353e-57,3.8191944239583843196106561910461902535731756493967e-55,1.0569392310996638226522863616360400043102297524063e-28
1e-6,zero,0,0.5,contact_finite_shift,8.9935868693213566235992871595733494140619521843975e-21,0.0,-8.9935868693213566235992871595733494140619521843975e-21,7.100707063930315140644270865418947307407284928391e-67,0.0000000000000082754435508709668772409235318846041769560869717016,0.0,0.0000000000000082754435508709668772409235318846041769560869717016,0.0,1.3823159158296734872169168779996717057860309014963e-108,3.0196450872131507880234848575721917630549123637413e-56,8.993586869321356623599287159560383500349736206644e-55,0.0
1e-6,zero,0,0.5,B_finite_shift,0.0,2.5809336573074397977033670715594832098240346977039e-22,-1.2904668286537198988516835357797416049120173488519e-22,-0.000000000000016343953316296098042746751408268296118642098772747,-2.356282220817333743128708743330429398211329944395e-44,0.0,-2.356282220817333743128708743330429398211329944395e-44,0.0,3.2049501430700839303857097024493312444345226881116e-110,8.2245961035397290438413903849992451558282941724205e-88,0.0,1.6065284489567683337992037309366269577859936874472e-28
1e-6,zero,0,1,contact_positive,8.9935868693213566235992871595733494140619521843975e-21,0.0,0.0,0.000000000001139051083487283508993478126433298274186013704943,1.6421521554076756701567894791762470094854651674674e-42,0.0,1.6421521554076756701567894828975430323316266584065e-42,0.0,1.9905908581457844486206903301311742736287531109351e-108,3.0196450872131507880234848592335506839265992723526e-56,8.993586869321356623599287159560383500349736206644e-55,0.0
1e-6,zero,0,1,contact_negative,-7.5151890277890788224596783114243056747640970307979e-21,0.0,0.0,-0.00000000000095180980948937389107674199606070129760749090413044,-1.3722093353406604915008788855675927235847814632517e-42,0.0,-1.3722093353406604915008788829691797941401263857917e-42,0.0,3.2264029767243619042240714607468213579725753741664e-109,2.1084817732257710794211647891176659964141257069664e-56,7.5151890277890788224596783114134711441278617617162e-55,0.0
1e-6,zero,0,1,B_squared,0.0,2.5809336573074397977033670715594832098240346977039e-22,0.0,-3.5152216006241789764610219327411023787321861711505e-71,-1.1874222765584040716972984147423752720476033148701e-16,0.0,-1.1874222765584040716972984147423752720476033148701e-16,0.0,3.5879727534993868074520285715547189406735929061238e-109,8.2245961035397290438413903849992451558282941724205e-88,0.0,1.6065284489567683337992037309366269577859936874472e-28
