mG_eV,phase,coefficient,limit_10pct,beta_limit_10pct,max_chi,max_y,max_norm,index_chi,index_y,index_norm
1e-6,zero,c,1.2319982012768981676163407067908697827482126279997e-20,,8116894967570205613.2673791466142548706285004082692,0.0,8116894967570205613.2673791466142548706285004082692,1024,0,1024
1e-6,zero,beta2,3.8521397870260295488109956291932585221254249219461e-22,0.000000000019626868795164524533269355220073919922484568485612,259595979192653019314.86387996568649461019288354658,0.0,259595979192653019314.86387996568649461019288354658,1024,0,1024
1e-6,zero,nu,1.8964217908376323068269089366090136901029972490118e-22,,527308853352876244242.99513907798724409101426750143,0.0,527308853352876244242.99513907798724409101426750143,1024,0,1024
1e-6,quadrature,c,1.2319982012768981676163407048565142214511237216153e-20,,8116894967570205613.2673791593585599391834719540943,0.0000000042476482072795094068274741611267333712649645383354,8116894967570205613.2673791593585599391834719540943,1024,1024,1024
1e-6,quadrature,beta2,3.8521397870260295488109956291940461689227733966584e-22,0.000000000019626868795164524533269355220075926474842890989419,259595979192653019314.86387996563341503548370833321,0.000000000032196541225209364465364386623152043827191007434729,259595979192653019314.86387996563341503548370833321,1024,1024,1024
1e-6,quadrature,nu,1.8964217908376323068269089365635616648535796261406e-22,,527308853352876244242.99513909062539001015088862052,0.0000000041832551248290906778967453878804292836105825234659,527308853352876244242.99513909062539001015088862052,1024,1024,1024
1e-6,pi,c,1.2319982012768981676163407029221586601540348152309e-20,,8116894967570205613.2673791721028650077384434999195,0.0,8116894967570205613.2673791721028650077384434999195,1024,0,1024
1e-6,pi,beta2,3.8521397870260295488109956291948338157201218713706e-22,0.000000000019626868795164524533269355220077933027201213493226,259595979192653019314.86387996558033546077453311985,0.0,259595979192653019314.86387996558033546077453311985,1024,0,1024
1e-6,pi,nu,1.8964217908376323068269089365181096396041620032693e-22,,527308853352876244242.99513910326353592928750973961,0.0,527308853352876244242.99513910326353592928750973961,1024,0,1024
1,zero,c,1.2319982012768981676163407048565161558066850187042e-32,,8116894967570205613267379159358.5471948784033991228,0.0,8116894967570205613267379159358.5471948784033991228,1024,0,1024
