mG_eV,phase,coefficient,limit_10pct,beta_limit_10pct,max_chi,max_y,max_norm,index_chi,index_y,index_norm
1,zero,beta2,3.8521397870260295488109956291940461681351265993099e-34,1.9626868795164524533269355220075926472836338631096e-17,259595979192653019314863879965633.41508856328304239,0.0,259595979192653019314863879965633.41508856328304239,1024,0,1024
1,zero,nu,1.8964217908376323068269089365635617103056048755582e-34,,527308853352876244242995139090625.3773720049694839,0.0,527308853352876244242995139090625.3773720049694839,1024,0,1024
1,quadrature,c,1.2319982012768981676163407048565142214511237216153e-32,,8116894967570205613267379159358.5599391834719540943,0.0042476482072795094068274741611267333712649645383354,8116894967570205613267379159358.5599391834719540943,1024,1024,1024
1,quadrature,beta2,3.8521397870260295488109956291940461689227733966584e-34,1.9626868795164524533269355220075926474842890989419e-17,259595979192653019314863879965633.41503548370833321,0.000032196541225209364465364386623152043827191007434729,259595979192653019314863879965633.41503548370833321,1024,1024,1024
1,quadrature,nu,1.8964217908376323068269089365635616648535796261406e-34,,527308853352876244242995139090625.39001015088862052,0.0041832551248290906778967453878804292836105825234659,527308853352876244242995139090625.39001015088862052,1024,1024,1024
1,pi,c,1.2319982012768981676163407048565122870955624245264e-32,,8116894967570205613267379159358.5726834885405090659,0.0,8116894967570205613267379159358.5726834885405090659,1024,0,1024
1,pi,beta2,3.8521397870260295488109956291940461697104201940069e-34,1.9626868795164524533269355220075926476849443347741e-17,259595979192653019314863879965633.41498240413362404,0.0,259595979192653019314863879965633.41498240413362404,1024,0,1024
1,pi,nu,1.896421790837632306826908936563561619401554376723e-34,,527308853352876244242995139090625.40264829680775714,0.0,527308853352876244242995139090625.40264829680775714,1024,0,1024
1e5,zero,c,1.2319982012768981676163407048565142214704672772283e-42,,81168949675702056132673791593585599390560.289034088,0.0,81168949675702056132673791593585599390560.289034088,1024,0,1024
1e5,zero,beta2,3.8521397870260295488109956291940461689227655201904e-44,1.9626868795164524533269355220075926474842870923895e-22,2595959791926530193148638799656334150354842.3912896,0.0,2595959791926530193148638799656334150354842.3912896,1024,0,1024
1e5,zero,nu,1.8964217908376323068269089365635616648540341463931e-44,,5273088533528762442429951390906253900100245.0716133,0.0,5273088533528762442429951390906253900100245.0716133,1024,0,1024
1e5,quadrature,c,1.2319982012768981676163407048565142214511237216153e-42,,81168949675702056132673791593585599391834.719540943,424.76482072795094068274741611267333712649645383354,81168949675702056132673791593585599391834.719540943,1024,1024,1024
1e5,quadrature,beta2,3.8521397870260295488109956291940461689227733966584e-44,1.9626868795164524533269355220075926474842890989419e-22,2595959791926530193148638799656334150354837.0833321,3.2196541225209364465364386623152043827191007434729,2595959791926530193148638799656334150354837.0833321,1024,1024,1024
1e5,quadrature,nu,1.8964217908376323068269089365635616648535796261406e-44,,5273088533528762442429951390906253900101508.8862052,418.32551248290906778967453878804292836105825234659,5273088533528762442429951390906253900101508.8862052,1024,1024,1024
1e5,pi,c,1.2319982012768981676163407048565142214317801660023e-42,,81168949675702056132673791593585599393109.150047799,0.0,81168949675702056132673791593585599393109.150047799,1024,0,1024
1e5,pi,beta2,3.8521397870260295488109956291940461689227812731264e-44,1.9626868795164524533269355220075926474842911054942e-22,2595959791926530193148638799656334150354831.7753747,0.0,2595959791926530193148638799656334150354831.7753747,1024,0,1024
1e5,pi,nu,1.8964217908376323068269089365635616648531251058881e-44,,5273088533528762442429951390906253900102772.7007971,0.0,5273088533528762442429951390906253900102772.7007971,1024,0,1024
1e7,zero,c,1.2319982012768981676163407048565142214513171571714e-46,,811689496757020561326737915935855993918219752.35875,0.0,811689496757020561326737915935855993918219752.35875,1024,0,1024
1e7,zero,beta2,3.8521397870260295488109956291940461689227733178937e-48,1.9626868795164524533269355220075926474842890788764e-24,25959597919265301931486387996563341503548371364.117,0.0,25959597919265301931486387996563341503548371364.117,1024,0,1024
1e7,zero,nu,1.8964217908376323068269089365635616648535841713431e-48,,52730885335287624424299513909062539001014962480.593,0.0,52730885335287624424299513909062539001014962480.593,1024,0,1024
1e7,quadrature,c,1.2319982012768981676163407048565142214511237216153e-46,,811689496757020561326737915935855993918347195.40943,42476.482072795094068274741611267333712649645383354,811689496757020561326737915935855993918347195.40943,1024,1024,1024
1e7,quadrature,beta2,3.8521397870260295488109956291940461689227733966584e-48,1.9626868795164524533269355220075926474842890989419e-24,25959597919265301931486387996563341503548370833.321,321.96541225209364465364386623152043827191007434729,25959597919265301931486387996563341503548370833.321,1024,1024,1024
1e7,quadrature,nu,1.8964217908376323068269089365635616648535796261406e-48,,52730885335287624424299513909062539001015088862.052,41832.551248290906778967453878804292836105825234659,52730885335287624424299513909062539001015088862.052,1024,1024,1024
1e7,pi,c,1.2319982012768981676163407048565142214509302860592e-46,,811689496757020561326737915935855993918474638.46012,0.0,811689496757020561326737915935855993918474638.46012,1024,0,1024
1e7,pi,beta2,3.8521397870260295488109956291940461689227734754231e-48,1.9626868795164524533269355220075926474842891190074e-24,25959597919265301931486387996563341503548370302.526,0.0,25959597919265301931486387996563341503548370302.526,1024,0,1024
1e7,pi,nu,1.8964217908376323068269089365635616648535750809381e-48,,52730885335287624424299513909062539001015215243.512,0.0,52730885335287624424299513909062539001015215243.512,1024,0,1024
