mG_eV,phase,case,mu_over_Mi,c,beta2,nu0,reference_max_force_ratio,matched_max_force_ratio,incorrectly_frozen_nu_max_force_ratio,matched_max_absolute_error_over_tree_force
1e-06,zero,c,0.5,1.2319982012768791e-20,0.0,0.0,0.1,0.10000000000000031,8.90597202369015,2.5633435931595056e-15
1e-06,zero,c,1.0,1.2319982012768791e-20,0.0,0.0,0.1,0.10000000000000031,0.10000000000000031,1.8679684694832568e-15
1e-06,zero,c,2.0,1.2319982012768791e-20,0.0,0.0,0.1,0.09999999999999955,9.105972023690153,2.583516767548253e-15
1e-06,zero,c,10.0,1.2319982012768791e-20,0.0,0.0,0.1,0.10000000000000263,30.017191487265908,6.497457322711221e-15
1e-06,zero,beta2,0.5,0.0,3.8521397870259773e-22,0.0,0.10000000000000002,0.10000000000000003,0.24079672810132194,3.834559100721823e-17
1e-06,zero,beta2,1.0,0.0,3.8521397870259773e-22,0.0,0.10000000000000002,0.10000000000000003,0.10000000000000003,3.800324590786481e-17
1e-06,zero,beta2,2.0,0.0,3.8521397870259773e-22,0.0,0.10000000000000002,0.10000000000000003,0.040796728101321914,3.8231296804430237e-17
1e-06,zero,beta2,10.0,0.0,3.8521397870259773e-22,0.0,0.10000000000000002,0.10000000000000007,0.36771660674799833,8.18088380795587e-17
1e-06,zero,nu,0.5,0.0,0.0,1.8964217908376062e-22,0.1,0.1,0.1,1.4718457010271498e-17
1e-06,zero,nu,1.0,0.0,0.0,1.8964217908376062e-22,0.1,0.1,0.1,1.4718457010271498e-17
1e-06,zero,nu,2.0,0.0,0.0,1.8964217908376062e-22,0.1,0.1,0.1,1.4718457010271498e-17
1e-06,zero,nu,10.0,0.0,0.0,1.8964217908376062e-22,0.1,0.1,0.1,1.4718457010271498e-17
1e-06,zero,mixed,0.5,2.4639964025537584e-21,1.155641936107793e-22,1.8964217908376064e-23,0.06000000000000001,0.060000000000000074,1.6989553863076337,5.2563504149733245e-16
1e-06,zero,mixed,1.0,2.4639964025537584e-21,1.155641936107793e-22,1.8964217908376064e-23,0.06000000000000001,0.060000000000000074,0.060000000000000074,4.316260417595259e-16
1e-06,zero,mixed,2.0,2.4639964025537584e-21,1.155641936107793e-22,1.8964217908376064e-23,0.06000000000000001,0.060000000000000074,1.8189553863076338,5.172319159062516e-16
1e-06,zero,mixed,10.0,2.4639964025537584e-21,1.155641936107793e-22,1.8964217908376064e-23,0.06000000000000001,0.0599999999999995,5.903123315428783,1.7223445116988353e-15
1e-06,quadrature,c,0.5,1.2319982012768791e-20,0.0,0.0,0.1,0.10000000000000031,8.90597202369015,2.5633435931595056e-15
1e-06,quadrature,c,1.0,1.2319982012768791e-20,0.0,0.0,0.1,0.10000000000000031,0.10000000000000031,1.8679684694832568e-15
1e-06,quadrature,c,2.0,1.2319982012768791e-20,0.0,0.0,0.1,0.09999999999999955,9.105972023690153,2.583516767548253e-15
1e-06,quadrature,c,10.0,1.2319982012768791e-20,0.0,0.0,0.1,0.10000000000000263,30.017191487265908,6.497457322711221e-15
1e-06,quadrature,beta2,0.5,0.0,3.8521397870259773e-22,0.0,0.10000000000000002,0.10000000000000003,0.24079672810132194,3.834559100721823e-17
1e-06,quadrature,beta2,1.0,0.0,3.8521397870259773e-22,0.0,0.10000000000000002,0.10000000000000003,0.10000000000000003,3.800324590786481e-17
1e-06,quadrature,beta2,2.0,0.0,3.8521397870259773e-22,0.0,0.10000000000000002,0.10000000000000003,0.040796728101321914,3.8231296804430237e-17
1e-06,quadrature,beta2,10.0,0.0,3.8521397870259773e-22,0.0,0.10000000000000002,0.10000000000000007,0.36771660674799833,8.18088380795587e-17
1e-06,quadrature,nu,0.5,0.0,0.0,1.8964217908376062e-22,0.1,0.1,0.1,1.4718457010271498e-17
1e-06,quadrature,nu,1.0,0.0,0.0,1.8964217908376062e-22,0.1,0.1,0.1,1.4718457010271498e-17
1e-06,quadrature,nu,2.0,0.0,0.0,1.8964217908376062e-22,0.1,0.1,0.1,1.4718457010271498e-17
1e-06,quadrature,nu,10.0,0.0,0.0,1.8964217908376062e-22,0.1,0.1,0.1,1.4718457010271498e-17
1e-06,quadrature,mixed,0.5,2.4639964025537584e-21,1.155641936107793e-22,1.8964217908376064e-23,0.06000000000000001,0.060000000000000074,1.6989553863076337,5.2563504149733245e-16
1e-06,quadrature,mixed,1.0,2.4639964025537584e-21,1.155641936107793e-22,1.8964217908376064e-23,0.06000000000000001,0.060000000000000074,0.060000000000000074,4.316260417595259e-16
1e-06,quadrature,mixed,2.0,2.4639964025537584e-21,1.155641936107793e-22,1.8964217908376064e-23,0.06000000000000001,0.060000000000000074,1.8189553863076338,5.172319159062516e-16
1e-06,quadrature,mixed,10.0,2.4639964025537584e-21,1.155641936107793e-22,1.8964217908376064e-23,0.06000000000000001,0.0599999999999995,5.903123315428783,1.7223445116988353e-15
1e-06,pi,c,0.5,1.2319982012768791e-20,0.0,0.0,0.1,0.10000000000000031,8.90597202369015,2.5633435931595056e-15
1e-06,pi,c,1.0,1.2319982012768791e-20,0.0,0.0,0.1,0.10000000000000031,0.10000000000000031,1.8679684694832568e-15
1e-06,pi,c,2.0,1.2319982012768791e-20,0.0,0.0,0.1,0.09999999999999955,9.105972023690153,2.583516767548253e-15
1e-06,pi,c,10.0,1.2319982012768791e-20,0.0,0.0,0.1,0.10000000000000263,30.017191487265908,6.497457322711221e-15
