mG_eV,phase,coordinates,c_unit_max_force_ratio,beta2_unit_max_force_ratio,nu_unit_max_force_ratio,c_10percent,abs_beta_10percent,beta2_10percent,abs_nu_10percent,c_limit_if_nu0_minus_c,beta_limit_if_nu0_minus_beta2_over2,max_abs_d_over_s_at_c_limit,max_abs_B_over_s_at_beta_limit,baseline_B_cross_max_force_ratio,max_abs_baseline_B_over_added_B,max_modulus_mass_over_charged_mass,null_relative_residual
1e-06,zero,1025,8.116894967570332e+18,2.5959597919265656e+20,5.2730885335288355e+20,1.2319982012768791e-20,1.9626868795164392e-11,3.8521397870259773e-22,1.8964217908376062e-22,1.9260698935129882e-22,1.5697122037347275e-10,1.2511091296314833e-54,1.9778510353420288e-28,7.529164842588892e-20,2.668315981462922e-18,6.981732071004874e-17,3.7955354416997306e-16
1e-06,quadrature,1025,8.116894967570332e+18,2.5959597919265656e+20,5.2730885335288355e+20,1.2319982012768791e-20,1.9626868795164392e-11,3.8521397870259773e-22,1.8964217908376062e-22,1.9260698935129882e-22,1.5697122037347275e-10,1.2511091296314833e-54,1.9778510353420288e-28,1.3158168810217654e-19,2.668315981462922e-18,6.981732071004874e-17,3.7955354416997306e-16
1e-06,pi,1025,8.116894967570332e+18,2.5959597919265656e+20,5.2730885335288355e+20,1.2319982012768791e-20,1.9626868795164392e-11,3.8521397870259773e-22,1.8964217908376062e-22,1.9260698935129882e-22,1.5697122037347275e-10,1.2511091296314833e-54,1.9778510353420288e-28,7.529164842588892e-20,2.668315981462922e-18,6.981732071004874e-17,3.7955354416997306e-16
1.0,zero,1025,8.116894967570333e+30,2.5959597919265662e+32,5.273088533528836e+32,1.2319982012768789e-32,1.962686879516439e-17,3.852139787025976e-34,1.896421790837606e-34,1.926069893512988e-34,1.5697122037347362e-16,1.2511091296314832e-54,1.9778510353420283e-28,7.529164842588891e-20,2.6683159814629225e-18,6.981732071004874e-11,1.3910784505949234e-16
1.0,quadrature,1025,8.116894967570333e+30,2.5959597919265662e+32,5.273088533528836e+32,1.2319982012768789e-32,1.962686879516439e-17,3.852139787025976e-34,1.896421790837606e-34,1.926069893512988e-34,1.5697122037347362e-16,1.2511091296314832e-54,1.9778510353420283e-28,1.3158168810217652e-19,2.6683159814629225e-18,6.981732071004874e-11,1.3910784505949234e-16
1.0,pi,1025,8.116894967570333e+30,2.5959597919265662e+32,5.273088533528836e+32,1.2319982012768789e-32,1.962686879516439e-17,3.852139787025976e-34,1.896421790837606e-34,1.926069893512988e-34,1.5697122037347362e-16,1.2511091296314832e-54,1.9778510353420283e-28,7.529164842588891e-20,2.6683159814629225e-18,6.981732071004874e-11,1.3910784505949234e-16
100000.0,zero,1025,8.116894967570332e+40,2.5959597919265666e+42,5.2730885335288366e+42,1.231998201276879e-42,1.9626868795164388e-22,3.852139787025976e-44,1.8964217908376057e-44,1.926069893512988e-44,1.5697122037347368e-21,1.2511091296314832e-54,1.977851035342028e-28,7.529791721703174e-20,2.6682846375072085e-18,6.981732071004874e-06,3.5847818708853285e-16
100000.0,quadrature,1025,8.116894967570332e+40,2.5959597919265666e+42,5.2730885335288366e+42,1.231998201276879e-42,1.9626868795164388e-22,3.852139787025976e-44,1.8964217908376057e-44,1.926069893512988e-44,1.5697122037347368e-21,1.2511091296314832e-54,1.977851035342028e-28,1.3158168825150482e-19,2.6683159816470168e-18,6.981732071004874e-06,3.5847818708853285e-16
100000.0,pi,1025,8.116894967570332e+40,2.5959597919265666e+42,5.2730885335288366e+42,1.231998201276879e-42,1.9626868795164388e-22,3.852139787025976e-44,1.8964217908376057e-44,1.926069893512988e-44,1.5697122037347368e-21,1.2511091296314832e-54,1.977851035342028e-28,7.528537963474611e-20,2.6683473254186366e-18,6.981732071004874e-06,3.5847818708853285e-16
10000000.0,zero,1025,8.116894967570334e+44,2.595959791926566e+46,5.273088533528836e+46,1.2319982012768789e-46,1.962686879516439e-24,3.852139787025976e-48,1.896421790837606e-48,1.9260698935129878e-48,1.569712203734729e-23,1.2511091296314832e-54,1.9778510353420285e-28,6.3440827912572354e-18,3.1043256936474784e-17,0.0006981732071004874,3.9155377448390144e-16
10000000.0,quadrature,1025,8.116894967570334e+44,2.595959791926566e+46,5.273088533528836e+46,1.2319982012768789e-46,1.962686879516439e-24,3.852139787025976e-48,1.896421790837606e-48,1.9260698935129878e-48,1.569712203734729e-23,1.2511091296314832e-54,1.9778510353420285e-28,6.270171938079893e-18,3.14573277629863e-17,0.0006981732071004874,3.9155377448390144e-16
10000000.0,pi,1025,8.116894967570334e+44,2.595959791926566e+46,5.273088533528836e+46,1.2319982012768789e-46,1.962686879516439e-24,3.852139787025976e-48,1.896421790837606e-48,1.9260698935129878e-48,1.569712203734729e-23,1.2511091296314832e-54,1.9778510353420285e-28,6.193499494405459e-18,3.401227169561965e-17,0.0006981732071004874,3.9155377448390144e-16
