model,N,z,chi,t_Gyr,k,delta_k,delta_log_Mhol2,delta_log_s,log_R,delta_log_R,mass_delta_g_inverse2,anomaly_delta_g_inverse2,physical_uv_delta_f,matched_delta_g_inverse2,holomorphic_uv_delta_alpha,physical_uv_delta_alpha,split_delta_alpha,taylor_delta_alpha,shape_chi,shape_time,shape_matched,kahler_delta_g_inverse2,konishi_delta_g_inverse2
global,-1.6486586255873816,4.2,137.6422999547138,1.4463276480685066,0.0,0.0,0.015393714046246948,0.015393714046246948,-2.742688927260489e-91,-2.7073243477420387e-91,-0.00019496366597717769,0.0,-0.0,-0.00019496366597717769,1.787872896180745e-05,1.787872896180745e-05,-5.240708801976477e-95,1.801705031004901e-05,1.0,1.0,1.0,-0.00019496366597717769,-0.00019496366597717777
global,-1.6470486073983315,4.191634641413708,137.6446975129656,1.4498118339593795,0.0,0.0,0.015376295589197751,0.015376295589197751,-2.729426262107321e-91,-2.694061682588871e-91,-0.0001947430586414967,0.0,-0.0,-0.0001947430586414967,1.7858498273289325e-05,1.7858498273289325e-05,-5.215035358999681e-95,1.7996505960001813e-05,0.9988597478514072,0.9989067738951088,0.998868449286225,-0.0001947430586414967,-0.0001947430586414968
global,-1.6454385892092813,4.183282740370546,137.64709498147218,1.4533043197644995,0.0,0.0,0.015358878390920821,0.015358878390920821,-2.7162282233212106e-91,-2.6808636438027605e-91,-0.00019452246724835273,0.0,-0.0,-0.00019452246724835273,1.783826904759226e-05,1.783826904759226e-05,-5.189487018731453e-95,1.7975963453277445e-05,0.9977195979640413,0.9978136341880444,0.9977369803915246,-0.00019452246724835273,-0.00019452246724835267
global,-1.6438285710202312,4.174944275221058,137.6494923598164,1.4568051246325466,0.0,0.0,0.015341462454351933,0.015341462454351933,-2.703094495905663e-91,-2.6677299163872126e-91,-0.0001943018918349278,0.0,-0.0,-0.0001943018918349278,1.781804128812585e-05,1.781804128812585e-05,-5.16406317140137e-95,1.7955422793254362e-05,0.9965795505254246,0.9967205809935952,0.9966055935066055,-0.0001943018918349278,-0.00019430189183492792
global,-1.642218552831181,4.166619224350615,137.65188964757922,1.4603142677519603,0.0,0.0,0.015324047782440276,0.015324047782440276,-2.6900247663995213e-91,-2.654660186881071e-91,-0.00019408133243857377,0.0,-0.0,-0.00019408133243857377,1.779781499831525e-05,1.779781499831525e-05,-5.1387632102111406e-95,1.7934883983326583e-05,0.995439605723946,0.995627614427067,0.9954742888230451,-0.00019408133243857377,-0.0001940813324385739
global,-1.6406085346421309,4.158307566179361,137.65428684433965,1.4638317683509885,0.0,0.0,0.015306634378148679,0.015306634378148679,-2.6770187228695825e-91,-2.6416541433511323e-91,-0.00019386078909681536,0.0,-0.0,-0.00019386078909681536,1.7777590181601462e-05,1.7777590181601462e-05,-5.113586531320309e-95,1.7914347026903983e-05,0.9942997637488722,0.9945347346043609,0.9943430665333067,-0.00019386078909681536,-0.00019386078909681555
global,-1.6389985164530805,4.150009279162154,137.65668394967471,1.4673576456977393,0.0,0.0,0.015289222244453986,0.015289222244453986,-2.6640760549034146e-91,-2.6287114753849645e-91,-0.00019364026184735478,0.0,-0.0,-0.00019364026184735478,1.775736684144176e-05,1.775736684144176e-05,-5.088532533832356e-95,1.789381192741275e-05,0.9931600247903762,0.9934419416419722,0.9932119268307641,-0.00019364026184735478,-0.00019364026184735464
global,-1.6373884982640303,4.141724341788515,137.65908096315954,1.4708919191002294,0.0,0.0,0.015271811384346478,0.015271811384346478,-2.651196453601444e-91,-2.615831874082994e-91,-0.00019341975072806428,0.0,-0.0,-0.00019341975072806428,1.773714498130904e-05,1.773714498130904e-05,-5.0636006197793776e-95,1.7873278688294653e-05,0.9920203890394956,0.9923492356569269,0.992080869909664,-0.00019341975072806428,-0.00019341975072806415
global,-1.6357784800749802,4.133452732582567,137.66147788436726,1.4744346079064365,0.0,0.0,0.015254401800830441,0.015254401800830441,-2.6383796115699744e-91,-2.603015032051524e-91,-0.00019319925577699365,0.0,-0.0,-0.00019319925577699365,1.771692460469245e-05,1.771692460469245e-05,-5.038790194108576e-95,1.785274731300776e-05,0.9908808566881729,0.9912566167668577,0.9909498959651636,-0.00019319925577699365,-0.00019319925577699352
global,-1.63416846188593,4.125194430102984,137.66387471286902,1.477985731504348,0.0,0.0,0.015236993496924214,0.015236993496924214,-2.625625222913816e-91,-2.590260643395366e-91,-0.0001929787770323706,0.0,-0.0,-0.0001929787770323706,1.769670571509746e-05,1.769670571509746e-05,-5.0141006646679845e-95,1.7832217805026464e-05,0.9897414279292571,0.9901640850899794,0.9898190051933318,-0.0001929787770323706,-0.00019297877703237077
global,-1.6325584436968799,4.1169494129429305,137.666271448234,1.4815453093220103,0.0,0.0,0.01521958647565993,0.01521958647565993,-2.612932983228766e-91,-2.577568403710316e-91,-0.00019275831453259752,0.0,-0.0,-0.00019275831453259752,1.7676488316045563e-05,1.7676488316045563e-05,-4.9895314421919134e-95,1.7811690167841185e-05,0.9886021029564855,0.9890716407450743,0.9886881977911343,-0.00019275831453259752,-0.0001927583145325976
global,-1.6309484255078297,4.108717659730011,137.66866809002946,1.485113360827578,0.0,0.0,0.01520218074008336,0.01520218074008336,-2.600302589594158e-91,-2.5649380100757077e-91,-0.00019253786831624958,0.0,-0.0,-0.00019253786831624958,1.7656272411074087e-05,1.7656272411074087e-05,-4.9650819402865286e-95,1.7791164404958187e-05,0.9874628819644763,0.987979283851506,0.987557473956422,-0.00019253786831624958,-0.00019253786831624964
global,-1.6293384073187795,4.100499149126209,137.6710646378205,1.4886899055293648,0.0,0.0,0.015184776293255292,0.015184776293255292,-2.587733740566622e-91,-2.552369161048172e-91,-0.00019231743842209207,0.0,-0.0,-0.00019231743842209207,1.7636058003737818e-05,1.7636058003737818e-05,-4.9407515754177724e-95,1.77706405199012e-05,0.986323765148816,0.9868870145292329,0.9864268338880228,-0.00019231743842209207,-0.00019231743842209207
global,-1.6277283891297294,4.092293859827841,137.6734610911704,1.4922749629758907,0.0,0.0,0.01516737313824975,0.01516737313824975,-2.5752261361715e-91,-2.53986155665305e-91,-0.000192097024889058,0.0,-0.0,-0.000192097024889058,1.761584509760689e-05,1.761584509760689e-05,-4.916539766894739e-95,1.775011851620932e-05,0.9851847527059443,0.9857948328988178,0.9852962777856228,-0.000192097024889058,-0.0001920970248890581
global,-1.6261183709406792,4.084101770565488,137.67585744964026,1.4958685527559317,0.0,0.0,0.015149971278155561,0.015149971278155561,-2.56277947789682e-91,-2.52741489837837e-91,-0.0001918766277562678,0.0,-0.0,-0.0001918766277562678,1.7595633696268647e-05,1.7595633696268647e-05,-4.892445936858019e-95,1.772959839743886e-05,0.9840458448332565,0.9847027390813943,0.9841658058498706,-0.0001918766277562678,-0.00019187662775626787
