mu_over_Lambda,cL_hat,explicit_loop_force_hat,total_force_hat
1e-14,-5.519105396956115,0.49153701700154206,-5.027568379954573
1.2589254117941662e-14,-5.4957753322501794,0.46820695229560627,-5.027568379954573
1.584893192461111e-14,-5.472445267544243,0.44487688758967037,-5.027568379954573
1.9952623149688828e-14,-5.449115202838307,0.4215468228837342,-5.027568379954573
2.5118864315095823e-14,-5.425785138132371,0.3982167581777984,-5.027568379954572
3.1622776601683796e-14,-5.4024550734264345,0.3748866934718625,-5.027568379954572
3.9810717055349693e-14,-5.379125008720499,0.3515566287659267,-5.027568379954572
5.0118723362727144e-14,-5.355794944014564,0.32822656405999084,-5.027568379954573
6.309573444801943e-14,-5.332464879308628,0.3048964993540546,-5.027568379954573
7.943282347242821e-14,-5.309134814602691,0.2815664346481188,-5.027568379954572
1e-13,-5.285804749896755,0.25823636994218296,-5.027568379954572
1.2589254117941663e-13,-5.26247468519082,0.23490630523624711,-5.027568379954572
1.584893192461111e-13,-5.239144620484884,0.21157624053031127,-5.027568379954573
1.9952623149688827e-13,-5.215814555778948,0.18824617582437506,-5.027568379954573
2.511886431509582e-13,-5.192484491073012,0.16491611111843923,-5.027568379954572
3.162277660168379e-13,-5.169154426367076,0.14158604641250339,-5.027568379954572
3.981071705534969e-13,-5.14582436166114,0.11825598170656756,-5.027568379954573
5.011872336272715e-13,-5.122494296955205,0.09492591700063173,-5.027568379954573
6.309573444801942e-13,-5.099164232249269,0.07159585229469548,-5.027568379954573
7.943282347242822e-13,-5.0758341675433325,0.04826578758875967,-5.027568379954573
1e-12,-5.052504102837396,0.024935722882823835,-5.027568379954572
1.258925411794166e-12,-5.02917403813146,0.001605658176888009,-5.027568379954572
1.5848931924611108e-12,-5.005843973425525,-0.021724406529047804,-5.027568379954572
1.9952623149688827e-12,-4.982513908719589,-0.045054471234984066,-5.027568379954573
2.5118864315095823e-12,-4.959183844013653,-0.0683845359409199,-5.027568379954573
3.1622776601683794e-12,-4.935853779307717,-0.09171460064685573,-5.027568379954572
3.9810717055349695e-12,-4.912523714601781,-0.11504466535279156,-5.027568379954572
5.011872336272715e-12,-4.889193649895845,-0.13837473005872739,-5.027568379954572
6.309573444801943e-12,-4.865863585189909,-0.1617047947646636,-5.027568379954572
7.943282347242821e-12,-4.842533520483974,-0.18503485947059944,-5.027568379954573
1e-11,-4.819203455778037,-0.20836492417653527,-5.027568379954572
1.2589254117941662e-11,-4.795873391072101,-0.23169498888247114,-5.027568379954572
1.5848931924611107e-11,-4.772543326366166,-0.2550250535884069,-5.027568379954573
1.9952623149688828e-11,-4.74921326166023,-0.2783551182943432,-5.027568379954573
2.5118864315095823e-11,-4.725883196954294,-0.301685183000279,-5.027568379954573
3.1622776601683794e-11,-4.702553132248358,-0.3250152477062148,-5.027568379954573
3.9810717055349695e-11,-4.679223067542422,-0.34834531241215066,-5.027568379954572
5.011872336272715e-11,-4.6558930028364856,-0.37167537711808646,-5.027568379954572
6.309573444801942e-11,-4.63256293813055,-0.39500544182402275,-5.027568379954573
7.943282347242822e-11,-4.609232873424615,-0.41833550652995855,-5.027568379954573
1e-10,-4.585902808718679,-0.44166557123589445,-5.027568379954573
1.2589254117941713e-10,-4.562572744012742,-0.46499563594183063,-5.027568379954573
1.584893192461111e-10,-4.539242679306806,-0.4883257006477661,-5.027568379954572
1.9952623149688828e-10,-4.515912614600871,-0.5116557653537023,-5.027568379954573
2.511886431509582e-10,-4.4925825498949346,-0.5349858300596381,-5.027568379954572
3.1622776601683795e-10,-4.469252485188999,-0.558315894765574,-5.027568379954573
3.9810717055349854e-10,-4.445922420483063,-0.5816459594715101,-5.027568379954573
5.011872336272714e-10,-4.422592355777127,-0.6049760241774456,-5.027568379954572
6.309573444801942e-10,-4.3992622910711905,-0.6283060888833819,-5.027568379954572
7.943282347242822e-10,-4.375932226365255,-0.6516361535893177,-5.027568379954573
1e-09,-4.35260216165932,-0.6749662182952535,-5.027568379954573
1.2589254117941712e-09,-4.3292720969533836,-0.6982962830011897,-5.027568379954573
1.584893192461111e-09,-4.305942032247447,-0.7216263477071251,-5.027568379954572
1.9952623149688828e-09,-4.282611967541511,-0.7449564124130614,-5.027568379954572
2.511886431509582e-09,-4.259281902835576,-0.7682864771189972,-5.027568379954573
3.1622776601683795e-09,-4.2359518381296395,-0.791616541824933,-5.027568379954572
3.9810717055349855e-09,-4.212621773423703,-0.8149466065308693,-5.027568379954572
5.011872336272715e-09,-4.189291708717768,-0.8382766712368047,-5.027568379954572
6.309573444801943e-09,-4.165961644011832,-0.8616067359427408,-5.027568379954572
7.943282347242822e-09,-4.142631579305896,-0.8849368006486767,-5.027568379954573
1e-08,-4.11930151459996,-0.9082668653546125,-5.027568379954572
1.2589254117941687e-08,-4.095971449894024,-0.9315969300605487,-5.027568379954572
1.584893192461114e-08,-4.0726413851880885,-0.9549269947664845,-5.027568379954573
1.995262314968883e-08,-4.049311320482152,-0.9782570594724205,-5.027568379954573
2.511886431509582e-08,-4.025981255776216,-1.0015871241783563,-5.027568379954572
3.162277660168379e-08,-4.002651191070281,-1.024917188884292,-5.027568379954573
3.9810717055349776e-08,-3.9793211263643444,-1.048247253590228,-5.027568379954572
5.011872336272725e-08,-3.955991061658409,-1.0715773182961639,-5.027568379954573
6.309573444801943e-08,-3.932660996952473,-1.0949073830021,-5.027568379954573
7.943282347242822e-08,-3.9093309322465366,-1.118237447708036,-5.027568379954572
1e-07,-3.8860008675406013,-1.1415675124139717,-5.027568379954573
1.2589254117941688e-07,-3.862670802834665,-1.1648975771199077,-5.027568379954573
1.584893192461114e-07,-3.839340738128729,-1.1882276418258435,-5.027568379954572
1.995262314968883e-07,-3.8160106734227934,-1.2115577065317795,-5.027568379954573
2.5118864315095823e-07,-3.792680608716857,-1.2348877712377153,-5.027568379954572
3.162277660168379e-07,-3.7693505440109214,-1.258217835943651,-5.027568379954572
3.981071705534977e-07,-3.7460204793049856,-1.2815479006495873,-5.027568379954573
5.011872336272725e-07,-3.7226904145990494,-1.3048779653555231,-5.027568379954572
6.309573444801942e-07,-3.6993603498931136,-1.3282080300614592,-5.027568379954573
7.943282347242821e-07,-3.676030285187178,-1.351538094767395,-5.027568379954573
1e-06,-3.6527002204812415,-1.3748681594733307,-5.027568379954572
1.2589254117941661e-06,-3.629370155775306,-1.3981982241792665,-5.027568379954573
1.5848931924611175e-06,-3.60604009106937,-1.421528288885203,-5.027568379954573
1.995262314968883e-06,-3.582710026363434,-1.4448583535911388,-5.027568379954573
2.5118864315095823e-06,-3.5593799616574984,-1.4681884182970746,-5.027568379954573
3.162277660168379e-06,-3.536049896951562,-1.4915184830030104,-5.027568379954572
3.981071705534969e-06,-3.512719832245627,-1.5148485477089462,-5.027568379954573
5.011872336272735e-06,-3.4893897675396905,-1.5381786124148824,-5.027568379954573
6.309573444801943e-06,-3.4660597028337543,-1.5615086771208182,-5.027568379954572
7.943282347242822e-06,-3.442729638127819,-1.584838741826754,-5.027568379954573
9.999999999999999e-06,-3.4193995734218827,-1.60816880653269,-5.027568379954573
1.2589254117941661e-05,-3.396069508715947,-1.6314988712386258,-5.027568379954573
1.5848931924611175e-05,-3.3727394440100107,-1.654828935944562,-5.027568379954573
1.995262314968883e-05,-3.349409379304075,-1.6781590006504978,-5.027568379954573
2.5118864315095822e-05,-3.326079314598139,-1.7014890653564336,-5.027568379954573
3.1622776601683795e-05,-3.3027492498922033,-1.7248191300623694,-5.027568379954573
3.981071705534986e-05,-3.279419185186267,-1.7481491947683057,-5.027568379954573
5.011872336272735e-05,-3.2560891204803313,-1.7714792594742415,-5.027568379954573
6.309573444801943e-05,-3.2327590557743955,-1.7948093241801772,-5.027568379954573
7.943282347242822e-05,-3.2094289910684597,-1.818139388886113,-5.027568379954573
0.0001,-3.1860989263625235,-1.8414694535920488,-5.027568379954572
0.00012589254117941712,-3.1627688616565877,-1.8647995182979853,-5.027568379954573
0.00015848931924611174,-3.1394387969506514,-1.8881295830039213,-5.027568379954573
0.00019952623149688828,-3.116108732244716,-1.911459647709857,-5.027568379954573
0.0002511886431509582,-3.09277866753878,-1.934789712415793,-5.027568379954573
0.00031622776601683794,-3.069448602832844,-1.9581197771217287,-5.027568379954573
0.00039810717055349854,-3.046118538126908,-1.981449841827665,-5.027568379954573
0.0005011872336272735,-3.022788473420972,-2.0047799065336007,-5.027568379954573
0.0006309573444801943,-2.999458408715036,-2.0281099712395365,-5.027568379954573
0.0007943282347242822,-2.9761283440091004,-2.0514400359454723,-5.027568379954573
0.001,-2.9527982793031646,-2.074770100651408,-5.027568379954573
0.0012589254117941714,-2.9294682145972284,-2.0981001653573443,-5.027568379954573
0.0015848931924611173,-2.9061381498912926,-2.12143023006328,-5.027568379954573
0.001995262314968883,-2.882808085185357,-2.144760294769216,-5.027568379954573
0.002511886431509582,-2.859478020479421,-2.1680903594751517,-5.027568379954573
0.0031622776601683794,-2.8361479557734848,-2.1914204241810875,-5.027568379954572
0.0039810717055349856,-2.8128178910675485,-2.214750488887024,-5.027568379954573
0.005011872336272735,-2.789487826361613,-2.23808055359296,-5.027568379954573
0.006309573444801942,-2.766157761655677,-2.261410618298896,-5.027568379954573
0.00794328234724282,-2.742827696949741,-2.2847406830048316,-5.027568379954573
0.01,-2.7194976322438054,-2.3080707477107674,-5.027568379954573
0.012589254117941713,-2.696167567537869,-2.3314008124167036,-5.027568379954573
0.015848931924611172,-2.6728375028319333,-2.3547308771226394,-5.027568379954573
0.01995262314968883,-2.6495074381259975,-2.378060941828575,-5.027568379954573
0.025118864315095822,-2.6261773734200617,-2.401391006534511,-5.027568379954573
0.03162277660168379,-2.602847308714126,-2.424721071240447,-5.027568379954573
0.03981071705534985,-2.5795172440081897,-2.448051135946383,-5.027568379954573
0.05011872336272735,-2.556187179302254,-2.471381200652319,-5.027568379954573
0.06309573444801943,-2.532857114596318,-2.4947112653582546,-5.027568379954573
0.07943282347242822,-2.5095270498903823,-2.5180413300641904,-5.027568379954573
0.1,-2.4861969851844465,-2.5413713947701266,-5.027568379954573
0.12589254117941714,-2.4628669204785103,-2.564701459476063,-5.027568379954573
0.15848931924611173,-2.4395368557725745,-2.5880315241819987,-5.027568379954573
0.19952623149688828,-2.4162067910666387,-2.6113615888879345,-5.027568379954573
0.25118864315095824,-2.3928767263607025,-2.6346916535938703,-5.027568379954573
0.31622776601683794,-2.3695466616547667,-2.658021718299806,-5.027568379954573
0.39810717055349853,-2.3462165969488304,-2.6813517830057423,-5.027568379954573
0.5011872336272735,-2.3228865322428947,-2.704681847711678,-5.027568379954573
0.6309573444801942,-2.299556467536959,-2.728011912417614,-5.027568379954573
0.7943282347242822,-2.276226402831023,-2.7513419771235497,-5.027568379954573
1.0,-2.2528963381250873,-2.7746720418294855,-5.027568379954573
