n,Lambda_eV,mG_eV,muH_eV,muL_eV,cUV_hat,heavy_threshold_hat,cL_hat,ell,potential_hat,derivative_hat,normalized_error
128,1000000000000.0,1e-17,500000000000.0,0.008435087432860434,-2.4255762319317076,0.10244940103393688,-5.536348743766116,4.605170185988091,-5.37903898443851,-5.3537086885279255,1.1102230246251565e-16
128,1000000000000.0,1e-17,500000000000.0,0.025305262298581297,-2.4255762319317076,0.10244940103393688,-5.425036046314245,2.4079456086518722,-5.37903898443851,-5.3537086885279255,1.1102230246251565e-16
128,1000000000000.0,1e-17,500000000000.0,0.08435087432860433,-2.4255762319317076,0.10244940103393688,-5.303048096706757,2.2204460492503128e-16,-5.37903898443851,-5.3537086885279255,1.1102230246251565e-16
128,1000000000000.0,1e-17,500000000000.0,0.253052622985813,-2.4255762319317076,0.10244940103393688,-5.1917353992548865,-2.197224577336219,-5.379038984438511,-5.3537086885279255,0.0
128,1000000000000.0,1e-17,500000000000.0,0.8435087432860433,-2.4255762319317076,0.10244940103393688,-5.069747449647398,-4.605170185988091,-5.379038984438511,-5.353708688527926,2.220446049250313e-16
128,1000000000000.0,1e-17,500000000000.0,500000000000.0,-2.4255762319317076,0.10244940103393688,-2.323126830897771,-58.82128807985628,-5.379038984438511,-5.3537086885279255,0.0
128,1000000000000.0,1e-17,500000000000.0,1000000000000.0,-2.4255762319317076,0.10244940103393688,-2.252896338125088,-60.207582440976175,-5.379038984438511,-5.353708688527926,2.220446049250313e-16
128,1000000000000.0,1e-17,750000000000.0,0.008435087432860434,-2.3228707202337384,0.040826094015155384,-5.5363487437661165,4.605170185988091,-5.379038984438511,-5.353708688527926,2.220446049250313e-16
128,1000000000000.0,1e-17,750000000000.0,0.025305262298581297,-2.3228707202337384,0.040826094015155384,-5.425036046314245,2.4079456086518722,-5.37903898443851,-5.3537086885279255,1.1102230246251565e-16
128,1000000000000.0,1e-17,750000000000.0,0.08435087432860433,-2.3228707202337384,0.040826094015155384,-5.303048096706757,2.2204460492503128e-16,-5.37903898443851,-5.3537086885279255,1.1102230246251565e-16
128,1000000000000.0,1e-17,750000000000.0,0.253052622985813,-2.3228707202337384,0.040826094015155384,-5.1917353992548865,-2.197224577336219,-5.379038984438511,-5.3537086885279255,0.0
128,1000000000000.0,1e-17,750000000000.0,0.8435087432860433,-2.3228707202337384,0.040826094015155384,-5.069747449647398,-4.605170185988091,-5.379038984438511,-5.353708688527926,2.220446049250313e-16
128,1000000000000.0,1e-17,750000000000.0,500000000000.0,-2.3228707202337384,0.040826094015155384,-2.323126830897771,-58.82128807985628,-5.379038984438511,-5.3537086885279255,0.0
128,1000000000000.0,1e-17,750000000000.0,1000000000000.0,-2.3228707202337384,0.040826094015155384,-2.252896338125088,-60.207582440976175,-5.379038984438511,-5.353708688527926,2.220446049250313e-16
128,1000000000000.0,1e-17,1000000000000.0,0.008435087432860434,-2.2500000000000004,-0.002896338125087436,-5.536348743766116,4.605170185988091,-5.37903898443851,-5.3537086885279255,1.1102230246251565e-16
128,1000000000000.0,1e-17,1000000000000.0,0.025305262298581297,-2.2500000000000004,-0.002896338125087436,-5.425036046314245,2.4079456086518722,-5.37903898443851,-5.3537086885279255,1.1102230246251565e-16
128,1000000000000.0,1e-17,1000000000000.0,0.08435087432860433,-2.2500000000000004,-0.002896338125087436,-5.303048096706757,2.2204460492503128e-16,-5.37903898443851,-5.3537086885279255,1.1102230246251565e-16
128,1000000000000.0,1e-17,1000000000000.0,0.253052622985813,-2.2500000000000004,-0.002896338125087436,-5.1917353992548865,-2.197224577336219,-5.379038984438511,-5.3537086885279255,0.0
128,1000000000000.0,1e-17,1000000000000.0,0.8435087432860433,-2.2500000000000004,-0.002896338125087436,-5.069747449647398,-4.605170185988091,-5.379038984438511,-5.353708688527926,2.220446049250313e-16
128,1000000000000.0,1e-17,1000000000000.0,500000000000.0,-2.2500000000000004,-0.002896338125087436,-2.3231268308977704,-58.82128807985628,-5.37903898443851,-5.3537086885279255,1.1102230246251565e-16
128,1000000000000.0,1e-17,1000000000000.0,1000000000000.0,-2.2500000000000004,-0.002896338125087436,-2.2528963381250877,-60.207582440976175,-5.379038984438511,-5.3537086885279255,0.0
128,1000000000000.0,1e-17,1250000000000.0,0.008435087432860434,-2.1934770781467243,-0.036810091237053144,-5.536348743766116,4.605170185988091,-5.37903898443851,-5.3537086885279255,1.1102230246251565e-16
128,1000000000000.0,1e-17,1250000000000.0,0.025305262298581297,-2.1934770781467243,-0.036810091237053144,-5.425036046314245,2.4079456086518722,-5.37903898443851,-5.3537086885279255,1.1102230246251565e-16
128,1000000000000.0,1e-17,1250000000000.0,0.08435087432860433,-2.1934770781467243,-0.036810091237053144,-5.303048096706757,2.2204460492503128e-16,-5.37903898443851,-5.3537086885279255,1.1102230246251565e-16
128,1000000000000.0,1e-17,1250000000000.0,0.253052622985813,-2.1934770781467243,-0.036810091237053144,-5.1917353992548865,-2.197224577336219,-5.379038984438511,-5.3537086885279255,0.0
128,1000000000000.0,1e-17,1250000000000.0,0.8435087432860433,-2.1934770781467243,-0.036810091237053144,-5.069747449647398,-4.605170185988091,-5.379038984438511,-5.353708688527926,2.220446049250313e-16
128,1000000000000.0,1e-17,1250000000000.0,500000000000.0,-2.1934770781467243,-0.036810091237053144,-2.323126830897771,-58.82128807985628,-5.379038984438511,-5.3537086885279255,0.0
128,1000000000000.0,1e-17,1250000000000.0,1000000000000.0,-2.1934770781467243,-0.036810091237053144,-2.2528963381250877,-60.207582440976175,-5.379038984438511,-5.3537086885279255,0.0
128,1000000000000.0,1e-17,2000000000000.0,0.008435087432860434,-2.0744237680682933,-0.10824207728411175,-5.536348743766116,4.605170185988091,-5.37903898443851,-5.3537086885279255,1.1102230246251565e-16
128,1000000000000.0,1e-17,2000000000000.0,0.025305262298581297,-2.0744237680682933,-0.10824207728411175,-5.425036046314245,2.4079456086518722,-5.37903898443851,-5.3537086885279255,1.1102230246251565e-16
128,1000000000000.0,1e-17,2000000000000.0,0.08435087432860433,-2.0744237680682933,-0.10824207728411175,-5.303048096706757,2.2204460492503128e-16,-5.37903898443851,-5.3537086885279255,1.1102230246251565e-16
128,1000000000000.0,1e-17,2000000000000.0,0.253052622985813,-2.0744237680682933,-0.10824207728411175,-5.1917353992548865,-2.197224577336219,-5.379038984438511,-5.3537086885279255,0.0
128,1000000000000.0,1e-17,2000000000000.0,0.8435087432860433,-2.0744237680682933,-0.10824207728411175,-5.069747449647398,-4.605170185988091,-5.379038984438511,-5.353708688527926,2.220446049250313e-16
128,1000000000000.0,1e-17,2000000000000.0,500000000000.0,-2.0744237680682933,-0.10824207728411175,-2.323126830897771,-58.82128807985628,-5.379038984438511,-5.3537086885279255,0.0
128,1000000000000.0,1e-17,2000000000000.0,1000000000000.0,-2.0744237680682933,-0.10824207728411175,-2.2528963381250877,-60.207582440976175,-5.379038984438511,-5.3537086885279255,0.0
128,1000000000000.0,1e-15,500000000000.0,0.8435087432860433,-2.4255762319317076,0.10244940103393688,-5.069747449647398,4.605170185988092,-4.912437690319792,-4.887107394409208,2.220446049250313e-16
128,1000000000000.0,1e-15,500000000000.0,2.53052622985813,-2.4255762319317076,0.10244940103393688,-4.958434752195528,2.4079456086518722,-4.912437690319792,-4.887107394409208,2.220446049250313e-16
128,1000000000000.0,1e-15,500000000000.0,8.435087432860433,-2.4255762319317076,0.10244940103393688,-4.836446802588039,0.0,-4.912437690319792,-4.887107394409208,2.220446049250313e-16
128,1000000000000.0,1e-15,500000000000.0,25.305262298581297,-2.4255762319317076,0.10244940103393688,-4.725134105136169,-2.197224577336219,-4.912437690319793,-4.887107394409208,4.440892098500626e-16
128,1000000000000.0,1e-15,500000000000.0,84.35087432860433,-2.4255762319317076,0.10244940103393688,-4.6031461555286795,-4.605170185988091,-4.912437690319792,-4.887107394409208,2.220446049250313e-16
128,1000000000000.0,1e-15,500000000000.0,500000000000.0,-2.4255762319317076,0.10244940103393688,-2.323126830897771,-49.6109477078801,-4.912437690319792,-4.887107394409208,2.220446049250313e-16
128,1000000000000.0,1e-15,500000000000.0,1000000000000.0,-2.4255762319317076,0.10244940103393688,-2.252896338125088,-50.99724206899999,-4.912437690319792,-4.887107394409208,2.220446049250313e-16
128,1000000000000.0,1e-15,750000000000.0,0.8435087432860433,-2.3228707202337384,0.040826094015155384,-5.069747449647398,4.605170185988092,-4.912437690319792,-4.887107394409208,2.220446049250313e-16
128,1000000000000.0,1e-15,750000000000.0,2.53052622985813,-2.3228707202337384,0.040826094015155384,-4.958434752195528,2.4079456086518722,-4.912437690319792,-4.887107394409208,2.220446049250313e-16
128,1000000000000.0,1e-15,750000000000.0,8.435087432860433,-2.3228707202337384,0.040826094015155384,-4.836446802588039,0.0,-4.912437690319792,-4.887107394409208,2.220446049250313e-16
128,1000000000000.0,1e-15,750000000000.0,25.305262298581297,-2.3228707202337384,0.040826094015155384,-4.725134105136168,-2.197224577336219,-4.912437690319792,-4.887107394409207,2.220446049250313e-16
128,1000000000000.0,1e-15,750000000000.0,84.35087432860433,-2.3228707202337384,0.040826094015155384,-4.6031461555286795,-4.605170185988091,-4.912437690319792,-4.887107394409208,2.220446049250313e-16
128,1000000000000.0,1e-15,750000000000.0,500000000000.0,-2.3228707202337384,0.040826094015155384,-2.323126830897771,-49.6109477078801,-4.912437690319792,-4.887107394409208,2.220446049250313e-16
128,1000000000000.0,1e-15,750000000000.0,1000000000000.0,-2.3228707202337384,0.040826094015155384,-2.252896338125088,-50.99724206899999,-4.912437690319792,-4.887107394409208,2.220446049250313e-16
