phase,chi,U_eV4,tree_ratio,loop_ratio,total_ratio,scalar_log_parameter
zero,137.89823153325304,3.693252301981809e-14,1.344659891018104e-06,1.6599487978155768e-06,3.004608688833681e-06,3.6340372776770016e-23
zero,137.90061661330355,3.675676849395795e-14,1.3478708401621212e-06,1.6639126337320498e-06,3.011783473894171e-06,3.6340372776770016e-23
zero,137.90300154557727,3.6581861160802846e-14,1.351089257157399e-06,1.6678856885229799e-06,3.0189749456803787e-06,3.6340372776770016e-23
zero,137.90538632939862,3.640779693502851e-14,1.3543151579682467e-06,1.6718679818959042e-06,3.026183139864151e-06,3.6340372776770016e-23
zero,137.90777096408908,3.6234571751009975e-14,1.3575485585831651e-06,1.6758595335882256e-06,3.0334080921713905e-06,3.6340372776770016e-23
zero,137.91015544896695,3.606218156273802e-14,1.3607894750145931e-06,1.6798603633668965e-06,3.0406498383814896e-06,3.6340372776770016e-23
zero,137.91253978334763,3.5890622343705126e-14,1.3640379232992347e-06,1.6838704910288248e-06,3.0479084143280596e-06,3.6340372776770016e-23
zero,137.91492396654334,3.571989008683099e-14,1.3672939194976487e-06,1.6878899364003655e-06,3.055183855898014e-06,3.6340372776770016e-23
zero,137.91730799786328,3.55499808043577e-14,1.3705574796944165e-06,1.6919187193375304e-06,3.062476199031947e-06,3.6340372776770016e-23
zero,137.9196918766136,3.538089052775358e-14,1.3738286199981606e-06,1.6959568597260079e-06,3.0697854797241685e-06,3.6340372776770016e-23
zero,137.92207560209727,3.5212615307633714e-14,1.3771073565412466e-06,1.7000043774807978e-06,3.077111734022044e-06,3.6340372776770016e-23
zero,137.9244591736142,3.504515121365459e-14,1.3803937054799897e-06,1.7040612925464647e-06,3.0844549980264544e-06,3.6340372776770016e-23
zero,137.92684259046118,3.4878494334427356e-14,1.3836876829945147e-06,1.708127624896965e-06,3.0918153078914797e-06,3.6340372776770016e-23
