link,u,light_weight,heavy_diagonal
0,2.39896763795083577592918536348139271689575716046472487678791e-61,5.75504572793541227901588725431874155531320798493769532883101e-122,1.0
1,-7.19690291385250732778755609044417815068727148139417463036374e-61,5.17954115514187105111429852888686739978188718644392579594791e-121,1.0
2,-2.15907087415575219833626682713325344520618144441825238910912e-60,4.66158703962768394600286867599818065980369846779953321635312e-120,1.0
3,-6.47721262246725659500880048139976033561854433325475716732737e-60,4.19542833566491555140258180839836259382332862101957989471781e-119,1.0
4,-1.94316378674017697850264014441992810068556329997642715019821e-59,3.77588550209842399626232362755852633444099575891762190524603e-118,1.0
5,-5.82949136022053093550792043325978430205668989992928145059463e-59,3.39829695188858159663609126480267370099689618302585971472142e-117,1.0
6,-1.74884740806615928065237612997793529061700696997878443517839e-58,3.05846725669972343697248213832240633089720656472327374324928e-116,1.0
7,-5.24654222419847784195712838993380587185102090993635330553517e-58,2.75262053102975109327523392449016569780748590825094636892435e-115,1.0
8,-1.57396266725954335258713851698014176155530627298090599166055e-57,2.47735847792677598394771053204114912802673731742585173203192e-114,1.0
9,-4.72188800177863005776141555094042528466591881894271797498165e-57,2.22962263013409838555293947883703421522406358568326655882873e-113,1.0
10,-1.4165664005335890173284246652821275853997756456828153924945e-56,2.00666036712068854699764553095333079370165722711493990294585e-112,1.0
11,-4.24969920160076705198527399584638275619932693704844617748349e-56,1.80599433040861969229788097785799771433149150440344591265127e-111,1.0
12,-1.27490976048023011559558219875391482685979808111453385324505e-55,1.62539489736775772306809288007219794289834235396310132138614e-110,1.0
13,-3.82472928144069034678674659626174448057939424334360155973514e-55,1.46285540763098195076128359206497814860850811856679118924753e-109,1.0
14,-1.14741878443220710403602397887852334417381827300308046792054e-54,1.31656986686788375568515523285848033374765730671011207032277e-108,1.0
15,-3.44225635329662131210807193663557003252145481900924140376162e-54,1.1849128801810953801166397095726323003728915760391008632905e-107,1.0
16,-1.03267690598898639363242158099067100975643644570277242112849e-53,1.06642159216298584210497573861536907033560241843519077696145e-106,1.0
17,-3.09803071796695918089726474297201302926930933710831726338546e-53,9.59779432946687257894478164753832163302042176591671699265303e-106,1.0
18,-9.29409215390087754269179422891603908780792801132495179015639e-53,8.63801489652018532105030348278448946971837958932504529338773e-105,1.0
19,-2.78822764617026326280753826867481172634237840339748553704692e-52,7.77421340686816678894527313450604052274654163039254076404895e-104,1.0
20,-8.36468293851078978842261480602443517902713521019245661114075e-52,6.99679206618135011005074582105543647047188746735328668764406e-103,1.0
21,-2.50940488155323693652678444180733055370814056305773698334222e-51,6.29711285956321509904567123894989282342469872061795801887965e-102,1.0
22,-7.52821464465971080958035332542199166112442168917321095002667e-51,5.66740157360689358914110411505490354108222884855616221699169e-101,1.0
23,-2.258464393397913242874105997626597498337326506751963285008e-50,5.10066141624620423022699370354941318697400596370054599529252e-100,1.0
24,-6.77539318019373972862231799287979249501197952025588985502401e-50,4.59059527462158380720429433319447186827660536733049139576327e-99,1.0
25,-2.0326179540581219185866953978639377485035938560767669565072e-49,4.13153574715942542648386489987502468144894483059744225618694e-98,1.0
26,-6.09785386217436575576008619359181324551078156823030086952161e-49,3.71838217244348288383547840988752221330405034753769803056825e-97,1.0
27,-1.82935615865230972672802585807754397365323447046909026085648e-48,3.34654395519913459545193056889876999197364531278392822751142e-96,1.0
28,-5.48806847595692918018407757423263192095970341140727078256945e-48,3.01188955967922113590673751200889299277628078150553540476028e-95,1.0
29,-1.64642054278707875405522327226978957628791102342218123477083e-47,2.71070060371129902231606376080800369349865270335498186428425e-94,1.0
30,-4.9392616283612362621656698168093687288637330702665437043125e-47,2.43963054334016912008445738472720332414878743301948367785583e-93,1.0
31,-1.48177848850837087864970094504281061865911992107996311129375e-46,2.19566748900615220807601164625448299173390868971753531007024e-92,1.0
32,-4.44533546552511263594910283512843185597735976323988933388125e-46,1.97610074010553698726841048162903469256051782074578177906322e-91,1.0
33,-1.33360063965753379078473085053852955679320792897196680016438e-45,1.7784906660949832885415694334661312233044660386712036011569e-90,1.0
34,-4.00080191897260137235419255161558867037962378691590040049313e-45,1.60064159948548495968741249011951810097401943480408324104121e-89,1.0
35,-1.20024057569178041170625776548467660111388713607477012014794e-44,1.44057743953693646371867124110756629087661749132367491693709e-88,1.0
36,-3.60072172707534123511877329645402980334166140822431036044381e-44,1.29651969558324281734680411699680966178895574219130742524338e-87,1.0
37,-1.08021651812260237053563198893620894100249842246729310813314e-43,1.16686772602491853561212370529712869561006016797217668271904e-86,1.0
38,-3.24064955436780711160689596680862682300749526740187932439943e-43,1.05018095342242668205091133476741582604905415117495901444714e-85,1.0
