q,n,u_left,u_right,tau,right_light_weight,right_heavy_weight,betaI_times_Lambda,betaX_times_Lambda
2,2,0.21821789023599238126609748541561945185640269413180818583844,-0.87287156094396952506438994166247780742561077652723274335376,0.4,0.761904761904761904761904761904761904761904761904761904761905,0.238095238095238095238095238095238095238095238095238095238095,0.447213595499957939281834733746255247088123671922305144854179,-3.57770876399966351425467786997004197670498937537844115883344
2,4,0.0541530361073882342451676752223820760407424089884466070357639,-0.866448577718211747922682803558113216651878543815145712572223,0.0941176470588235294117647058823529411764705882352941176470588,0.750733137829912023460410557184750733137829912023460410557185,0.249266862170087976539589442815249266862170087976539589442815,0.108465228909328086000026756256032860673491824102617223623621,-3.47088732509849875200085620019305154155173837128375115595586
2,8,0.0033829181859434938438566090536732589665058916445063565111214,-0.86602705560153442402729191774035429542550826099362726684708,0.00585946440833142595559624628061341268024719615472648203250172,0.750002861033863196804797381581808402284249436376328950229455,0.249997138966136803195202618418191597715750563623671049770545,0.00676587508679322761246928997929984518199098596414499052397829,-3.46412804443813253758427646940152073317938481364223514827689
2,16,0.0000132144989594977310682341025992238154247129354204495141491029,-0.866025403809643303287790147942731967673986935714579359275605,0.0000228881835990790705194415223131518630108683982423665929218676,0.750000000043655745687641654261832687436942516793318937811612,0.249999999956344254312358345738167312563057483206681062188388,0.0000264289979213030173606321721319056704950225337332004435270055,-3.46410161554102909149278006567314004312359354147804853397166
2,32,0.000000000201637252183733192917330094416219091988105171505844934142548,-0.866025403784438646769591587154253212059727332626075064989519,0.000000000349245965480804443378307661725304283330907827215462272640331,0.750000000000000000010164395367051604068957623252392690361959,0.249999999999999999989835604632948395931042376747607309638041,0.000000000403274504367466385842858271840123598382536897734974993067487,-3.46410161513775458714878734543281719130166894657002814120536
2,64,4.69473312105362287061204545312261960749779132315077981806481e-20,-0.866025403784438646763723170752936183471720754395758188439875,8.13151629364128325505589600652456283571725575366698678415543e-20,0.75000000000000000000000000000000000000055101297694794726936,0.24999999999999999999999999999999999999944898702305205273064,9.3894662421072457412240909062452392150059300817935911738736e-20,-3.46410161513775458705489268301174473389070054746984724670315
2,127,5.09003984908599059153963621617295732862437960941894722120278e-39,-0.866025403784438646763723170752936183471402626905190314027903,8.81620763116715630976552402916684258363999167579065641131564e-39,0.75,0.25,1.01800796981719811830792724323459146572487592188378944424056e-38,-3.46410161513775458705489268301174473388561050762076125611161
2,128,2.54501992454299529576981810808647866431218980470947361060139e-39,-0.866025403784438646763723170752936183471402626905190314027903,4.40810381558357815488276201458342129181999583789532820565782e-39,0.75,0.25,5.09003984908599059153963621617295732862437960941894722120278e-39,-3.46410161513775458705489268301174473388561050762076125611161
3,2,0.104828483672191829577211163299255663764244332445114918011885,-0.943456353049726466194900469693300973878198992006034262106963,0.3,0.89010989010989010989010989010989010989010989010989010989011,0.10989010989010989010989010989010989010989010989010989010989,0.210818510677891955466592902962181235581303675955014455123834,-5.69209978830308279759800837997889336069519925078539028834351
3,4,0.0116397163575359976067507045242311496476427796373301986589825,-0.942817024960415806146807066462723121459065150623746091377581,0.0329268292682926829268292682926829268292682926829268292682927,0.888903942555209321230185611705730930768188592331662376371765,0.111096057444790678769814388294269069231811407668337623628235,0.0232810098589859400885196767984288488354420235820440360292038,-5.65728539573358344151028146201821026701241173043670075509653
3,8,0.000143698985337424300257396694691177371020697155014904165539007,-0.942809042798840833988779713868814731266794034052786230101423,0.00040644211684421019766430520141836590569502159514127905680154,0.888888891183266487445031559611271771460883607167414439888889,0.111111108816733512554968440388728228539116392832585560111111,0.000287397973642146242510382132405056998231756641746329993878298,-5.65685431519836449133185151212873689619566597949301326950653
3,16,0.0000000219019943837781138808280049630844028756240795941346311597987,-0.942809041582063394134230378632509590038587455170506703973759,0.0000000619481950011167657986944145597404305783152706894135142665429,0.888888888888888942188595331894226931562672599186516331478955,0.111111111111111057811404668105773068437327400813483668521045,0.0000000438039887675562382679848504716981695380479351168415268870682,-5.65685424949238172159440127144572850094514504280233882736487
3,32,0.000000000000000508795882124868772796479723252078544559745707651462293702026,-0.94280904158206336586779248280648063996564020790082404130217,0.00000000000000143909207396114404086110893777066361230391974260264540673384,0.888888888888888888888888888888917652583296358150977119691666,0.111111111111111111111111111111082347416703641849022880308334,0.00000000000000101759176424973754559295944650428880276291438160324900526583,-5.65685424949238019520675489683961604391507121458215988866341
3,64,2.74576545461237691455865318896684650336233154428334178021529e-31,-0.942809041582063365867792482806465385713114583584632048784453,7.76619749001670076382231674982014761411001452907331952276377e-31,0.888888888888888888888888888888888888888888888888888888888889,0.111111111111111111111111111111111111111111111111111111111111,5.49153090922475382911730637793369300672466308856668356043057e-31,-5.65685424949238019520675489683879231427868750150779229270672
