kappa,r,hidden_metric,t,V_hat,dV_hat_dr,V_over_S
0,0.0,1.0,0.0,0.0,0.0,undefined_zero_source
0,0.05,1.04714045207910316829338962414032326928565572917923160243922,0.0,0.0,0.0,undefined_zero_source
0,0.1,1.09428090415820633658677924828064653857131145835846320487845,0.0,0.0,0.0,undefined_zero_source
0,0.15,1.14142135623730950488016887242096980785696718753769480731767,0.0,0.0,0.0,undefined_zero_source
0,0.2,1.18856180831641267317355849656129307714262291671692640975689,0.0,0.0,0.0,undefined_zero_source
0,0.25,1.23570226039551584146694812070161634642827864589615801219611,0.0,0.0,0.0,undefined_zero_source
0,0.3,1.28284271247461900976033774484193961571393437507538961463534,0.0,0.0,0.0,undefined_zero_source
0,0.35,1.32998316455372217805372736898226288499959010425462121707456,0.0,0.0,0.0,undefined_zero_source
0,0.4,1.37712361663282534634711699312258615428524583343385281951378,0.0,0.0,0.0,undefined_zero_source
0,0.45,1.424264068711928514640506617262909423570901562613084421953,0.0,0.0,0.0,undefined_zero_source
0,0.5,1.47140452079103168293389624140323269285655729179231602439223,0.0,0.0,0.0,undefined_zero_source
0,0.55,1.51854497287013485122728586554355596214221302097154762683145,0.0,0.0,0.0,undefined_zero_source
0,0.6,1.56568542494923801952067548968387923142786875015077922927067,0.0,0.0,0.0,undefined_zero_source
0,0.65,1.61282587702834118781406511382420250071352447933001083170989,0.0,0.0,0.0,undefined_zero_source
0,0.7,1.65996632910744435610745473796452576999918020850924243414912,0.0,0.0,0.0,undefined_zero_source
0,0.75,1.70710678118654752440084436210484903928483593768847403658834,0.0,0.0,0.0,undefined_zero_source
0,0.8,1.75424723326565069269423398624517230857049166686770563902756,0.0,0.0,0.0,undefined_zero_source
0,0.85,1.80138768534475386098762361038549557785614739604693724146679,0.0,0.0,0.0,undefined_zero_source
0,0.9,1.84852813742385702928101323452581884714180312522616884390601,0.0,0.0,0.0,undefined_zero_source
0,0.95,1.89566858950296019757440285866614211642745885440540044634523,0.0,0.0,0.0,undefined_zero_source
0,1.0,1.94280904158206336586779248280646538571311458358463204878445,0.0,0.0,0.0,undefined_zero_source
0,1.05,1.98994949366116653416118210694678865499877031276386365122368,0.0,0.0,0.0,undefined_zero_source
0,1.1,2.0370899457402697024545717310871119242844260419430952536629,0.0,0.0,0.0,undefined_zero_source
0,1.15,2.08423039781937287074796135522743519357008177112232685610212,0.0,0.0,0.0,undefined_zero_source
0,1.2,2.13137084989847603904135097936775846285573750030155845854134,0.0,0.0,0.0,undefined_zero_source
0,1.25,2.17851130197757920733474060350808173214139322948079006098057,0.0,0.0,0.0,undefined_zero_source
0,1.3,2.22565175405668237562813022764840500142704895866002166341979,0.0,0.0,0.0,undefined_zero_source
0,1.35,2.27279220613578554392151985178872827071270468783925326585901,0.0,0.0,0.0,undefined_zero_source
0,1.4,2.31993265821488871221490947592905153999836041701848486829823,0.0,0.0,0.0,undefined_zero_source
0,1.45,2.36707311029399188050829910006937480928401614619771647073746,0.0,0.0,0.0,undefined_zero_source
0,1.5,2.41421356237309504880168872420969807856967187537694807317668,0.0,0.0,0.0,undefined_zero_source
0,1.55,2.4613540144521982170950783483500213478553276045561796756159,0.0,0.0,0.0,undefined_zero_source
0,1.6,2.50849446653130138538846797249034461714098333373541127805513,0.0,0.0,0.0,undefined_zero_source
0,1.65,2.55563491861040455368185759663066788642663906291464288049435,0.0,0.0,0.0,undefined_zero_source
0,1.7,2.60277537068950772197524722077099115571229479209387448293357,0.0,0.0,0.0,undefined_zero_source
0,1.75,2.64991582276861089026863684491131442499795052127310608537279,0.0,0.0,0.0,undefined_zero_source
0,1.8,2.69705627484771405856202646905163769428360625045233768781202,0.0,0.0,0.0,undefined_zero_source
0,1.85,2.74419672692681722685541609319196096356926197963156929025124,0.0,0.0,0.0,undefined_zero_source
0,1.9,2.79133717900592039514880571733228423285491770881080089269046,0.0,0.0,0.0,undefined_zero_source
0,1.95,2.83847763108502356344219534147260750214057343799003249512968,0.0,0.0,0.0,undefined_zero_source
0,2.0,2.88561808316412673173558496561293077142622916716926409756891,0.0,0.0,0.0,undefined_zero_source
0,2.05,2.93275853524322990002897458975325404071188489634849570000813,0.0,0.0,0.0,undefined_zero_source
0,2.1,2.97989898732233306832236421389357730999754062552772730244735,0.0,0.0,0.0,undefined_zero_source
0,2.15,3.02703943940143623661575383803390057928319635470695890488657,0.0,0.0,0.0,undefined_zero_source
0,2.2,3.0741798914805394049091434621742238485688520838861905073258,0.0,0.0,0.0,undefined_zero_source
0,2.25,3.12132034355964257320253308631454711785450781306542210976502,0.0,0.0,0.0,undefined_zero_source
0,2.3,3.16846079563874574149592271045487038714016354224465371220424,0.0,0.0,0.0,undefined_zero_source
0,2.35,3.21560124771784890978931233459519365642581927142388531464346,0.0,0.0,0.0,undefined_zero_source
0,2.4,3.26274169979695207808270195873551692571147500060311691708269,0.0,0.0,0.0,undefined_zero_source
