design,true_s,d_injected,D0_injected_per_year,bias_d,bias_in_standard_errors,empirical_standardized_sd,coverage95,coverage_mc_se,fixed_s2_detection,fixed_s2_analytic_power,detection_mc_se,scan_detection,aic_constant,aic_s1,aic_s2,aic_s3,forced_s1,forced_s2,forced_s3,shape_gap_at_least_2,true_shape_wins_with_gap_2
king_only,0,0.0,0.0,-0.9000286601140511,-0.001767797430970151,1.0106855412270417,0.94805,0.0015692545602928806,0.05195,0.050000000000000024,0.00156925456029288,0.0521,0.8392,0.08145,0.00015,0.0792,0.5018,0.00065,0.49755,0.0,0.0
king_only,1,-12.5,-1.2499999999999999e-18,-0.9068752472592357,-0.0017727526236223316,1.0106898335621417,0.94825,0.0015663961424237478,0.05235,0.05006839663610553,0.0015749520230787983,0.0524,0.83955,0.0817,0.00015,0.0786,0.5011,0.00065,0.49825,0.0,0.0
king_only,1,-5.0,-5e-19,-0.9068752472592371,-0.0017727526236223342,1.0106898335621417,0.94825,0.0015663961424237478,0.05195,0.05001094307702137,0.00156925456029288,0.05205,0.8392,0.08165,0.00015,0.079,0.50115,0.00065,0.4982,0.0,0.0
king_only,1,-2.5,-2.5e-19,-0.906875247259235,-0.00177275262362233,1.0106898335621417,0.94825,0.0015663961424237478,0.0521,0.05000273575551141,0.0015713941262458632,0.05215,0.8391,0.08165,0.00015,0.0791,0.5022,0.00065,0.49715,0.0,0.0
king_only,1,2.5,2.5e-19,-0.9068752472592337,-0.0017727526236223277,1.0106898335621417,0.94825,0.0015663961424237478,0.05165,0.05000273575551141,0.0015649644964023945,0.05185,0.8391,0.0814,0.00015,0.07935,0.50115,0.00065,0.4982,0.0,0.0
king_only,1,5.0,5e-19,-0.9068752472592323,-0.0017727526236223248,1.0106898335621417,0.94825,0.0015663961424237478,0.05155,0.05001094307702137,0.0015635312197074928,0.05165,0.83895,0.0816,0.00015,0.0793,0.50135,0.0006,0.49805,0.0,0.0
king_only,1,12.5,1.2499999999999999e-18,-0.9068752472592326,-0.0017727526236223255,1.0106898335621417,0.94825,0.0015663961424237478,0.05145,0.05006839663610553,0.0015620963078504476,0.0517,0.83885,0.08185,0.00015,0.07915,0.50095,0.0006,0.49845,0.0,0.0
king_only,2,-12.5,-1.2499999999999999e-18,-0.9000286601140697,-0.0017677974309701875,1.0106855412270417,0.94805,0.0015692545602928806,0.0524,0.05006905365495571,0.001575662400389119,0.0524,0.83955,0.0817,0.00015,0.0786,0.50115,0.0006,0.49825,0.0,0.0
king_only,2,-5.0,-5e-19,-0.9000286601140511,-0.001767797430970151,1.0106855412270417,0.94805,0.0015692545602928806,0.05195,0.05001104819261118,0.00156925456029288,0.05205,0.8392,0.08165,0.00015,0.079,0.5012,0.0006,0.4982,0.0,0.0
king_only,2,-2.5,-2.5e-19,-0.9000286601140511,-0.001767797430970151,1.0106855412270417,0.94805,0.0015692545602928806,0.0521,0.050002762034143555,0.0015713941262458632,0.05215,0.8391,0.08165,0.00015,0.0791,0.5022,0.00065,0.49715,0.0,0.0
king_only,2,2.5,2.5e-19,-0.9000286601140511,-0.001767797430970151,1.0106855412270417,0.94805,0.0015692545602928806,0.05165,0.050002762034143555,0.0015649644964023945,0.05185,0.83905,0.0814,0.00015,0.0794,0.50115,0.00065,0.4982,0.0,0.0
king_only,2,5.0,5e-19,-0.9000286601140508,-0.0017677974309701504,1.0106855412270417,0.94805,0.0015692545602928806,0.05155,0.05001104819261118,0.0015635312197074928,0.0517,0.839,0.08155,0.00015,0.0793,0.5013,0.00065,0.49805,0.0,0.0
king_only,2,12.5,1.2499999999999999e-18,-0.9000286601140346,-0.0017677974309701185,1.0106855412270417,0.94805,0.0015692545602928806,0.05145,0.05006905365495571,0.0015620963078504476,0.0517,0.8388,0.08185,0.00015,0.0792,0.50095,0.00065,0.4984,0.0,0.0
king_only,3,-12.5,-1.2499999999999999e-18,-0.8931974262159319,-0.001762803538963302,1.0106811898489054,0.94805,0.0015692545602928806,0.0524,0.05006971830413248,0.001575662400389119,0.0524,0.83955,0.08165,0.00015,0.07865,0.5011,0.0006,0.4983,0.0,0.0
king_only,3,-5.0,-5e-19,-0.8931974262159326,-0.0017628035389633033,1.0106811898489054,0.94805,0.0015692545602928806,0.05195,0.0500111545288948,0.00156925456029288,0.05205,0.83915,0.0817,0.00015,0.079,0.5012,0.0006,0.4982,0.0,0.0
king_only,3,-2.5,-2.5e-19,-0.893197426215933,-0.0017628035389633042,1.0106811898489054,0.94805,0.0015692545602928806,0.0521,0.050002788617943494,0.0015713941262458632,0.05215,0.8391,0.08165,0.00015,0.0791,0.5022,0.0006,0.4972,0.0,0.0
king_only,3,2.5,2.5e-19,-0.8931974262159326,-0.0017628035389633033,1.0106811898489054,0.94805,0.0015692545602928806,0.05165,0.050002788617943494,0.0015649644964023945,0.05185,0.83905,0.0814,0.00015,0.0794,0.5012,0.00065,0.49815,0.0,0.0
king_only,3,5.0,5e-19,-0.8931974262159326,-0.0017628035389633033,1.0106811898489054,0.94805,0.0015692545602928806,0.05155,0.0500111545288948,0.0015635312197074928,0.0517,0.839,0.08155,0.00015,0.0793,0.5013,0.00065,0.49805,0.0,0.0
king_only,3,12.5,1.2499999999999999e-18,-0.8931974262159333,-0.0017628035389633048,1.0106811898489054,0.94805,0.0015692545602928806,0.05145,0.05006971830413248,0.0015620963078504476,0.05175,0.83885,0.08185,0.00015,0.07915,0.50105,0.00065,0.4983,0.0,0.0
king_only_offsets,0,0.0,0.0,5.276740685916046,0.0028637054626981418,0.9925420511753116,0.95105,0.0015256784966040527,0.04895,0.050000000000000024,0.0015256784966040519,0.04995,0.8453,0.0775,0.0001,0.0771,0.50175,0.00105,0.4972,0.0,0.0
king_only_offsets,1,-12.5,-1.2499999999999999e-18,5.320162515021596,0.002862764725866271,0.9925462792729398,0.9511,0.0015249391791150237,0.0491,0.050005182484404456,0.0015278938117552542,0.05,0.8454,0.07725,0.0001,0.07725,0.5018,0.00105,0.49715,0.0,0.0
king_only_offsets,1,-5.0,-5e-19,5.320162515021596,0.002862764725866271,0.9925462792729398,0.9511,0.0015249391791150237,0.0489,0.05000082919529511,0.0015249391791150228,0.05005,0.8452,0.0775,0.0001,0.0772,0.50175,0.00105,0.4972,0.0,0.0
king_only_offsets,1,-2.5,-2.5e-19,5.320162515021596,0.002862764725866271,0.9925462792729398,0.9511,0.0015249391791150237,0.04885,0.05000020729874488,0.001524199421007632,0.05005,0.8452,0.07755,0.0001,0.07715,0.5018,0.00105,0.49715,0.0,0.0
king_only_offsets,1,2.5,2.5e-19,5.320162515021596,0.002862764725866271,0.9925462792729398,0.9511,0.0015249391791150237,0.04895,0.05000020729874488,0.0015256784966040519,0.04985,0.84525,0.07745,0.0001,0.0772,0.5017,0.00105,0.49725,0.0,0.0
king_only_offsets,1,5.0,5e-19,5.320162515021596,0.002862764725866271,0.9925462792729398,0.9511,0.0015249391791150237,0.04895,0.05000082919529511,0.0015256784966040519,0.04975,0.84515,0.07755,5e-05,0.07725,0.5017,0.001,0.4973,0.0,0.0
king_only_offsets,1,12.5,1.2499999999999999e-18,5.320162515021596,0.002862764725866271,0.9925462792729398,0.9511,0.0015249391791150237,0.0485,0.050005182484404456,0.001519008722818931,0.0497,0.84515,0.0776,5e-05,0.0772,0.5017,0.001,0.4973,0.0,0.0
king_only_offsets,2,-12.5,-1.2499999999999999e-18,5.276740685916045,0.002863705462698141,0.9925420511753116,0.95105,0.0015256784966040527,0.0491,0.05000527160172717,0.0015278938117552542,0.05,0.8454,0.07725,0.0001,0.07725,0.50185,0.001,0.49715,0.0,0.0
king_only_offsets,2,-5.0,-5e-19,5.276740685916046,0.0028637054626981418,0.9925420511753116,0.95105,0.0015256784966040527,0.0489,0.0500008434539901,0.0015249391791150228,0.05005,0.8452,0.0775,0.0001,0.0772,0.50175,0.001,0.49725,0.0,0.0
king_only_offsets,2,-2.5,-2.5e-19,5.276740685916045,0.002863705462698141,0.9925420511753116,0.95105,0.0015256784966040527,0.04885,0.0500002108634159,0.001524199421007632,0.05005,0.8452,0.07755,0.0001,0.07715,0.5018,0.00105,0.49715,0.0,0.0
king_only_offsets,2,2.5,2.5e-19,5.276740685916046,0.0028637054626981418,0.9925420511753116,0.95105,0.0015256784966040527,0.04895,0.0500002108634159,0.0015256784966040519,0.04985,0.84525,0.07745,0.0001,0.0772,0.5017,0.00105,0.49725,0.0,0.0
king_only_offsets,2,5.0,5e-19,5.276740685916045,0.002863705462698141,0.9925420511753116,0.95105,0.0015256784966040527,0.04895,0.0500008434539901,0.0015256784966040519,0.04975,0.84515,0.07755,5e-05,0.07725,0.50165,0.00105,0.4973,0.0,0.0
king_only_offsets,2,12.5,1.2499999999999999e-18,5.276740685916046,0.0028637054626981418,0.9925420511753116,0.95105,0.0015256784966040527,0.0485,0.05000527160172717,0.001519008722818931,0.0497,0.8452,0.07755,5e-05,0.0772,0.50165,0.00105,0.4973,0.0,0.0
king_only_offsets,3,-12.5,-1.2499999999999999e-18,5.233648805719507,0.0028646526437071215,0.9925378316518961,0.95105,0.0015256784966040527,0.0491,0.050005362302607284,0.0015278938117552542,0.05,0.8455,0.07725,0.0001,0.07715,0.5018,0.001,0.4972,0.0,0.0
king_only_offsets,3,-5.0,-5e-19,5.233648805719519,0.0028646526437071285,0.9925378316518961,0.95105,0.0015256784966040527,0.0489,0.050000857966051575,0.0015249391791150228,0.05005,0.84525,0.07745,0.0001,0.0772,0.50175,0.001,0.49725,0.0,0.0
king_only_offsets,3,-2.5,-2.5e-19,5.233648805719498,0.0028646526437071168,0.9925378316518961,0.95105,0.0015256784966040527,0.04885,0.050000214491428434,0.001524199421007632,0.05005,0.8452,0.07755,0.0001,0.07715,0.50185,0.001,0.49715,0.0,0.0
king_only_offsets,3,2.5,2.5e-19,5.23364880571948,0.0028646526437071072,0.9925378316518961,0.95105,0.0015256784966040527,0.04895,0.050000214491428434,0.0015256784966040519,0.04985,0.84525,0.07745,0.0001,0.0772,0.5017,0.00105,0.49725,0.0,0.0
king_only_offsets,3,5.0,5e-19,5.233648805719459,0.0028646526437070955,0.9925378316518961,0.95105,0.0015256784966040527,0.04895,0.050000857966051575,0.0015256784966040519,0.04975,0.84515,0.07755,5e-05,0.07725,0.50165,0.00105,0.4973,0.0,0.0
king_only_offsets,3,12.5,1.2499999999999999e-18,5.23364880571947,0.0028646526437071016,0.9925378316518961,0.95105,0.0015256784966040527,0.0485,0.050005362302607284,0.001519008722818931,0.0497,0.8452,0.07755,5e-05,0.0772,0.5017,0.001,0.4973,0.0,0.0
king_clock,0,0.0,0.0,-0.007750326298505254,-0.003100167894272977,1.0029967478359811,0.94955,0.0015476562522084806,0.05045,0.050000000000000024,0.0015476562522084806,0.05015,0.8424,0.0778,0.0,0.0798,0.49685,0.0001,0.50305,0.0,0.0
king_clock,1,-12.5,-1.2499999999999999e-18,-0.0077500106888245155,-0.003100041293354866,1.0029967259776034,0.94955,0.0015476562522084806,0.99855,0.9988174851496994,0.00026906295731668,0.9985,0.00025,0.4995,0.00025,0.5,0.4995,0.00025,0.50025,0.0,0.0
king_clock,1,-5.0,-5e-19,-0.007750010688824515,-0.0031000412933548656,1.0029967259776034,0.94955,0.0015476562522084806,0.5193,0.5160147900718116,0.0035328990220497387,0.51725,0.27915,0.35995,5e-05,0.36085,0.4971,0.0002,0.5027,0.0,0.0
king_clock,1,-2.5,-2.5e-19,-0.007750010688824491,-0.0031000412933548565,1.0029967259776034,0.94955,0.0015476562522084806,0.17035,0.17007799111563376,0.002658297175825156,0.16915,0.6495,0.1744,5e-05,0.17605,0.49955,0.00015,0.5003,0.0,0.0
king_clock,1,2.5,2.5e-19,-0.007750010688824529,-0.0031000412933548716,1.0029967259776034,0.94955,0.0015476562522084806,0.1705,0.17007799111563376,0.002659226861326427,0.16975,0.655,0.1724,5e-05,0.17255,0.5006,0.0002,0.4992,0.0,0.0
