design,true_s,fit_s,residual_angle_sine,delta_chi2_at_d2p5,delta_chi2_at_d12p5,best_fitted_d_at_d2p5
king_only,1,2,0.0011868236948301167,3.3639815971884e-11,8.409953992970999e-10,2.488078807622246
king_only,1,3,0.0023771820577329164,1.3496031458075746e-10,3.3740078645189365e-09,2.4761840362774814
king_only,2,1,0.001186823694830122,3.396289892893093e-11,8.490724732232732e-10,2.5119747724278643
king_only,2,3,0.0011903609705058132,3.416565046988688e-11,8.541412617471721e-10,2.4880517519397167
king_only,3,1,0.0023771820577329177,1.375681212437329e-10,3.439203031093322e-09,2.524030762543766
king_only,3,2,0.0011903609705057928,3.449453353949069e-11,8.623633384872673e-10,2.5120020671323164
king_only_offsets,1,2,0.0014311178070783239,3.7064001551871e-12,9.26600038796775e-11,2.478778534570861
king_only_offsets,1,3,0.002862275526921255,1.4826014098122903e-11,3.7065035245307257e-10,2.4577154305253806
king_only_offsets,2,1,0.0014311178070783347,3.770126999309242e-12,9.425317498273106e-11,2.521397983813192
king_only_offsets,2,3,0.0014311622534204798,3.7703611812274676e-12,9.425902953068669e-11,2.4787616461660282
king_only_offsets,3,1,0.0028622755269212563,1.5340435032544637e-11,3.835108758136159e-10,2.5429912342542886
king_only_offsets,3,2,0.0014311622534204872,3.835240013792387e-12,9.588100034480967e-11,2.521415162388974
king_clock,1,2,2.4122172391073242e-05,5.818930976397283e-10,1.4547327440993208e-08,2.4999997125637354
king_clock,1,3,4.841614109986737e-05,2.3441787026946187e-09,5.8604467567365465e-08,2.4999994202369855
king_clock,2,1,2.4122172391072914e-05,5.818932311068866e-10,1.4547330777672166e-08,2.5000002859815997
king_clock,2,3,2.4293980906890807e-05,5.902117391172353e-10,1.4755293477930882e-08,2.4999997091382737
king_clock,3,1,4.8416141099867486e-05,2.344179784454452e-09,5.8604494611361295e-08,2.5000005739028412
king_clock,3,2,2.4293980906890543e-05,5.90211876104909e-10,1.4755296902622726e-08,2.500000289386266
king_clock_offsets,1,2,1.1676743666596678e-05,1.3634658939851146e-10,3.4086647349627866e-09,2.4999999609357237
king_clock_offsets,1,3,2.3462642658185033e-05,5.504965967259829e-10,1.3762414918149573e-08,2.4999999208235724
king_clock_offsets,2,1,1.167674366659665e-05,1.3634659364094518e-10,3.4086648410236295e-09,2.5000000387234107
king_clock_offsets,2,3,1.1785904353659245e-05,1.3890779713378372e-10,3.472694928344593e-09,2.4999999602319
king_clock_offsets,3,1,2.3462642658185054e-05,5.504966312920227e-10,1.3762415782300568e-08,2.5000000778001907
king_clock_offsets,3,2,1.1785904353659321e-05,1.3890780153376963e-10,3.4726950383442405e-09,2.5000000394208315
espresso_clock,1,2,8.452711135845499e-06,7.144875521796578e-11,1.7862188804491446e-09,2.4999999480000565
espresso_clock,1,3,1.6944269227282936e-05,2.8710998624214175e-10,7.177749656053544e-09,2.4999998954014235
espresso_clock,2,1,8.452711135845373e-06,7.144875818512388e-11,1.786218954628097e-09,2.5000000518213237
espresso_clock,2,3,8.491558092045881e-06,7.210699545545126e-11,1.8026748863862814e-09,2.4999999475808075
espresso_clock,3,1,1.6944269227282563e-05,2.871100101847357e-10,7.177750254618392e-09,2.50000010388081
espresso_clock,3,2,8.491558092045765e-06,7.210699847408237e-11,1.8026749618520592e-09,2.500000052238927
king_only_offsets_rho025,1,2,0.0014984218910796888,3.827628072628264e-12,9.569070181570661e-11,2.478909576100738
king_only_offsets_rho025,1,3,0.0029971212955881956,1.531334798686456e-11,3.82833699671614e-10,2.4579743430300716
king_only_offsets_rho025,2,1,0.0014984218910796786,3.893026885731388e-12,9.73256721432847e-11,2.5212641991181646
king_only_offsets_rho025,2,3,0.001498704464579461,3.894495323911645e-12,9.736238309779113e-11,2.4788922179656496
king_only_offsets_rho025,3,1,0.002997121295588197,1.584132767272854e-11,3.960331918182135e-10,2.5427213573738916
king_only_offsets_rho025,3,2,0.0014987044645794515,3.961092100343157e-12,9.902730250857892e-11,2.521281851822493
king_clock_offsets_rho025,1,2,1.1279435713710188e-05,1.2722588690808803e-10,3.1806471727022007e-09,2.4999999634317867
king_clock_offsets_rho025,1,3,2.2664039863422234e-05,5.136595785921059e-10,1.2841489464802647e-08,2.499999925886609
king_clock_offsets_rho025,2,1,1.1279435713710132e-05,1.2722589061383918e-10,3.1806472653459793e-09,2.5000000362501495
king_clock_offsets_rho025,2,3,1.1384610007149228e-05,1.2960956974200968e-10,3.240239243550242e-09,2.4999999627758513
king_clock_offsets_rho025,3,1,2.266403986342219e-05,5.136596087835023e-10,1.2841490219587557e-08,2.5000000728292466
king_clock_offsets_rho025,3,2,1.1384610007149217e-05,1.2960957358489567e-10,3.240239339622392e-09,2.5000000369001256
