dataset,id,qso,instrument,z,sigma_ppm
King2012,101,J105756+455553,Keck,3.3172,60.67
King2012,102,J111038+483115,Keck,0.80757,12.21
King2012,103,J111038+483115,Keck,0.86182,16.36
King2012,104,J111038+483115,Keck,1.0158,9.370000000000001
King2012,105,J113508+222715,Keck,2.1053,39.76
King2012,106,J120523-074232,Keck,1.62979,21.78
King2012,107,J120858+454035,Keck,0.92741,7.7700000000000005
King2012,108,J122607+173649,Keck,2.4653,19.08
King2012,109,J122607+173649,Keck,2.5577,11.98
King2012,110,J122824+312837,Keck,1.7954,14.15
King2012,111,J124714+312641,Keck,0.85048,70.22999999999999
King2012,112,J124714+312641,Keck,2.7504,47.88
King2012,113,J131011+460124,Keck,0.22909,53.949999999999996
King2012,114,J134002+110630,Keck,2.7955,94.97999999999999
King2012,115,J142656+602550,Keck,2.7698,18.66
King2012,116,J142656+602550,Keck,2.8268,9.290000000000001
King2012,117,J143912+295448,Keck,1.2259,14.33
King2012,118,J144453+291905,Keck,2.4389,17.12
King2012,119,J155152+191104,Keck,1.1425,6.630000000000001
King2012,120,J155152+191104,Keck,1.3422,11.690000000000001
King2012,121,J155152+191104,Keck,1.8024,12.669999999999998
King2012,122,J162645+642655,Keck,0.58596,45.300000000000004
King2012,123,J162645+642655,Keck,2.1102,11.68
King2012,124,J163429+703132,Keck,0.9901,12.93
King2012,125,J185230+401906,Keck,1.99,19.611858657455187
King2012,126,J194454+770552,Keck,1.7385,18.61
King2012,128,J214805+065738,Keck,0.79026,5.8999999999999995
King2012,129,J223408+000001,Keck,1.2128,14.9
King2012,130,J223408+000001,Keck,2.0653,21.44306414671187
King2012,131,J223408+000001,Keck,2.6532,26.065097352590108
King2012,132,J223619+132620,Keck,2.548,61.86
King2012,133,J223619+132620,Keck,2.5548,65.72
King2012,134,J223619+132620,Keck,3.1513,34.41
King2012,135,J234628+124859,Keck,0.73117,9.76
King2012,136,J234628+124859,Keck,1.5899,11.63
King2012,137,J234628+124859,Keck,2.1711,12.04
King2012,138,J234628+124859,Keck,2.43,17.83729239542818
King2012,139,J234646+124527,Keck,1.0465,15.14
King2012,140,J234646+124527,Keck,1.1161,19.64
